compound_id,base_rdkit_smiles,DILIst_Classification,cellcount_active,GSH_active,mitostruct_active,MMP_active,nucarea_active,nucmask_active,ROS_active
CID25074469,CC(C)CC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1cnc[nH]1)NC(=O)C1CCC(=O)N1)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NCC(N)=O,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CID5920,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
CID2118,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0
CID3156,CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CID10158453,CC(=O)Oc1cc2c(s1)CCN(C(C(=O)C1CC1)c1ccccc1F)C2,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0
CID77992,CN[C@@H]1CCc2[nH]c3ccc(C(N)=O)cc3c2C1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CID71616,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CID5362129,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
CID2811,CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,1,1.0,1.0,0.0,1.0,0.0,1.0,1.0
CID174,OCCO,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0
CID26248,CC(=O)Oc1cccc2c1C(=O)c1c(OC(C)=O)cc(C(=O)O)cc1C2=O,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CID4192,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
CID5505,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID4888,CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID516892,O=C([O-])O,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID2160,CN(C)CCC=C1c2ccccc2CCc2ccccc21,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CID6917951,CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2c3cccc(CCCC(=O)O)c3O[C@H]2C[C@H]1O,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0
CID468595,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
CID53276,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CID42890,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
CID4417,CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CID636397,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O[C@H]2CCCCO2)[C@H](C)O1,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0
