,compound_id,base_rdkit_smiles,ROS_active,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,CID3474,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,,13.325528186506718,-4.027181886700964,13.325528186506718,0.0135427295918368,0.575646202626094,372.80799999999977,355.6720000000001,372.0876847040005,134,0,0.3398452459326094,-0.4591895220205179,0.4591895220205179,0.3398452459326094,1.4230769230769231,2.3076923076923075,3.1538461538461537,2.405175581874074,1658.6102159336926,33.14338170096983,29.40538482586459,13.161313771883052,19.627821835820026,14.867740330091872,6.981994626673416,4.3679806680246145,4.745945141033841,2.7655682991535806,2.954550535658194,1.726462500434998,1.8632113314237304,-2.669999999999999,718886260.2681742,6.492256173008485,8.139226965133803,4.10715423689577,178.6821371916071,20.26429268930285,12.639003269866276,1.4118420783282006,2.8623993144652684,0.0,5.969305287951848,4.983978520947208,4.794537184071822,0.0,0.0,23.685777305559107,36.25451224597977,22.269139013704446,42.51714351329621,40.35147838479759,39.84794265963255,2.8623993144652684,4.983978520947208,0.0,6.080018026949988,18.42778383912095,65.09832967755943,0.0,0.0,5.309813353288375,11.374772549367124,0.0,11.600939890232516,43.23128801836131,4.736862953800049,0.0,29.548608462151893,54.51224487212112,6.434475392069527,10.902924932081056,0.0,91.68,112.54332095974203,4.794537184071822,0.0,5.309813353288375,0.0,0.0,0.0,0.0,0.0,19.93845785696168,35.06580106940907,139.32102999105132,5.919756898667131,17.031457297912922,6.215601913734198,-3.922539342885184,-2.0775950596287895,-7.828804856960474,-4.83326330766958,-7.797865756443763,0.0,0.1578947368421052,26,3,6,0,0,0,2,1,3,6,3,7,8,0,0,0,3,3.141800000000001,99.85280000000002,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,CID4116,COC(F)(F)C(Cl)Cl,,12.39298611111111,-4.443094135802469,12.39298611111111,3.204861111111111,0.5683931276423007,164.9660000000001,160.93400000000003,163.960726548,50,0,0.3850939851423715,-0.3217038131586043,0.3850939851423715,0.3217038131586043,1.875,2.375,2.5,4.443936877285597,164.66635800869278,10.207106781186548,7.420106182500772,4.931964074537681,4.957106781186548,3.4141772364823177,2.170106182500772,0.8792491110603935,1.828642155498192,0.3481915291272176,0.7882091648035953,0.0385758374905229,0.1157275124715689,0.3999999999999999,122.89179643789213,3.5394275161588182,2.8023668639053256,2.1120869171570846,61.14016574641673,4.736862953800049,0.0,4.81232132945174,0.0,0.0,6.108589509681485,0.0,0.0,8.78083009534964,0.0,23.20187978046503,0.0,7.037952458882589,5.483034224680881,19.000727273830567,23.20187978046503,0.0,0.0,0.0,10.920910839133224,7.037952458882589,0.0,0.0,0.0,0.0,8.78083009534964,0.0,23.20187978046503,17.958863298015814,4.736862953800049,0.0,5.483034224680881,0.0,0.0,0.0,0.0,9.23,17.958863298015814,8.78083009534964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.938742734265084,5.483034224680881,53.30505401234567,9.275956790123455,-3.318055555555554,0.0,0.0,0.0,0.0,-4.443094135802469,0.0,-3.3476388888888895,1.0,8,0,1,0,0,0,0,0,0,1,0,5,3,0,0,0,0,2.0293,27.449999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CID10413,O=C([O-])CCCO,,10.220746882086168,-3.599652777777778,10.220746882086168,2.41349537037037,0.4729916505510875,103.09699999999997,96.04099999999998,103.04006766391,42,0,0.210036798497581,-0.5501703237006125,0.5501703237006125,0.210036798497581,2.142857142857143,2.857142857142857,3.2857142857142856,5.2404674674227705,237.089406440976,11.784457050376174,10.22474487139159,3.2247448713915894,6.004035844753886,4.770620726159658,1.3623724356957947,0.6395195511812307,0.6395195511812307,0.2155931089239486,0.2155931089239486,0.0765465544619743,0.0765465544619743,-0.5700000000000001,509.4008211734093,1.227067277477931,3.614162062615101,5.43,51.50553073475711,15.00987277001974,0.0,0.0,1.4311996572326342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.74584980265876,18.011324755549015,2.7415171123404405,23.234424107041058,5.969305287951848,1.4311996572326342,0.0,0.0,12.74584980265876,6.558985242916288,0.0,0.0,0.0,5.106527394840706,0.0,0.0,0.0,19.068298379207985,4.794537184071822,0.0,20.97040113968008,0.0,0.0,0.0,0.0,60.36,25.274140333526898,9.901064578912528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,9.655750994253957,47.10552012471655,0.0,10.220746882086168,13.536927437641722,0.0,-2.41349537037037,0.0,-7.140740740740742,-3.392291666666667,0.0,0.75,7,1,3,0,0,0,0,0,0,3,1,3,4,0,0,0,0,-1.4912,21.326799999999995,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,CID135402045,CC(O)C(O)C1CNc2nc(N)[nH]c(=O)c2N1,,12.614335986709497,-4.148720356198036,12.614335986709497,0.2347261196145127,0.3628643483841513,241.25100000000012,226.13099999999997,241.11748934,94,0,0.2773900359024849,-0.3906392499708562,0.3906392499708562,0.2773900359024849,2.0,2.9411764705882355,3.647058823529412,3.0106305420250017,957.694393409042,25.24012249707665,22.96081284889138,7.960812848891381,14.312602142148084,11.177398173873124,4.124833615445606,2.8432382424972316,2.8432382424972316,1.7344435439623225,1.7344435439623225,1.039652542751634,1.039652542751634,-1.8,3055111.4952871106,3.1485535831689675,4.2247933884297515,2.1711949375410913,118.41736434847176,26.556960064517448,11.767404301633553,12.877073169476033,8.810738595451763,5.559266895052007,0.0,9.771540454301077,0.0,4.983978520947208,0.0,0.0,6.851892117295679,10.609135352826604,18.95170327615073,28.24289522321718,17.453588333505085,2.8623993144652684,9.96098179117646,0.0,25.0298206395453,22.836203366618967,10.35380407912383,0.0,0.0,21.89861057735503,17.453588333505085,0.0,0.0,47.71578569442172,0.0,0.0,17.817960566657437,4.794537184071822,7.059210391641003,0.0,0.0,136.29,59.84934890570671,4.794537184071822,0.0,16.0065335992439,0.0,0.0,0.0,0.0,0.0,15.201594903161633,20.887678155468027,115.55625345187688,0.0,15.788981599584275,6.847605804272018,-3.274702536145311,-2.168664821638531,-3.9953639928193496,-8.189390943877553,-7.648051894585764,0.0,0.5555555555555556,17,7,8,0,1,1,0,1,1,7,6,8,6,0,0,0,2,-1.7002000000000006,62.85810000000001,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,CID16134395,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)NC1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H](C(C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)OC1C,,17.046290375529765,-8.020317518447824,17.046290375529765,0.901853111722791,0.0112969223205895,1620.6930000000032,1518.8849999999993,1619.710366352002,630,0,0.3289699637127585,-0.4812218027908548,0.4812218027908548,0.3289699637127585,0.6434782608695652,1.2608695652173914,1.9304347826086956,3.0876647247518463,8846.982431052296,173.68750441579013,155.2170866755597,54.217086675559685,94.84434170721528,76.42867601382999,27.44316265151148,17.741145280740408,17.741145280740408,10.277781263272429,10.277781263272429,6.047719986891365,6.047719986891365,-12.7,1.3338947093323274e+83,24.665848999370056,47.61268346719654,32.50454642339153,800.5196746814424,121.44463169949309,75.10051933545249,31.196402356272536,84.13171586815373,5.724798628930537,29.84652643975924,91.09620649736463,4.794537184071822,0.0,0.0,82.15342718088411,68.9040839229454,114.6126018656052,88.42781013479097,258.5861394262729,134.92059880380995,7.155998286163171,74.00457686297814,17.333391636815627,208.02412697057832,31.76928127159039,65.6391478555151,0.0,0.0,86.18672451992771,5.687386274683562,0.0,0.0,248.60893095470348,102.20599435249407,5.893957685363079,249.47345732685503,54.51224487212112,28.236841566564,16.627723561011592,0.0,702.02,531.6911234012874,57.15847592355029,71.91805776107734,0.0,0.0,0.0,0.0,0.0,0.0,30.28090390933611,106.38470011847274,888.2157875077597,0.0,313.1486683522544,-23.711796610846292,-16.029457255028785,-97.64099105719424,-95.83032144641876,-114.75655298975047,-49.228669834109205,0.0,0.5277777777777778,115,25,43,0,1,1,2,1,3,28,22,43,42,0,1,1,4,-5.621799999999983,400.26050000000095,4,1,0,1,0,1,1,0,4,4,20,16,0,0,0,0,14,3,0,0,0,1,0,0,0,0,0,14,0,1,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,CID4098,CN(C)CCN(Cc1cccs1)c1ccccn1,,8.609768990929705,-4.150767550075589,8.609768990929705,0.1648195914168129,0.7967911857797698,261.394,242.24199999999996,261.1299686080001,96,0,0.1283311092720427,-0.3501949924771408,0.3501949924771408,0.1283311092720427,1.3333333333333333,2.2777777777777777,3.0555555555555554,3.053797644341687,1168.39322453181,29.265066523458984,27.74988907696374,9.566385657891464,16.32316252041838,13.947102672463696,5.263599253391422,2.711692475838727,3.528189056766453,1.5334225201236051,2.135019976120961,0.900370324674558,1.3434871818987462,-1.39,20362644.538242176,3.019784702901703,6.517817714017332,3.821877099038388,139.38732599249713,9.799819461700954,5.817862777835028,0.0,0.0,0.0,0.0,0.0,4.983978520947208,0.0,11.336785877934735,12.08483741532659,37.435024333221975,35.00983022250972,21.57520380218836,26.044412567234176,17.154648655769762,0.0,9.883888251797686,0.0,6.496859684315945,31.845282900046858,46.61825035250013,0.0,0.0,4.899909730850477,5.817862777835028,0.0,11.336785877934735,36.82926142099406,6.496859684315945,0.0,30.921559760935473,41.74110315879883,0.0,0.0,0.0,19.37,90.77825571469798,0.0,0.0,16.23669560878521,0.0,0.0,0.0,0.0,0.0,4.983978520947208,26.044412567234176,150.84141593442934,0.1648195914168129,1.4345667989417987,-0.6509913286302174,0.0,-1.2853982426303852,-4.911382721298394,-1.072872443730578,-19.43682425516504,0.0,0.3571428571428571,18,0,3,0,0,0,0,2,2,4,0,4,8,0,0,0,2,2.7113000000000005,78.16000000000005,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
6,CID23644556,[C-]#N,,6.25,4.75,6.25,4.75,0.3443743454706558,26.018,26.018,26.00362257991,10,0,-0.488225662842519,-0.5117743371574808,0.5117743371574808,0.488225662842519,1.5,1.5,1.5,3.0,6.754887502163469,2.0,0.947213595499958,0.947213595499958,1.0,0.2236067977499789,0.2236067977499789,0.0,0.0,0.0,0.0,0.0,0.0,-0.51,2.0,1.49,0.49,-4.47078431372549,13.131830709298267,11.834028444295376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.261891554738487,0.0,0.0,0.0,0.0,6.572136889556889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.834028444295376,0.0,0.0,0.0,0.0,0.0,23.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.834028444295376,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,4.75,0.0,0.0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.09637,4.968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,CID5905,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,,12.34846757684555,-3.741012495275888,12.34846757684555,0.1926596749811033,0.578029884636738,354.09999999999974,343.01199999999994,353.97126945200034,94,0,0.3300074157703423,-0.3935688359788517,0.3935688359788517,0.3300074157703423,2.0,2.823529411764706,3.5294117647058822,2.9915947671409806,938.2522216544006,22.0854219586974,18.813633116328457,9.971131407504782,12.503853605289134,9.295471273073783,5.110510242234259,2.753250981227377,3.832000126815539,1.7074223437798597,2.410052375083708,1.0085448385123463,1.3703683015430872,-0.71,560489.9009271021,4.758500948553218,4.881735942153658,2.4368559472763676,124.87251769180791,14.954479336014474,12.283970836886542,1.4118420783282006,2.8623993144652684,5.559266895052007,5.689743398203474,14.33864010209243,4.794537184071822,0.0,0.0,0.0,22.590870627068057,15.28733722448458,24.433736877952988,27.33238986370443,22.590870627068057,2.8623993144652684,9.544102918020606,0.0,24.73691376516591,6.558985242916288,30.58116214327928,0.0,0.0,11.24901029325548,0.0,0.0,22.590870627068057,41.34313991151656,4.736862953800049,3.5701822710653963,23.54294616062769,15.761969578958404,1.4118420783282006,0.0,0.0,104.55,52.28798678321783,9.589074368143644,0.0,9.544102918020606,0.0,0.0,22.590870627068057,0.0,0.0,10.217616382214423,19.97717279595528,88.60776306386116,1.239571915154951,23.7821727433321,7.591548065213739,-3.0388247989627946,0.0,0.0,-15.979210194633414,-3.666354127299068,0.0,0.5555555555555556,17,3,7,0,1,1,0,1,1,6,3,8,4,0,1,1,2,-1.2181000000000002,65.65930000000002,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,CID14052,CCC(CO)NCCNC(CC)CO,,8.158532927059714,-4.656539115646262,8.158532927059714,1.3562457482993198,0.3896708755641931,204.31400000000025,180.122,204.183778008,86,0,0.2101180309809013,-0.3947565413710969,0.3947565413710969,0.2101180309809013,1.2857142857142858,1.7857142857142858,2.142857142857143,7.545004142984014,769.0382609460672,31.568914100752345,30.710923771927643,6.710923771927642,16.180721420318147,14.76359925339142,3.052675481463779,1.5985513362318475,1.5985513362318475,0.8155627610334515,0.8155627610334515,0.314379681079231,0.314379681079231,-0.16,11009673.449068818,1.6812290846587228,9.3971519262254,6.31745947791719,120.72066771376572,20.837243088791176,2.8236841566564013,0.0,2.8623993144652684,0.0,0.0,0.0,0.0,0.0,0.0,13.70378423459136,12.74584980265876,46.96164120405473,18.601004710513457,40.45647166227524,0.0,2.8623993144652684,10.61962670657675,0.0,38.48541897394941,26.111689854464466,0.0,0.0,0.0,10.61962670657675,0.0,0.0,0.0,51.22749048784344,0.0,0.0,53.86480516065456,0.0,2.8236841566564013,0.0,0.0,64.52,75.21673553499062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.217616382214423,33.10125459452606,183.18524826379124,0.0,0.0,4.347538700627174,0.0,0.0,-9.15999409486017,-8.792007983749059,-26.080784885809248,0.0,1.0,14,4,4,0,0,0,0,0,0,4,4,4,13,0,0,0,0,-0.292599999999999,58.33500000000005,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,CID135564391,CN1c2c(nc(N)[nH]c2=O)NC[C@@H]1CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1,,13.358221085054408,-4.733398791631109,13.358221085054408,0.4179405395863962,0.2573379500489947,457.44699999999983,434.26300000000026,457.1720786158205,176,0,0.2775930400085736,-0.5501702476343007,0.5501702476343007,0.2775930400085736,1.5757575757575757,2.3333333333333335,2.9696969696969697,2.3826425769067447,2034.8596859228835,44.17676189578944,38.579984911282885,15.579984911282883,24.908160163458767,19.28852161289105,8.105240039891296,5.446288063447285,5.446288063447285,3.325682570699552,3.325682570699552,1.9982838766053217,1.9982838766053217,-4.29,107610821056.28027,7.641804787781435,9.889514284280702,5.695362671877988,220.2179113977878,46.351195924266925,5.687386274683562,14.288915247804232,5.948339280986494,11.466446624403511,0.0,14.566077638372896,0.0,4.983978520947208,0.0,0.0,36.91552463331194,46.7849992164381,31.712675786353337,56.37061426675986,40.98676491344385,0.0,15.270795144464834,0.0,24.78163473935805,41.208799682067635,40.086930401474,0.0,0.0,42.321388451175295,23.14097460818865,0.0,0.0,59.81210330204508,9.589074368143644,0.0,46.40673393332135,28.964212014725,8.471052469969203,0.0,0.0,208.43,152.55640917578936,29.3912035259687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.983978520947208,31.773947924862934,186.5741922028799,0.0,52.23974499786164,20.530986007500204,-7.524604460716466,-11.295079555353428,-16.27114523878036,-9.155175504545593,-12.6822517821793,0.0,0.35,33,6,13,0,1,1,1,1,2,11,5,13,11,0,0,0,3,-2.927099999999995,115.38470000000002,2,0,0,1,0,2,1,0,2,2,3,3,0,0,0,2,4,1,0,1,0,1,0,0,0,0,0,1,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
