compound_id,base_rdkit_smiles,DILIst_Classification_x,cellcount_active,GSH_active,mitostruct_active,MMP_active,nucarea_active,nucmask_active,ROS_active,DILIst_Classification_y,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CID25074469,CC(C)CC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1cnc[nH]1)NC(=O)C1CCC(=O)N1)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NCC(N)=O,1,,,,,,,,1,15.10056533317714,-1.801248728468697,15.10056533317714,0.0090457322054786,0.0117109873710806,1311.4730000000006,1228.816999999999,1310.6308746839995,506.0,0.0,0.2453302220832823,-0.5079666451556014,0.5079666451556014,0.2453302220832823,0.6421052631578947,1.1789473684210523,1.7157894736842103,1.050937560817536,3752.1748909983376,68.29501376746259,52.5765586968996,52.5765586968996,45.52622759013944,31.33314437815425,31.33314437815425,24.000492077092662,24.000492077092662,16.387566713329996,16.387566713329996,11.532073942470912,11.532073942470912,-10.849999999999996,4.668069958509364e+22,70.0269613240218,33.127529104763866,19.59866727650448,545.0230227040055,95.11699995091708,60.12607929561554,5.959554568743835,64.97897702286656,0.0,0.0,57.73231375742571,4.9839785209472085,0.0,0.0,62.37841094707412,85.39865853265489,91.283929500305,19.478958445190035,62.952963814471445,92.74438145577254,0.0,72.6869212506963,28.11131321028362,138.853079713899,26.241151182250643,120.09853808108257,0.0,5.749511833283905,65.05209986754353,0.0,5.749511833283905,0.0,186.6051288405134,78.42319551649409,5.917906046161393,81.17750822980278,102.70666034377878,0.0,21.805849864162113,0.0,490.41999999999985,126.6000031262722,53.3638894463278,9.589074368143644,100.83188121862592,50.610953957027576,0.0,41.689541651074535,74.77209809030029,0.0,72.7794162524815,17.201002431486554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.83333333333348,0.421875,95.0,20.0,31.0,0.0,2.0,2.0,3.0,3.0,6.0,15.0,17.0,31.0,33.0,0.0,2.0,2.0,8.0,-2.294800000000013,346.1782000000005,0.0,1.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,3.0,12.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CID77992,CN[C@@H]1CCc2[nH]c3ccc(C(N)=O)cc3c2C1,0,,,,,,,,0,11.25475001574704,-0.3677537372973878,11.25475001574704,0.3677537372973878,0.7446286892388262,243.30999999999997,226.17399999999995,243.137162164,94.0,0.0,0.2482197917213942,-0.3655991816501414,0.3655991816501414,0.2482197917213942,1.5,2.3333333333333335,3.0555555555555554,2.137174799158409,614.771783926322,12.698306133819765,10.416319979971636,10.416319979971636,8.685871848001627,6.293111648248416,6.293111648248416,4.9351183618597565,4.9351183618597565,3.880611145915437,3.880611145915437,2.816734083291336,2.816734083291336,-1.8099999999999996,21117.670299736823,11.29007945572376,4.137177457043261,1.6926714527581224,105.55732458576142,16.034434602115724,0.0,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,50.07268954853704,28.202145247774475,0.0,4.794537184071822,16.810104661432565,0.0,10.30076712495354,5.733667477162185,25.30430569792599,7.04767198267719,35.01993218362728,0.0,0.0,11.050456081168516,0.0,0.0,0.0,23.980671062123864,12.84164324585202,0.0,28.03618978524028,18.19910120538483,0.0,10.902924932081056,0.0,70.91,0.0,4.794537184071822,0.0,5.907179729351506,11.605292320844956,30.165389800859085,11.257379486545457,6.06636706846161,19.18040611960041,10.30076712495354,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.833333333333336,0.3571428571428571,18.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,2.0,0.0,0.0,0.0,3.0,1.3435,71.68930000000002,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID2811,CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,1,,,,,,,,1,12.128723387503149,0.00259873393802,12.128723387503149,0.00259873393802,0.8291279321976416,318.82899999999995,303.70899999999995,318.05936178,108.0,0.0,0.2485227495901386,-0.3047493229688793,0.3047493229688793,0.2485227495901386,1.3333333333333333,2.0952380952380953,2.8095238095238093,2.2151254690004527,735.6282489344097,14.98276318419594,11.889853153258096,13.462278680204276,10.113392202930196,6.804530527719487,7.998991581656441,4.882529951657763,6.404929949687615,3.5472301383718574,5.232656968799435,2.3590554987769066,3.6580600183781415,-1.6499999999999997,84946.6956082369,14.294117501878477,5.620305675745112,2.4939304293890587,132.43262661181186,4.899909730850478,11.545838382600442,0.0,5.907179729351506,0.0,0.0,9.786941916707493,0.0,0.0,11.336785877934735,36.723778295307966,18.55355575984923,28.07435547351381,5.711685002770702,4.794537184071822,39.55767247697733,0.0,0.0,4.992404732635669,13.344558822616634,18.492338119440245,51.358518833144664,0.0,0.0,4.899909730850478,5.001081976687867,0.0,22.937725768167255,25.21129312071197,11.21535880699783,0.0,22.927787376785915,35.32424007494372,5.022633313741326,0.0,0.0,32.67,0.0,4.794537184071822,0.0,12.45193613526408,5.022633313741326,28.260491585778567,4.877147193701299,16.236695608785215,31.313140256523628,17.982509000787903,11.600939890232516,0.0,7.960813509560202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.65029760155091,0.25,21.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,5.0,2.0,0.0,0.0,0.0,3.0,3.777700000000003,89.06500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CID174,OCCO,1,,,,,,,,1,7.625,-0.125,7.625,0.125,0.407527890666417,62.068000000000005,56.02,62.036779432,26.0,0.0,0.0662266396468172,-0.3939905415754596,0.3939905415754596,0.0662266396468172,1.0,1.25,1.25,1.9747448713915896,6.0,3.414213562373095,2.3086407533730107,2.3086407533730107,1.914213562373095,1.1324555320336755,1.1324555320336755,0.4472135954999578,0.4472135954999578,0.0999999999999999,0.0999999999999999,0.0,0.0,-0.08,6.854752972273345,3.92,2.92,1.9199999999999997,24.69266064661818,10.213054789681411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.213763929025836,10.213054789681411,0.0,0.0,0.0,0.0,0.0,13.213763929025836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.42681871870725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.46,0.0,0.0,0.0,13.213763929025836,0.0,0.0,0.0,0.0,0.0,0.0,10.213054789681411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,-1.029,14.171600000000002,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID4192,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,0,,,,,,,,0,14.30244457042076,-0.2929596560846559,14.30244457042076,0.2929596560846559,0.654885085071007,325.77400000000006,312.66999999999996,325.07820331600004,114.0,0.0,0.1321006152553699,-0.2983705020788849,0.2983705020788849,0.1321006152553699,1.1304347826086956,1.9565217391304348,2.782608695652174,2.0274961737508224,943.1897985853424,15.97432701575866,12.423478667221884,13.179407613240338,11.147867045540844,7.278037783613419,7.656002256622646,5.438311999982631,5.874747780454614,3.993996020046735,4.229093122834474,2.9534561817997314,3.125559205752598,-2.459999999999999,280153.6570741006,14.152613321456492,5.317520490200393,2.2630539582639715,137.6374907255098,0.0,11.641625339045822,0.0,0.0,0.0,0.0,9.559504380427024,9.374393568622027,0.0,0.0,23.733674027155736,37.255572541998674,16.149536297135317,29.834599249828376,4.39041504767482,17.312624893003218,0.0,9.551078168738565,4.992404732635669,13.4684936056032,0.0,82.14650268187395,0.0,5.687386274683562,0.0,4.39041504767482,0.0,11.600939890232516,15.262763171509263,6.544756405912575,12.74095804073652,22.645235476242377,53.653817783480015,5.022633313741326,5.687386274683562,0.0,30.18,0.0,4.39041504767482,0.0,5.817220841045895,22.8425262141216,22.769170259228943,6.06636706846161,12.13273413692322,41.9531486929415,9.976383253582878,11.600939890232516,0.0,6.18967972271213,0.0,0.0,0.0,0.0,0.0,0.0,16.347094356261024,30.407670365471297,0.1111111111111111,23.0,0.0,3.0,0.0,1.0,1.0,2.0,1.0,3.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,4.0,4.324220000000002,89.05400000000004,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID516892,O=C([O-])O,0,,,,,,,,0,8.444444444444445,-2.083333333333333,8.444444444444445,2.083333333333333,0.3859178578026133,61.016000000000005,60.008,60.99311747191,24.0,0.0,0.2486458626186352,-0.5651787281645311,0.5651787281645311,0.2486458626186352,2.0,2.0,2.0,2.803039487674051,26.264662506490403,3.5773502691896257,1.763710176427684,1.763710176427684,1.7320508075688772,0.6318550882138421,0.6318550882138421,0.2659075191683887,0.2659075191683887,0.0,0.0,0.0,0.0,-0.73,3.2451124978365313,3.2700000000000005,0.7105286343612336,0.173734284105836,22.489240632265343,15.007591973753234,0.0,0.0,6.155365629538759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.007591973753234,6.155365629538759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.106527394840706,4.794537184071822,0.0,0.0,11.261893024379464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.36,6.155365629538759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.007591973753234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.666666666666668,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.1122999999999998,8.0248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID6917951,CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2c3cccc(CCCC(=O)O)c3O[C@H]2C[C@H]1O,1,,,,,,,,1,10.80040958674174,-0.7903778937046944,10.80040958674174,0.0286991289958109,0.4620678880259997,398.49900000000014,368.2590000000001,398.2093240599999,156.0,0.0,0.3028515145272176,-0.4890770806616375,0.4890770806616375,0.3028515145272176,1.4137931034482758,2.206896551724138,2.931034482758621,1.7469890292164612,818.2953038645336,20.96589084732138,17.044524234446225,17.044524234446225,13.917922655570507,10.362735844249158,10.362735844249158,8.128943520236904,8.128943520236904,6.0397831863122375,6.0397831863122375,4.410772201639448,4.410772201639448,-2.2899999999999996,3531106.5379660022,21.419614794578575,9.472080115532208,4.828717021114739,171.9560898173912,20.056445138322168,11.853478221032208,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,11.840868637711289,37.274878618743216,31.246737983401033,36.66172845279781,12.207932775496603,24.85098232239399,5.969305287951849,0.0,0.0,11.835812092322788,70.1813877234176,0.0,41.478044402446585,0.0,17.590380470995193,4.736862953800049,0.0,5.749511833283905,0.0,39.60078663571887,11.21535880699783,23.67668073003407,56.575569920640675,30.351141419052592,0.0,0.0,0.0,86.99000000000001,18.177238063448456,15.007591973753234,0.0,30.278506149158495,25.68328649170404,16.876414816677897,0.0,12.999757306524504,31.198858511909332,11.840868637711289,9.843390348640757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.66666666666666,0.5416666666666666,29.0,3.0,5.0,1.0,1.0,2.0,1.0,0.0,1.0,4.0,3.0,5.0,8.0,1.0,0.0,1.0,3.0,3.285900000000002,110.66440000000004,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID53276,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N,1,,,,,,,,1,12.812351441343804,-0.5805357712435011,12.812351441343804,0.1779251700680273,0.7898834049027826,304.32500000000005,287.18899999999996,304.1335540040001,116.0,0.0,0.4112209373366325,-0.4496062219416759,0.4496062219416759,0.4112209373366325,1.2727272727272727,2.0,2.636363636363636,1.9651802964718128,646.490748731491,15.94938298937633,12.09734009613739,12.09734009613739,10.57971869811898,6.768058761600034,6.768058761600034,4.454782440645704,4.454782440645704,2.8237768586899765,2.8237768586899765,1.7510804098121069,1.7510804098121069,-2.8299999999999996,86712.51093233078,15.55679651322706,7.256316894851852,4.3379866701310625,127.04813156079965,15.787319034968563,17.45294639671595,0.0,0.0,0.0,6.093240070938415,5.316788604006331,14.16893075269385,0.0,0.0,12.13273413692322,36.75265696523406,6.544756405912575,12.29426823919648,13.92181518554669,23.416351901292035,0.0,4.9839785209472085,0.0,13.4684936056032,22.974126649687765,47.778874743512546,0.0,0.0,16.367244685174846,26.508064062100264,0.0,0.0,17.68410055639854,11.281619359712623,5.817220841045895,12.48718869138762,36.39820241076966,0.0,0.0,0.0,89.27,6.093240070938415,9.184952231746642,0.0,18.24196558339384,18.05000545843117,5.563451491696996,12.13273413692322,31.18920547353706,0.0,15.617555728959871,10.470530430962237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.812351441343804,44.68764855865621,0.2,22.0,4.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,3.0,7.0,5.0,0.0,0.0,0.0,2.0,2.9834000000000005,83.02080000000002,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID636397,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O[C@H]2CCCCO2)[C@H](C)O1,1,,,,,,,,1,13.810240371828147,-2.2363189475542056,13.810240371828147,0.0409384937441172,0.2362721069231682,627.6430000000001,590.3470000000003,627.2315756239999,242.0,0.0,0.2016312814501292,-0.5068479547044316,0.5068479547044316,0.2016312814501292,1.0666666666666669,1.8222222222222224,2.488888888888889,1.377546234466919,1522.7260521295598,32.206013344398016,24.985197647099373,24.985197647099373,21.48342000990364,15.057633051891075,15.057633051891075,12.066170059860816,12.066170059860816,9.217129450063288,9.217129450063288,6.947218636465885,6.947218636465885,-3.43,9815017433.686966,31.548416378833863,12.062098262326929,5.314156668888378,258.3331331528387,49.844091825525254,35.56043466309663,24.146543351400304,5.783244946364939,0.0,0.0,14.383611552215466,0.0,0.0,0.0,12.13273413692322,32.25256913693026,48.60154213752989,36.00808479186512,58.49403590057853,17.34973483909482,0.0,0.0,5.733667477162185,87.98351119929366,20.32356147030337,51.5798101555668,0.0,17.248535499851716,10.470530430962237,0.0,17.248535499851716,0.0,94.53028376305969,30.162810622198027,0.0,88.1015950203946,18.19910120538483,0.0,0.0,0.0,204.3,101.95903096146851,34.809721131578286,0.0,34.4241394229979,6.606881964512918,19.26246486877803,25.30889874666236,6.923737199690624,0.0,0.0,29.41798224616243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.74999999999996,0.53125,45.0,6.0,13.0,2.0,2.0,4.0,2.0,0.0,2.0,13.0,5.0,13.0,7.0,0.0,2.0,2.0,6.0,1.5521999999999991,154.21159999999975,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID43672,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H](C(=O)O)C(C)(C)S[C@H]23)c2ccccc2)C(=O)C1=O,0,,,,,,,,0,13.31949337414029,-1.261721545099521,13.31949337414029,0.0200200058286763,0.3448074018268864,517.5640000000003,490.3480000000003,517.1631192039998,192.0,0.0,0.327399384702813,-0.4796728023655437,0.4796728023655437,0.327399384702813,1.1111111111111112,1.7777777777777777,2.388888888888889,1.5080340161046577,1127.109136648965,26.36107836170678,19.964065181513153,20.78056176244088,16.973270095340645,11.469536002520302,12.349188813775196,9.219203811798092,10.99008895117065,6.571314783984495,8.142845378831973,4.699151731877184,6.324548321486511,-3.609999999999999,71779220.35537256,25.481937967128644,9.4490900004599,4.271776707247516,210.88362735930164,25.53992406455432,23.499395300412623,0.0,11.814359458703011,0.0,23.81477925899293,24.07805846713776,9.589074368143644,0.0,11.761884949391115,30.33183534230805,26.334663090768867,24.381291670955285,0.0,33.87375049927164,47.39102366708706,0.0,25.333306400564098,0.0,49.01762935270206,19.634269217737724,35.89528683400505,0.0,0.0,10.633577208012662,4.794537184071822,0.0,11.761884949391115,97.27424144730804,23.97268592035911,0.0,32.37650391991683,30.33183534230805,0.0,0.0,0.0,156.43,63.87555647132612,33.87375049927164,0.0,13.08951281182515,12.10820789760957,4.899909730850478,21.561704411092073,51.10304694137992,0.0,10.633577208012662,0.0,0.0,1.2820096795250455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.30132365380828,0.4782608695652174,36.0,3.0,12.0,0.0,3.0,3.0,1.0,0.0,1.0,7.0,3.0,13.0,6.0,0.0,3.0,3.0,4.0,-0.2402999999999959,127.34020000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,5.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
