compound_id,base_rdkit_smiles,DILIst_Classification,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CID4888,CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2,1,12.164936680199578,-3.58912416289085,12.164936680199578,0.6462258939069454,0.7643946387362142,255.27300000000008,242.16899999999995,255.089543276,96,0,0.31018556180095774,-0.48078850087329844,0.48078850087329844,0.31018556180095774,1.6842105263157894,2.6315789473684212,3.473684210526316,2.4845075887355517,1162.974298969622,24.549523573835156,22.171958466891546,9.171958466891548,14.527833989545831,11.421958466891548,5.013710176427685,3.4974030585716247,3.4974030585716247,2.2956680258007958,2.2956680258007958,1.445191331412622,1.445191331412622,-2.36,4575012.99600082,4.065873568160133,4.387759596716938,2.053838354521441,128.5826704526201,9.84567114490726,5.749511833283905,0.0,5.879988336435371,1.4311996572326342,5.9693052879518484,4.794537184071822,4.983978520947208,0.0,0.0,18.127256122989884,30.06363251601626,26.333822940862454,14.118509022384398,31.08931100302172,5.9693052879518484,1.4311996572326342,4.983978520947208,0.0,19.118774703988137,0.0,53.075343224222216,0.0,11.629500169719275,4.736862953800049,0.0,11.629500169719275,0.0,16.062092000006267,11.167462085401201,0.0,45.885306951792415,36.38498874913123,0.0,1.4311996572326342,0.0,59.42,89.7929233858815,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.09278671205442,22.61716528507532,108.08106664589617,0.0,15.751116258506004,3.67151886204691,-2.7645161197194916,-6.908540351593653,-4.8442258202255495,-3.647295312019563,-3.58912416289085,0.0,0.2,19,1,4,0,1,1,1,1,2,4,1,4,3,0,0,0,3,2.9662000000000006,69.60980000000004,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CID60852,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,0,13.11256984365142,-6.64050476267693,13.11256984365142,1.5370436507936502,0.30575681014458816,319.2309999999996,296.047,319.0949753360006,116,0,0.36898812555763955,-0.3674867441325964,0.36898812555763955,0.3674867441325964,1.2105263157894737,1.894736842105263,2.3684210526315788,8.204453754295178,1015.8735760487245,34.61288417512237,31.69937881974692,10.488233201746748,18.16932626268354,14.958844701311476,7.002920670012737,2.662196203581074,6.264430476761389,1.365661682588822,4.543796427570467,0.558707510918158,2.1325687896707417,0.21999999999999995,69489324.58532014,3.7552093510849693,7.29186173454817,5.614222872485208,145.0633440013774,29.59148751803361,0.0,0.0,7.155998286163171,5.083227620067512,15.19152465357577,9.130096569862658,0.0,0.0,0.0,19.597741919954437,19.84561148592757,37.543438596709294,0.0,58.49532836810981,15.19152465357577,7.155998286163171,4.899909730850477,0.0,37.42681934268071,19.969546268914137,0.0,0.0,0.0,0.0,0.0,0.0,15.19152465357577,61.800259693178425,9.130096569862658,0.0,57.017245733677214,0.0,0.0,0.0,0.0,138.53,77.4877999960211,9.130096569862658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.69157778718313,31.829652297227135,201.48707414293304,0.0,12.36534786251507,-1.3632757229192562,0.0,0.0,0.0,-19.065105706811014,-18.781919939252873,-13.28100952535386,1.0,19,5,8,0,0,0,0,0,0,8,5,10,16,0,0,0,0,0.4999999999999996,70.67700000000002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CID123606,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,0,13.80159063416842,-6.523301964189405,13.80159063416842,0.1798968152458409,0.8803470485806123,335.4729999999996,310.2730000000001,335.1667480400007,126,0,0.21778122477968984,-0.3608889481747887,0.3608889481747887,0.21778122477968984,1.4782608695652173,2.260869565217391,3.0,2.5417464418856075,1730.4189931923372,38.350852961085884,36.06638565789146,11.882882238819189,20.779485756039968,18.23249284415013,7.225342577450814,3.989539985904065,5.50894518246242,2.4637098283055248,3.5890785017917337,1.5655936982575527,2.348542007710284,-1.37,1762065610.250531,3.8926596758588143,6.628798902868981,3.761443231949283,173.0636383175421,9.876913001079728,0.0,1.4118420783282006,10.023291153407584,0.0,0.0,0.0,12.72301297562517,0.0,0.0,6.042418707663295,56.2821689032732,63.981570319248114,11.187991109831039,42.727844410742435,20.92621608548864,0.0,14.182128992375961,0.0,24.823731589138298,33.44223285351232,35.42705431719864,0.0,0.0,0.0,0.0,0.0,0.0,56.04215883021722,22.10117293988712,0.0,56.770958134138084,24.300151333804646,1.4118420783282006,10.902924932081056,0.0,56.410000000000004,123.82436056748463,8.417796984328938,0.0,4.977003270229252,0.0,0.0,0.0,0.0,0.0,0.0,34.310047426413476,227.4388327653164,0.0,-1.061098932601579,-1.3675132012681617,-9.077418863378686,0.0,-4.766351725875537,-13.632612620722966,-20.510535457280056,-6.523301964189405,0.5294117647058824,23,1,5,0,1,1,1,1,2,3,1,6,8,0,1,1,3,2.1975999999999996,93.98750000000005,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CID5362124,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O,1,14.759348140777835,-5.334887211829182,14.759348140777835,0.9568870049486491,0.6009534602811888,424.4969999999997,396.2730000000002,424.19982199600076,164,0,0.3231453817796409,-0.479913767150782,0.479913767150782,0.3231453817796409,1.4516129032258065,2.225806451612903,3.0,2.733039607268803,2093.1310178340295,46.729168138596734,42.93566864331923,14.935668643319232,26.108777995597855,21.69824074610531,7.842778860141485,5.064029054395826,5.064029054395826,3.172557263292832,3.172557263292832,1.9857216725951743,1.9857216725951743,-3.19,347916272228.8299,5.981204867653793,10.723575986782238,5.91722396578345,221.04791357550096,9.84567114490726,13.926594230993791,0.0,5.907179729351506,1.4311996572326342,11.938610575903697,24.593334636354317,0.0,0.0,0.0,48.33934966130636,49.51291341367048,20.76573039255598,33.13825605381923,61.280847235876706,23.533176579938765,1.4311996572326342,5.309813353288375,0.0,44.379376659312484,17.95575465808271,65.50867135236365,0.0,0.0,10.20972308413885,5.687386274683562,0.0,0.0,48.04622836029394,31.866324308674272,0.0,66.36436736377422,54.38176836896965,1.4118420783282006,1.4311996572326342,0.0,95.94,156.68679260298603,15.754370108385686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.84567114490726,37.11200563981633,236.1750185946087,0.0,40.60267777924828,1.9427185969592693,-5.495853218804851,-8.748926847667168,-24.113514136540978,-19.070819636987803,-13.04130113081546,0.0,0.375,31,2,7,0,1,1,2,0,2,6,2,7,10,0,0,0,3,2.5731,116.8595000000001,1,0,0,0,0,0,0,0,1,1,3,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CID5291,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,1,14.117779672949656,-4.257134076527297,14.117779672949656,0.1547947353111847,0.38941616262964607,493.6149999999997,462.3670000000003,493.25900861200097,188,0,0.2551591618569856,-0.3238440024866884,0.3238440024866884,0.2551591618569856,1.135135135135135,2.0,2.810810810810811,1.7302940107470173,2716.8387318636514,52.63242734248992,49.038743458963566,18.038743458963566,30.496495126575706,25.176260100231506,9.781832909231593,6.525237536283216,6.525237536283216,4.060166798824536,4.060166798824536,2.477556872079145,2.477556872079145,-4.139999999999999,32021668447445.176,7.243215248119665,11.281649166992505,6.354664605160738,260.6264480195177,15.519536437427226,0.0,2.8236841566564013,5.948339280986494,5.907179729351506,0.0,14.678425435869507,9.967957041894415,0.0,0.0,18.127256122989884,67.25155295461498,95.43679648550857,23.513789225061316,47.37021946966463,23.230291559705126,0.0,24.75175502454258,0.0,13.348751801611623,43.582892344122776,95.63322718416822,0.0,11.257379486545457,10.61962670657675,17.323111830353618,0.0,0.0,63.6222003914401,6.496859684315945,6.851892117295679,61.236889788099255,78.94287270907722,2.8236841566564013,11.257379486545457,0.0,86.28000000000002,191.54254848456588,4.794537184071822,0.0,5.309813353288375,0.0,0.0,0.0,0.0,0.0,14.951935562841623,42.5756822855928,258.70665828975507,0.0,23.42489329715914,-0.6746118086801927,-8.840247980038681,-3.2058698626448487,-13.64341587055402,-2.82556050442917,-28.525178893900698,0.0,0.2413793103448276,37,2,8,0,1,1,2,2,4,7,2,8,9,0,1,1,5,4.590320000000004,146.8938999999998,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,5,2,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CID3000322,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,0,13.730689602229777,-4.417703963529859,13.730689602229777,0.4654924471255186,0.6618093940597772,303.35799999999955,282.18999999999994,303.14705815200057,118,0,0.3155498818388703,-0.46172004898840946,0.46172004898840946,0.3155498818388703,1.6818181818181819,2.409090909090909,3.0454545454545454,2.0325195913302245,1365.939277044048,33.740122497076655,31.580206757355413,10.58020675735541,18.937045922135326,16.30381355510539,5.895565264641527,4.238639924233883,4.238639924233883,2.9608638426858063,2.9608638426858063,1.9393715786689134,1.9393715786689134,-1.4299999999999997,533611856.75902987,3.965798780046101,5.333924974919479,2.2416588494484997,158.96200366038013,14.58253409870731,24.134011766213042,0.0,1.4311996572326342,0.0,5.9693052879518484,9.694446914922299,0.0,0.0,0.0,30.212093538316473,12.539278391979241,38.48922030106026,20.266570804618485,46.79224240618356,5.9693052879518484,1.4311996572326342,4.899909730850477,0.0,48.91564650557109,13.534812143198533,35.77554503001347,0.0,0.0,0.0,0.0,0.0,0.0,61.21987402788995,14.268263091671919,0.0,51.61843010312327,30.212093538316473,0.0,0.0,0.0,62.3,109.09521869758542,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,38.32009668823714,181.80432631221657,0.0,13.265197155104259,3.810155438897321,-1.5605097054253798,-6.794792257180651,-14.176591110414526,-19.805706877773304,-7.87541228875763,0.0,0.5882352941176471,22,1,5,0,3,3,1,0,1,5,1,5,6,0,3,3,4,0.9180999999999995,79.38280000000005,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CID22419,O=C(O)c1cc(N=Nc2ccc(O)c(C(=O)O)c2)ccc1O,1,11.78461768666536,-1.504230988334524,11.78461768666536,0.7852159968925843,0.6399634717122534,302.24199999999985,292.16200000000003,302.05388604000024,112,0,0.33905109012991247,-0.5070501087087479,0.5070501087087479,0.33905109012991247,0.8636363636363636,1.3181818181818181,1.6818181818181819,2.8187179049546462,1054.9552011845342,24.32554445577405,20.343916933783095,10.343916933783095,15.063385687713044,10.004951628747,5.371958466891547,3.6303768430943517,3.6303768430943517,2.1880413060617396,2.1880413060617396,1.2572246494937152,1.2572246494937152,-3.42,6867150.3384461,6.5627689066813675,5.91648100111604,3.1791245689751864,137.56152464190194,20.43523276442885,22.6259266499618,0.0,0.0,5.724798628930537,11.938610575903697,0.0,9.589074368143644,10.228500251258795,0.0,0.0,36.25451224597977,0.0,19.599323886388444,38.24885846959383,23.31338312527082,5.724798628930537,0.0,10.228500251258795,0.0,0.0,47.38141522937376,0.0,11.49902366656781,0.0,11.374772549367124,11.49902366656781,0.0,35.23624265479781,0.0,0.0,28.940528688558953,46.48301249723856,0.0,2.8623993144652684,0.0,139.78,82.1938220212124,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.663733015687644,13.949349965951857,74.61348090484316,0.0,23.56923537333072,22.58462872844422,-3.3486700987404454,-4.72247950889365,-5.362862065650666,0.0,0.0,0.0,0.0,22,4,8,0,0,0,2,0,2,8,4,8,6,0,0,0,2,2.9096000000000006,74.30820000000001,0,0,0,0,2,0,0,2,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CID31315,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)Nc3ccccc32)cc1,1,14.406154163864297,-3.459899855830713,14.406154163864297,0.142308506021529,0.5308831591970273,401.41799999999984,382.2660000000002,401.12632270800054,150,0,0.30752394025016205,-0.42673356945866886,0.42673356945866886,0.30752394025016205,0.8666666666666667,1.3666666666666667,1.8666666666666667,2.3073687115770314,1851.1484722648174,37.61591948454487,33.48845504781927,14.488455047819274,22.26931494312502,17.323296207623436,7.876082612123479,5.577850153859774,5.577850153859774,3.9204956467333263,3.9204956467333263,2.806822351220143,2.806822351220143,-3.9299999999999993,12025913623.063225,7.090901536136994,7.478601864857098,3.2205171582590273,199.7434281426553,14.783539260888473,16.91401413596459,1.4118420783282006,5.907179729351506,0.0,11.938610575903697,14.383611552215466,0.0,0.0,0.0,42.29693095364306,41.33899652171046,33.179173337993234,16.44910267404264,49.942833549207755,23.533176579938765,0.0,0.0,0.0,19.118774703988137,5.309813353288375,89.19937896705054,0.0,11.49902366656781,14.783539260888473,5.687386274683562,11.49902366656781,0.0,17.845790305255203,19.798602021612243,0.0,55.067792720746354,72.50902449195954,1.4118420783282006,0.0,0.0,81.7,143.3503539175453,14.383611552215466,0.0,5.309813353288375,0.0,0.0,0.0,0.0,0.0,9.473725907600098,26.085496089392155,163.46290798433031,0.0,38.657163858238235,-0.142308506021529,-7.849836240115369,-8.302901415758834,-15.155225969011422,0.0,-6.919799711661424,0.0,0.125,30,1,6,0,1,1,3,0,3,5,1,6,6,0,0,0,4,3.8237000000000023,110.45570000000001,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CID135398738,CN(C)/N=N/c1nc[nH]c1C(N)=O,1,11.587191279289494,-3.1774518140589576,11.587191279289494,0.14065854119425536,0.5105305434356862,182.1870000000001,172.107,182.09160894,70,0,0.26867629510908286,-0.3642044378988932,0.3642044378988932,0.26867629510908286,2.076923076923077,2.923076923076923,3.6153846153846154,3.3271407579867707,602.5831960535658,18.162772227887025,16.091529863463613,6.091529863463611,10.263761443659874,7.734619313731638,2.8929785272317634,1.8022190756334013,1.8022190756334013,0.9609702175916986,0.9609702175916986,0.5255802480568807,0.5255802480568807,-1.92,45850.30780010603,2.5334924332712827,3.654513294260848,2.2558359887894963,88.85707309502466,10.696720245955525,1.3707585561702202,9.929454229833063,5.817862777835028,5.907179729351506,0.0,9.803449708026353,4.983978520947208,0.0,5.114250125629398,5.2232529187334515,0.0,22.17620513758581,6.303371713966227,18.625373312247962,11.725042507186533,0.0,14.969894315130992,16.057220020089122,0.0,13.951653800564491,11.997299708814687,0.0,0.0,5.719716975726273,5.817862777835028,0.0,0.0,34.828727845046984,0.0,0.0,20.08377507211182,16.640874758329076,4.235526234984602,0.0,0.0,99.72999999999999,43.39371299229199,4.794537184071822,0.0,9.985915794183782,0.0,0.0,0.0,0.0,0.0,15.321481565310057,13.830836128176143,70.79924933862435,0.0,15.051100009448223,5.868692365835223,-1.2305590986394563,-2.1599376417233547,0.0,-0.8069746787603929,-6.354903628117915,0.0,0.3333333333333333,13,3,7,0,0,0,0,1,1,4,2,7,5,0,0,0,1,0.0688999999999999,45.308600000000006,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,4,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CID6253,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,1,12.425950570042831,-3.821752763605443,12.425950570042831,0.28918745275888114,0.4489304892314893,243.21900000000008,230.11499999999995,243.085520516,94,0,0.3512126938330889,-0.3935668538876594,0.3935668538876594,0.3512126938330889,1.8235294117647058,2.7058823529411766,3.411764705882353,2.9668133457831027,901.7318143617266,23.499635521070495,20.88288223881919,7.88288223881919,13.547677024663349,10.185557720282969,4.0663856578914634,2.7868471232961913,2.7868471232961913,1.773566113587313,1.773566113587313,1.0638890074202472,1.0638890074202472,-1.48,1530426.2504962906,3.7548469826161677,4.414475063137193,2.025663273733915,114.53794981063047,25.78300450284796,24.05791685868499,9.027636966592956,4.293598971697903,0.0,5.689743398203474,4.567099647791355,4.794537184071822,4.983978520947208,0.0,0.0,6.042418707663295,6.172895210814761,17.525053692278046,33.85304013313984,5.817862777835028,4.293598971697903,9.551078168738563,0.0,24.44400689078652,12.278702218642561,22.69959450075335,0.0,0.0,11.409460373929747,5.817862777835028,0.0,0.0,53.97014103752435,4.736862953800049,0.0,17.170021259298313,17.009851102549877,2.8236841566564013,0.0,0.0,130.82999999999998,54.72591222821936,4.794537184071822,0.0,10.286816623517627,0.0,0.0,0.0,0.0,0.0,20.310403094268846,22.820214531516115,103.2527203721186,0.0,15.53083664021164,11.608213325058111,-2.056431710425217,-0.9851335480179728,-1.1326292569496939,-16.570302343159486,-3.730606812169314,0.0,0.5555555555555556,17,5,8,0,1,1,0,1,1,8,4,8,6,0,1,1,2,-2.563,55.91880000000002,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
