cmpd_id,subset,fold
SPID236,train_valid,0
SPID231,train_valid,0
SPID339,train_valid,0
SPID504,train_valid,0
SPID262,train_valid,0
SPID644,train_valid,0
SPID564,train_valid,0
SPID501,train_valid,0
SPID232,train_valid,0
SPID510,train_valid,0
SPID648,train_valid,0
SPID139,train_valid,0
SPID247,train_valid,0
SPID689,train_valid,0
SPID275,train_valid,0
SPID685,train_valid,0
SPID628,train_valid,0
SPID278,train_valid,0
SPID625,train_valid,0
SPID667,train_valid,0
SPID453,train_valid,0
SPID439,train_valid,0
SPID51,train_valid,0
SPID368,train_valid,0
SPID185,train_valid,0
SPID10,train_valid,0
SPID151,train_valid,0
SPID38,train_valid,0
SPID363,train_valid,0
SPID582,train_valid,0
SPID325,train_valid,0
SPID229,train_valid,0
SPID244,train_valid,0
SPID604,train_valid,0
SPID469,train_valid,0
SPID370,train_valid,0
SPID428,train_valid,0
SPID602,train_valid,0
SPID379,train_valid,0
SPID619,train_valid,0
SPID320,train_valid,0
SPID603,train_valid,0
SPID227,train_valid,0
SPID444,train_valid,0
SPID587,train_valid,0
SPID418,train_valid,0
SPID651,train_valid,0
SPID561,train_valid,0
SPID443,train_valid,0
SPID313,train_valid,0
SPID268,train_valid,0
SPID621,train_valid,0
SPID355,train_valid,0
SPID279,train_valid,0
SPID271,train_valid,0
SPID291,train_valid,0
SPID426,train_valid,0
SPID541,train_valid,0
SPID289,train_valid,0
SPID250,train_valid,0
SPID186,train_valid,0
SPID383,train_valid,0
SPID435,train_valid,0
SPID530,train_valid,0
SPID312,train_valid,0
SPID367,train_valid,0
SPID406,train_valid,0
SPID267,train_valid,0
SPID657,train_valid,0
SPID390,train_valid,0
SPID220,train_valid,0
SPID701,train_valid,0
SPID260,train_valid,0
SPID378,train_valid,0
SPID429,train_valid,0
SPID455,train_valid,0
SPID490,train_valid,0
SPID245,train_valid,0
SPID474,train_valid,0
SPID557,train_valid,0
SPID528,train_valid,0
SPID674,train_valid,0
SPID652,train_valid,0
SPID398,train_valid,0
SPID97,train_valid,0
SPID389,train_valid,0
SPID708,train_valid,0
SPID310,train_valid,0
SPID714,train_valid,0
SPID351,train_valid,0
SPID574,train_valid,0
SPID272,train_valid,0
SPID704,train_valid,0
SPID425,train_valid,0
SPID680,train_valid,0
SPID380,train_valid,0
SPID524,train_valid,0
SPID321,train_valid,0
SPID682,train_valid,0
SPID492,train_valid,0
SPID454,train_valid,0
SPID702,train_valid,0
SPID548,train_valid,0
SPID692,train_valid,1
SPID283,train_valid,1
SPID544,train_valid,1
SPID396,train_valid,1
SPID273,train_valid,1
SPID327,train_valid,1
SPID481,train_valid,1
SPID677,train_valid,1
SPID382,train_valid,1
SPID240,train_valid,1
SPID249,train_valid,1
SPID706,train_valid,1
SPID233,train_valid,1
SPID223,train_valid,1
SPID653,train_valid,1
SPID666,train_valid,1
SPID687,train_valid,1
SPID567,train_valid,1
SPID456,train_valid,1
SPID286,train_valid,1
SPID547,train_valid,1
SPID486,train_valid,1
SPID467,train_valid,1
SPID536,train_valid,1
SPID496,train_valid,1
SPID669,train_valid,1
SPID722,train_valid,1
SPID710,train_valid,1
SPID218,train_valid,1
SPID251,train_valid,1
SPID350,train_valid,1
SPID342,train_valid,1
SPID329,train_valid,1
SPID580,train_valid,1
SPID413,train_valid,1
SPID500,train_valid,1
SPID592,train_valid,1
SPID328,train_valid,1
SPID361,train_valid,1
SPID333,train_valid,1
SPID540,train_valid,1
SPID421,train_valid,1
SPID423,train_valid,1
SPID512,train_valid,1
SPID616,train_valid,1
SPID462,train_valid,1
SPID709,train_valid,1
SPID21,train_valid,1
SPID71,train_valid,1
SPID631,train_valid,1
SPID611,train_valid,1
SPID679,train_valid,1
SPID159,train_valid,1
SPID507,train_valid,1
SPID156,train_valid,1
SPID579,train_valid,1
SPID377,train_valid,1
SPID715,train_valid,1
SPID713,train_valid,1
SPID483,train_valid,1
SPID237,train_valid,1
SPID546,train_valid,1
SPID187,train_valid,1
SPID191,train_valid,1
SPID340,train_valid,1
SPID655,train_valid,1
SPID554,train_valid,1
SPID381,train_valid,1
SPID395,train_valid,1
SPID617,train_valid,1
SPID254,train_valid,1
SPID716,train_valid,1
SPID334,train_valid,1
SPID489,train_valid,1
SPID415,train_valid,1
SPID282,train_valid,1
SPID589,train_valid,1
SPID670,train_valid,1
SPID322,train_valid,1
SPID577,train_valid,1
SPID414,train_valid,1
SPID720,train_valid,1
SPID287,train_valid,1
SPID563,train_valid,1
SPID707,train_valid,1
SPID608,train_valid,1
SPID660,train_valid,1
SPID615,train_valid,1
SPID408,train_valid,1
SPID434,train_valid,1
SPID430,train_valid,1
SPID411,train_valid,1
SPID290,train_valid,1
SPID297,train_valid,1
SPID525,train_valid,1
SPID649,train_valid,1
SPID718,train_valid,1
SPID407,train_valid,1
SPID256,train_valid,1
SPID663,train_valid,1
SPID438,train_valid,1
SPID343,train_valid,1
SPID513,train_valid,1
SPID516,train_valid,1
SPID634,train_valid,2
SPID261,train_valid,2
SPID518,train_valid,2
SPID535,train_valid,2
SPID228,train_valid,2
SPID101,train_valid,2
SPID305,train_valid,2
SPID46,train_valid,2
SPID294,train_valid,2
SPID276,train_valid,2
SPID394,train_valid,2
SPID386,train_valid,2
SPID552,train_valid,2
SPID314,train_valid,2
SPID239,train_valid,2
SPID575,train_valid,2
SPID601,train_valid,2
SPID476,train_valid,2
SPID642,train_valid,2
SPID366,train_valid,2
SPID612,train_valid,2
SPID221,train_valid,2
SPID219,train_valid,2
SPID303,train_valid,2
SPID610,train_valid,2
SPID515,train_valid,2
SPID387,train_valid,2
SPID600,train_valid,2
SPID12,train_valid,2
SPID629,train_valid,2
SPID424,train_valid,2
SPID316,train_valid,2
SPID296,train_valid,2
SPID330,train_valid,2
SPID336,train_valid,2
SPID688,train_valid,2
SPID264,train_valid,2
SPID304,train_valid,2
