LTKBID,DILIRank_PubChem_CID,LabelCompoundName,ApprovalYear,DILIConcern,SeverityClass,LabelSection,AdjudicatedDILI,vDILIConcern,Greene_Annotation,Sakatis_Annotation,Xu_Annotation,Zhu_Annotation,SMILES,URL (accessed on 1/21/2016),"VER_DISP (1=LTKB-BD, 2=others)",DILIST_ID,CompoundName,DILIst Classification ,Routs of Administration ,PUBCHEM_CID_from_name,compound_id,_merge,pubchem_smiles
LT00003,667490,mercaptopurine,1953,Most-DILI-Concern,8,Warnings and precautions,Yes,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,C1=NC2=C(N1)C(=S)N=CN2,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c3b5b8b0-bc5c-4ce9-bbdc-febba60c2658,1,1,mercaptopurine,1,Oral,667490,CID667490,both,C1=NC2=C(N1)C(=S)N=CN2
LT00004,1983,acetaminophen,1968,Most-DILI-Concern,5,Warnings and precautions,Yes,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,CC(=O)NC1=CC=C(C=C1)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=42e4219a-a4ef-f090-f6a4-2fd2e213d397,2,2,acetaminophen,1,Oral,1983,CID1983,both,CC(=O)NC1=CC=C(C=C1)O
LT00006,2265,azathioprine,1968,Most-DILI-Concern,5,Warnings and precautions,Yes,vMost-DILI-Concern,HH,Hepatotoxic,Positive,,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aeab212e-2f56-498d-a286-400ba360a7d2,1,3,azathioprine,1,Oral,2265,CID2265,both,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]
LT00009,2725,chlorpheniramine,1950,No-DILI-Concern,0,No match,,vNo-DILI-Concern,HH,,Positive,,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3065bc51-c210-483b-876d-14a4d060bdec,2,4,chlorpheniramine,0,Oral,2725,CID2725,both,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
LT00011,2796,clofibrate,1967,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,HH,non-hepatotixic,Positive,,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,,1,5,clofibrate,1,Oral,2796,CID2796,both,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl
LT00013,2907,cyclophosphamide,1959,Less-DILI-Concern,5,Adverse reactions,Yes,vLess-DILI-Concern,HH,Hepatotoxic,Positive,Postive,C1CNP(=O)(OC1)N(CCCl)CCCl,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=369e6911-66bd-4544-9901-cf887fdf1dc2,1,6,cyclophosphamide,1,Oral,2907,CID2907,both,C1CNP(=O)(OC1)N(CCCl)CCCl
LT00015,681,dopamine,1974,No-DILI-Concern,0,No match,,vNo-DILI-Concern,NE,,Negative,,C1=CC(=C(C=C1CCN)O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=08f23f6e-150d-45ea-098e-f2edf64c21a1,2,7,dopamine,0,Intravenous,681,CID681,both,C1=CC(=C(C=C1CCN)O)O
LT00016,5757,estradiol,1954,Less-DILI-Concern,2,Adverse reactions,Yes,vLess-DILI-Concern,WE,Hepatotoxic,Negative,,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8ce4e37f-b55b-40cd-a194-ded0056ca594,1,8,estradiol,1,Oral,5757,CID5757,both,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O
LT00018,3386,fluoxetine,1987,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,WE,non-hepatotixic,Negative,Postive,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5f356c1b-96bd-4ef1-960c-91cf4905e6b1,1,9,fluoxetine,1,Oral,3386,CID3386,both,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
LT00020,3463,gemfibrozil,1981,Most-DILI-Concern,4,Warnings and precautions,Yes,vMost-DILI-Concern,HH,,Positive,,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=75cac02c-56e3-4dfe-b1e2-4ce166b28833,1,10,gemfibrozil,1,Oral,3463,CID3463,both,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O
LT00022,3715,indomethacin,1965,Most-DILI-Concern,8,Warnings and precautions,Yes,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2f62bae-5fc0-4f8d-a8b4-446524bd53d1,1,11,indomethacin,1,Oral,3715,CID3715,both,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O
LT00023,3825,ketoprofen,1986,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,NE,,Negative,,CC(C1=CC=CC(=C1)C(=O)C2=CC=CC=C2)C(=O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c2c99853-1268-4998-a44b-2bf0c0b70fd2,2,12,ketoprofen,1,Oral,3825,CID3825,both,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O
LT00024,453,mannitol,1964,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,,C(C(C(C(C(CO)O)O)O)O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c395e13d-6ea1-4104-8b37-669cfb982f04,1,13,mannitol,0,Intravenous,6251,CID6251,both,C(C(C(C(C(CO)O)O)O)O)O
LT00026,126941,methotrexate,1953,Most-DILI-Concern,3,Box warning,Yes,vMost-DILI-Concern,HH,Hepatotoxic,Positive,,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8df0780e-0fbd-4ab8-80b0-7a5eaa08ec0a,1,14,methotrexate,1,Oral,126941,CID126941,both,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
LT00030,4763,phenobarbital,,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,Hepatotoxic,,Postive,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=894c57ee-0f5f-41a1-9e0d-3f1f8fdfc9ab,1,15,phenobarbital,1,Oral,4763,CID4763,both,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2
LT00032,1775,phenytoin,1953,Most-DILI-Concern,8,Warnings and precautions,Yes,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0c9321ae-cc4d-45f0-87d3-e2a5b4f60fde,1,16,phenytoin,1,Oral,1775,CID1775,both,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
LT00034,5381226,rifampin,1971,Most-DILI-Concern,8,Warnings and precautions,Yes,vMost-DILI-Concern,WE,Hepatotoxic,Negative,Postive,C[C@H]1/C=C/C=C(\C(=O)NC\2=C(C3=C(C(=C4C(=C3C(=O)/C2=C/NN5CCN(CC5)C)C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=363d2275-fca2-4c6d-940c-137e89d9d78c,1,17,rifampin,1,Oral,135398735,CID135398735,both,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C)/C
LT00036,5353990,tetracycline,1953,Less-DILI-Concern,2,Warnings and precautions,Yes,vLess-DILI-Concern,HH,Hepatotoxic,Positive,Postive,CC1(C2CC3C(C(=O)/C(=C(\N)/O)/C(=O)C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)N(C)C)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=eaa5b1bd-0927-46e4-b941-32fcc492d258,1,18,tetracycline,1,Oral,54675776,CID54675776,both,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
LT00040,65140,abacavir,1998,Most-DILI-Concern,8,Warnings and precautions,Yes,vMost-DILI-Concern,HH,,Positive,Postive,C1CC1NC2=NC(=NC3=C2N=CN3C4C[C@H](C=C4)CO)N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5409c8ed-17c3-454f-bb88-d597ba8f84ec,1,19,abacavir,1,Oral,441300,CID441300,both,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4C[C@H](C=C4)CO
LT00041,2022,aciclovir,1982,Less-DILI-Concern,5,Adverse reactions,Yes,vLess-DILI-Concern,,,,,C1=NC2=C(N1COCCO)NC(=NC2=O)N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f0d8278e-f521-451b-9093-16571eccd284,1,20,aciclovir,1,Oral,135398513,CID135398513,both,C1=NC2=C(N1COCCO)N=C(NC2=O)N
LT00043,2094,allopurinol,1966,Most-DILI-Concern,8,Warnings and precautions,Yes,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,C1=C2C(=NC=NC2=O)NN1,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=73cd79c1-6bab-4d7b-ae8b-0176efbaf5b9,1,21,allopurinol,1,Oral,135401907,CID135401907,both,C1=NNC2=C1C(=O)NC=N2
LT00045,34869,amineptine,,Most-DILI-Concern,8,Withdrawn,Yes,vMost-DILI-Concern,HH,,Positive,Postive,C1CC2=CC=CC=C2C(C3=CC=CC=C31)[NH2+]CCCCCCC(=O)O.[Cl-],,1,22,amineptine,1,Oral,34870,CID34870,both,C1CC2=CC=CC=C2C(C3=CC=CC=C31)[NH2+]CCCCCCC(=O)O.[Cl-]
LT00046,2157,amiodarone,1985,Most-DILI-Concern,8,Box warning,Yes,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=51be39a2-9134-402c-95ad-defe47406ff8,1,23,amiodarone,1,Oral,2157,CID2157,both,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I
LT00047,2160,amitriptyline,1961,Less-DILI-Concern,5,Adverse reactions,Yes,vLess-DILI-Concern,WE,Hepatotoxic,Negative,Postive,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=091b3ffc-ccef-47f9-b13a-ef2812e02630,2,24,amitriptyline,1,Oral,2160,CID2160,both,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
LT00048,14956,amphotericin b,1964,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,WE,Hepatotoxic,Negative,,C[C@H]1C=CC=CC=CC=CC=CC=CC=C[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f7be6506-4d20-401e-a0ff-02ad7c33158a,2,25,amphotericin b,1,Intravenous,5280965,CID5280965,both,C[C@H]1C=CC=CC=CC=CC=CC=CC=C[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O
LT00049,6249,ampicillin,1971,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,,,Negative,Negative,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1422ac93-067c-489b-9b95-17cd00303f4c,2,26,ampicillin,1,Oral,6249,CID6249,both,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C
LT00052,3152,donepezil,1996,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,WE,non-hepatotixic,Negative,,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e1e203cd-fd4c-4046-810b-5d7aea47525e,2,27,donepezil,1,Oral,3152,CID3152,both,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC
LT00053,2244,aspirin,1965,No-DILI-Concern,0,No match,Yes,vLess-DILI-Concern,,non-hepatotixic,Negative,Postive,CC(=O)OC1=CC=CC=C1C(=O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0d9502bd-7d0a-4f68-8c02-ed9296633823 ,2,28,aspirin,1,Oral,2244,CID2244,both,CC(=O)OC1=CC=CC=C1C(=O)O
LT00054,2148,aminohippurate,1944,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,,C1=CC(=CC=C1C(=O)NCC(=O)O)N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a1975215-25f1-4c5a-878d-bcbf5326bb92,2,29,aminohippurate,0,Intravenous,2148,CID2148,both,C1=CC(=CC=C1C(=O)NCC(=O)O)N
LT00056,56069,bicalutamide,1995,Most-DILI-Concern,8,Warnings and precautions,Yes,vMost-DILI-Concern,HH,,Positive,,C[C@](CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aeb2641f-4842-43ff-a4d8-d01b4ab3f47b,1,30,bicalutamide,1,Oral,2375,CID2375,both,C[C@](CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O
LT00058,444,bupropion,1985,Less-DILI-Concern,5,Adverse reactions,Yes,vLess-DILI-Concern,WE,,Negative,Postive,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5cb7fd36-ae36-409b-af79-9c432e1cf5d9,1,31,bupropion,1,Oral,444,CID444,both,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C
LT00059,44093,captopril,1981,Less-DILI-Concern,7,Adverse reactions,Yes,vLess-DILI-Concern,HH,,Positive,Postive,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9f7dae34-0112-4c11-b032-4f951e139705,1,32,captopril,1,Oral,44093,CID44093,both,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O
LT00060,2554,carbamazepine,1968,Most-DILI-Concern,7,Warnings and precautions,Yes,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7f9ed987-5e34-4536-a22f-4898c9797e61,1,33,carbamazepine,1,Oral,2554,CID2554,both,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
