,meas,spid,direction,sc_hit,mc_hit111
0,CellCount,619,down,1.0,
1,CellCount,366,down,1.0,2.0
2,CellCount,618,down,3.0,2.0
3,CellCount,616,down,2.0,4.0
4,CellCount,360,down,4.0,4.0
5,CellCount,349,down,2.0,2.0
6,CellCount,350,down,1.0,
7,CellCount,352,down,4.0,3.0
8,CellCount,397,down,2.0,4.0
9,CellCount,40,down,1.0,3.0
10,CellCount,602,down,2.0,2.0
11,CellCount,376,down,2.0,2.0
12,CellCount,612,down,2.0,2.0
13,CellCount,382,down,4.0,4.0
14,CellCount,312,down,1.0,3.0
15,CellCount,309,down,1.0,4.0
16,CellCount,300,down,1.0,2.0
17,CellCount,657,down,1.0,
18,CellCount,29,down,1.0,
19,CellCount,656,down,1.0,2.0
20,CellCount,654,down,1.0,2.0
21,CellCount,653,down,1.0,
22,CellCount,296,down,2.0,2.0
23,CellCount,652,down,1.0,
24,CellCount,299,down,2.0,3.0
25,CellCount,651,down,1.0,
26,CellCount,333,down,4.0,4.0
27,CellCount,634,down,2.0,4.0
28,CellCount,633,down,2.0,4.0
29,CellCount,319,down,4.0,4.0
30,CellCount,641,down,3.0,4.0
31,CellCount,639,down,3.0,4.0
32,CellCount,316,down,4.0,4.0
33,CellCount,559,down,3.0,2.0
34,CellCount,496,down,1.0,2.0
35,CellCount,558,down,1.0,
36,CellCount,557,down,1.0,
37,CellCount,556,down,4.0,4.0
38,CellCount,502,down,2.0,1.0
39,CellCount,555,down,1.0,
40,CellCount,554,down,1.0,
41,CellCount,560,down,1.0,
42,CellCount,567,down,4.0,4.0
43,CellCount,484,down,4.0,4.0
44,CellCount,486,down,1.0,
45,CellCount,487,down,2.0,2.0
46,CellCount,478,down,2.0,
47,CellCount,553,down,4.0,2.0
48,CellCount,544,down,1.0,1.0
49,CellCount,531,down,4.0,3.0
50,CellCount,540,down,1.0,2.0
51,CellCount,509,down,4.0,1.0
52,CellCount,513,down,4.0,4.0
53,CellCount,507,down,4.0,4.0
54,CellCount,584,down,1.0,
55,CellCount,597,down,1.0,2.0
56,CellCount,411,down,1.0,
57,CellCount,594,down,2.0,
58,CellCount,593,down,1.0,
59,CellCount,592,down,1.0,
60,CellCount,42,down,4.0,
61,CellCount,591,down,1.0,1.0
62,CellCount,583,down,1.0,
63,CellCount,573,down,3.0,3.0
64,CellCount,572,down,2.0,1.0
65,CellCount,47,down,1.0,
66,CellCount,470,down,3.0,4.0
67,CellCount,569,down,1.0,
68,CellCount,462,down,1.0,3.0
69,CellCount,461,down,1.0,
70,CellCount,580,down,2.0,2.0
71,CellCount,45,down,4.0,3.0
72,CellCount,579,down,1.0,
73,CellCount,578,down,1.0,2.0
74,CellCount,577,down,1.0,
75,CellCount,576,down,1.0,
76,CellCount,172,down,2.0,
77,CellCount,708,down,1.0,1.0
78,CellCount,179,down,4.0,4.0
79,CellCount,180,down,1.0,
80,CellCount,72,down,2.0,2.0
81,CellCount,159,down,2.0,
82,CellCount,183,down,3.0,3.0
83,CellCount,165,down,2.0,
84,CellCount,168,down,4.0,
85,CellCount,163,down,3.0,3.0
86,CellCount,199,down,1.0,2.0
87,CellCount,189,down,2.0,1.0
88,CellCount,196,down,2.0,
89,CellCount,116,down,4.0,2.0
90,CellCount,9,down,4.0,
91,CellCount,89,down,1.0,
92,CellCount,98,down,3.0,
93,CellCount,102,down,1.0,1.0
94,CellCount,105,down,2.0,
95,CellCount,143,down,4.0,3.0
96,CellCount,76,down,4.0,2.0
97,CellCount,146,down,2.0,1.0
98,CellCount,152,down,2.0,3.0
99,CellCount,721,down,1.0,2.0
100,CellCount,83,down,3.0,1.0
101,CellCount,247,down,1.0,
102,CellCount,666,down,3.0,
103,CellCount,270,down,4.0,
104,CellCount,68,down,2.0,
105,CellCount,665,down,1.0,
106,CellCount,682,down,1.0,1.0
107,CellCount,663,down,1.0,
108,CellCount,237,down,2.0,2.0
109,CellCount,276,down,3.0,3.0
110,CellCount,248,down,1.0,
111,CellCount,258,down,2.0,2.0
112,CellCount,67,down,4.0,
113,CellCount,255,down,1.0,1.0
114,CellCount,254,down,1.0,
115,CellCount,253,down,3.0,3.0
116,CellCount,265,down,4.0,2.0
117,CellCount,252,down,3.0,3.0
118,CellCount,224,down,2.0,4.0
119,CellCount,661,down,1.0,
120,CellCount,660,down,2.0,
121,CellCount,688,up,1.0,
122,CellCount,610,up,1.0,
123,CellCount,606,up,1.0,
124,CellCount,578,up,1.0,
125,CellCount,458,down,,2.0
126,CellCount,450,down,,1.0
127,CellCount,444,down,,4.0
128,CellCount,55,down,,2.0
129,CellCount,517,down,,2.0
130,CellCount,511,down,,2.0
131,CellCount,96,down,,2.0
132,CellCount,434,down,,1.0
133,CellCount,339,down,,1.0
134,CellCount,325,down,,1.0
135,CellCount,552,down,,1.0
136,CellCount,351,down,,1.0
137,CellCount,427,down,,1.0
138,CellCount,410,down,,4.0
139,CellCount,406,down,,1.0
140,CellCount,402,down,,4.0
141,CellCount,401,down,,4.0
142,CellCount,400,down,,2.0
143,CellCount,383,down,,1.0
144,CellCount,372,down,,2.0
145,CellCount,37,down,,1.0
146,CellCount,69,down,,2.0
147,CellCount,688,down,,1.0
148,CellCount,686,down,,2.0
149,CellCount,681,down,,2.0
150,CellCount,678,down,,2.0
151,CellCount,696,down,,1.0
152,CellCount,88,down,,2.0
153,CellCount,87,down,,1.0
154,CellCount,707,down,,1.0
155,CellCount,74,down,,2.0
156,CellCount,712,down,,1.0
157,CellCount,71,down,,1.0
158,CellCount,78,down,,2.0
159,CellCount,565,down,,1.0
160,CellCount,568,down,,2.0
161,CellCount,624,down,,2.0
162,CellCount,620,down,,1.0
163,CellCount,62,down,,1.0
164,CellCount,60,down,,2.0
165,CellCount,599,down,,1.0
166,CellCount,615,down,,1.0
167,CellCount,236,down,,2.0
168,CellCount,162,down,,1.0
169,CellCount,239,down,,1.0
170,CellCount,155,down,,2.0
171,CellCount,203,down,,1.0
172,CellCount,257,down,,1.0
173,CellCount,13,down,,1.0
174,CellCount,259,down,,1.0
175,CellCount,129,down,,2.0
176,CellCount,234,down,,2.0
177,CellCount,232,down,,1.0
178,CellCount,222,down,,2.0
179,CellCount,226,down,,1.0
180,CellCount,227,down,,3.0
181,CellCount,171,down,,3.0
182,CellCount,127,down,,3.0
183,CellCount,123,down,,1.0
184,CellCount,284,down,,2.0
185,CellCount,110,down,,2.0
186,CellCount,262,down,,4.0
187,CellCount,28,down,,2.0
188,CellCount,288,down,,2.0
189,CellCount,311,down,,1.0
190,CellCount,171,up,,1.0
191,CellCount,203,up,,1.0
192,CellCount,47,up,,1.0
