,meas,spid,direction,sc_hit,mc_hit111,keep,relation
90,CellCount,9,down,4,,y,
173,CellCount,13,down,,1,y,
187,CellCount,28,down,,2,y,
18,CellCount,29,down,1,,y,
145,CellCount,37,down,,1,y,
9,CellCount,40,down,1,3,y,
60,CellCount,42,down,4,,y,
71,CellCount,45,down,4,3,y,
65,CellCount,47,down,1,,n,
192,CellCount,47,up,,1,n,
128,CellCount,55,down,,2,y,
164,CellCount,60,down,,2,y,
163,CellCount,62,down,,1,y,
112,CellCount,67,down,4,,n,
104,CellCount,68,down,2,,y,
146,CellCount,69,down,,2,y,
157,CellCount,71,down,,1,y,
80,CellCount,72,down,2,2,y,
155,CellCount,74,down,,2,y,
96,CellCount,76,down,4,2,y,
158,CellCount,78,down,,2,y,
100,CellCount,83,down,3,1,y,
153,CellCount,87,down,,1,y,
152,CellCount,88,down,,2,y,
91,CellCount,89,down,1,,n,
131,CellCount,96,down,,2,y,
92,CellCount,98,down,3,,y,
93,CellCount,102,down,1,1,n,
94,CellCount,105,down,2,,n,
185,CellCount,110,down,,2,y,
89,CellCount,116,down,4,2,y,
183,CellCount,123,down,,1,y,
182,CellCount,127,down,,3,y,
175,CellCount,129,down,,2,y,
95,CellCount,143,down,4,3,y,
97,CellCount,146,down,2,1,n,
98,CellCount,152,down,2,3,y,
170,CellCount,155,down,,2,y,
81,CellCount,159,down,2,,y,
168,CellCount,162,down,,1,y,
85,CellCount,163,down,3,3,y,
83,CellCount,165,down,2,,n,
84,CellCount,168,down,4,,n,
190,CellCount,171,up,,1,n,
181,CellCount,171,down,,3,y,
76,CellCount,172,down,2,,y,
78,CellCount,179,down,4,4,y,
79,CellCount,180,down,1,,n,
82,CellCount,183,down,3,3,y,
87,CellCount,189,down,2,1,y,
88,CellCount,196,down,2,,y,
86,CellCount,199,down,1,2,y,
171,CellCount,203,down,,1,y,<
191,CellCount,203,up,,1,n,
178,CellCount,222,down,,2,y,
118,CellCount,224,down,2,4,y,
179,CellCount,226,down,,1,y,
180,CellCount,227,down,,3,y,
177,CellCount,232,down,,1,y,
176,CellCount,234,down,,2,y,
167,CellCount,236,down,,2,n,
108,CellCount,237,down,2,2,y,
169,CellCount,239,down,,1,y,
101,CellCount,247,down,1,,y,
110,CellCount,248,down,1,,n,
117,CellCount,252,down,3,3,y,
115,CellCount,253,down,3,3,y,
114,CellCount,254,down,1,,n,
113,CellCount,255,down,1,1,y,<
172,CellCount,257,down,,1,y,
111,CellCount,258,down,2,2,y,
174,CellCount,259,down,,1,y,
