,meas,spid,direction,sc_hit,mc_hit,keep
172,CellCount,8,down,,2,n
91,CellCount,9,down,4,,y
198,CellCount,13,down,,1,y
203,CellCount,20,down,,1,n
209,CellCount,26,down,,2,n
225,CellCount,28,down,,3,y
19,CellCount,29,down,1,,y
140,CellCount,35,down,,3,n
158,CellCount,37,down,,1,y
9,CellCount,40,down,1,4,y
62,CellCount,42,down,4,,y
71,CellCount,45,down,4,4,y
67,CellCount,47,down,1,,n
231,CellCount,47,up,,1,n
131,CellCount,55,down,,3,y
179,CellCount,59,down,,1,n
186,CellCount,60,down,,3,y
185,CellCount,62,down,,2,y
110,CellCount,67,down,4,3,n
105,CellCount,68,down,2,,y
159,CellCount,69,down,,2,y
177,CellCount,71,down,,1,y
80,CellCount,72,down,2,3,y
175,CellCount,74,down,,3,y
97,CellCount,76,down,4,2,y
178,CellCount,78,down,,2,y
174,CellCount,79,down,,2,n
101,CellCount,83,down,3,2,y
171,CellCount,85,down,,3,n
170,CellCount,87,down,,2,y
169,CellCount,88,down,,3,y
92,CellCount,89,down,1,,n
168,CellCount,92,down,,3,n
138,CellCount,96,down,,2,y
232,CellCount,96,up,,1,n
93,CellCount,98,down,3,,y
94,CellCount,102,down,1,3,n
95,CellCount,105,down,2,4,n
219,CellCount,108,down,,2,n
222,CellCount,110,down,,3,y
216,CellCount,111,down,,2,n
90,CellCount,116,down,4,4,y
217,CellCount,123,down,,3,y
223,CellCount,126,down,,1,n
215,CellCount,127,down,,3,y
200,CellCount,129,down,,2,y
229,CellCount,129,up,,1,n
196,CellCount,136,down,,2,n
96,CellCount,143,down,4,4,y
98,CellCount,146,down,2,1,n
195,CellCount,149,down,,2,n
99,CellCount,152,down,2,3,y
193,CellCount,155,down,,3,y
81,CellCount,159,down,2,,y
190,CellCount,162,down,,2,y
85,CellCount,163,down,3,4,y
83,CellCount,165,down,2,4,n
84,CellCount,168,down,4,,n
214,CellCount,170,down,,3,n
213,CellCount,171,down,,4,y
228,CellCount,171,up,,1,n
76,CellCount,172,down,2,,y
211,CellCount,178,down,,3,n
78,CellCount,179,down,4,4,y
79,CellCount,180,down,1,4,n
82,CellCount,183,down,3,3,y
207,CellCount,188,down,,2,n
88,CellCount,189,down,2,4,y
205,CellCount,194,down,,3,n
89,CellCount,196,down,2,,y
87,CellCount,199,down,1,2,y
194,CellCount,203,down,,1,n
230,CellCount,203,up,,1,n
86,CellCount,212,down,4,,y
204,CellCount,214,down,,3,n
206,CellCount,218,down,,2,n
208,CellCount,222,down,,4,y
119,CellCount,224,down,2,4,y
210,CellCount,226,down,,1,y
212,CellCount,227,down,,4,y
202,CellCount,232,down,,1,y
201,CellCount,234,down,,2,y
189,CellCount,236,down,,3,n
108,CellCount,237,down,2,4,y
191,CellCount,239,down,,1,y
192,CellCount,245,down,,2,n
116,CellCount,247,down,1,1,y
114,CellCount,248,down,1,2,n
117,CellCount,252,down,3,4,y
113,CellCount,253,down,3,4,y
112,CellCount,254,down,1,,n
111,CellCount,255,down,1,1,n
197,CellCount,257,down,,4,y
109,CellCount,258,down,2,2,y
199,CellCount,259,down,,3,y
224,CellCount,262,down,,4,y
115,CellCount,265,down,4,4,y
104,CellCount,270,down,4,,y
121,CellCount,276,down,3,4,y
218,CellCount,281,down,,3,n
220,CellCount,284,down,,2,y
226,CellCount,288,down,,4,y
23,CellCount,296,down,2,2,y
25,CellCount,299,down,2,4,y
16,CellCount,300,down,1,2,y
221,CellCount,301,down,,1,n
14,CellCount,309,down,1,4,y
227,CellCount,311,down,,1,y
15,CellCount,312,down,1,4,y
29,CellCount,316,down,4,4,y
146,CellCount,318,down,,3,n
31,CellCount,319,down,4,4,y
145,CellCount,325,down,,4,n
144,CellCount,326,down,,4,n
143,CellCount,327,down,,2,n
147,CellCount,328,down,,3,n
27,CellCount,333,down,4,4,n
142,CellCount,339,down,,3,y
141,CellCount,348,down,,4,n
5,CellCount,349,down,2,4,y
6,CellCount,350,down,1,,n
149,CellCount,351,down,,1,y
7,CellCount,352,down,4,4,y
3,CellCount,360,down,4,4,y
2,CellCount,366,down,1,4,y
157,CellCount,372,down,,3,y
12,CellCount,376,down,2,4,y
13,CellCount,382,down,4,4,y
156,CellCount,383,down,,4,y
10,CellCount,397,down,2,4,y
155,CellCount,400,down,,4,y
154,CellCount,401,down,,4,y
153,CellCount,402,down,,4,y
152,CellCount,406,down,,2,y
151,CellCount,410,down,,4,y
57,CellCount,411,down,1,,n
150,CellCount,427,down,,2,y
139,CellCount,434,down,,1,n
130,CellCount,444,down,,4,y
129,CellCount,450,down,,3,y
128,CellCount,458,down,,4,y
127,CellCount,460,down,,1,n
69,CellCount,461,down,1,,n
68,CellCount,462,down,1,4,y
65,CellCount,470,down,3,4,y
126,CellCount,473,down,,3,n
43,CellCount,478,down,2,4,n
44,CellCount,484,down,4,4,y
45,CellCount,486,down,1,,n
46,CellCount,487,down,2,2,y
36,CellCount,496,down,1,4,y
39,CellCount,502,down,2,3,y
49,CellCount,507,down,4,4,y
53,CellCount,509,down,4,1,y
137,CellCount,511,down,,4,y
54,CellCount,513,down,4,4,y
136,CellCount,517,down,,2,y
135,CellCount,518,down,,4,n
134,CellCount,527,down,,2,n
133,CellCount,528,down,,4,n
52,CellCount,531,down,4,3,y
132,CellCount,534,down,,1,n
51,CellCount,540,down,1,4,y
50,CellCount,544,down,1,1,n
148,CellCount,552,down,,2,y
41,CellCount,553,down,4,2,n
40,CellCount,554,down,1,,n
38,CellCount,555,down,1,,n
42,CellCount,556,down,4,4,y
37,CellCount,557,down,1,,n
35,CellCount,558,down,1,,n
34,CellCount,559,down,3,2,y
47,CellCount,560,down,1,,n
180,CellCount,565,down,,1,y
48,CellCount,567,down,4,4,y
181,CellCount,568,down,,3,y
66,CellCount,569,down,1,2,n
64,CellCount,572,down,2,2,y
63,CellCount,573,down,3,3,y
75,CellCount,576,down,1,,n
74,CellCount,577,down,1,,n
73,CellCount,578,down,1,3,y
125,CellCount,578,up,1,,n
72,CellCount,579,down,1,,n
70,CellCount,580,down,2,4,y
56,CellCount,583,down,1,,n
55,CellCount,584,down,1,,n
61,CellCount,591,down,1,4,y
60,CellCount,592,down,1,4,n
59,CellCount,593,down,1,,n
58,CellCount,594,down,2,,n
33,CellCount,597,down,1,2,y
187,CellCount,599,down,,1,y
8,CellCount,602,down,2,3,y
124,CellCount,606,up,1,,n
123,CellCount,610,up,1,,n
11,CellCount,612,down,2,4,y
188,CellCount,615,down,,1,n
4,CellCount,616,down,2,4,y
1,CellCount,618,down,3,4,y
0,CellCount,619,down,1,4,n
184,CellCount,620,down,,1,y
183,CellCount,624,down,,4,y
182,CellCount,627,down,,1,n
28,CellCount,633,down,2,4,y
26,CellCount,634,down,2,4,y
32,CellCount,639,down,3,4,y
30,CellCount,641,down,3,4,y
24,CellCount,651,down,1,,n
22,CellCount,652,down,1,,n
21,CellCount,653,down,1,,n
20,CellCount,654,down,1,4,y
18,CellCount,656,down,1,2,y
17,CellCount,657,down,1,4,n
120,CellCount,660,down,2,,n
118,CellCount,661,down,1,,n
107,CellCount,663,down,1,,n
103,CellCount,665,down,1,,n
102,CellCount,666,down,3,2,n
166,CellCount,667,down,,1,n
164,CellCount,678,down,,3,y
163,CellCount,679,down,,1,n
162,CellCount,681,down,,3,n
106,CellCount,682,down,1,1,y
161,CellCount,686,down,,4,y
160,CellCount,688,down,,1,n
122,CellCount,688,up,1,,n
165,CellCount,693,down,,4,n
167,CellCount,696,down,,1,y
173,CellCount,707,down,,1,y
77,CellCount,708,down,1,2,y
176,CellCount,712,down,,1,y
100,CellCount,721,down,1,4,n
