,meas,spid,sc_hit,mc_hit111,direction,keep
0,GSH,8,,1.0,down,
1,GSH,8,,1.0,up,
2,GSH,9,1.0,,down,
3,GSH,9,2.0,,up,
5,GSH,17,,1.0,down,
6,GSH,17,,1.0,up,
8,GSH,26,,2.0,down,
9,GSH,26,,1.0,up,
12,GSH,35,,2.0,up,
11,GSH,35,,1.0,down,
15,GSH,42,1.0,,down,
16,GSH,42,1.0,,up,
17,GSH,45,2.0,,down,
18,GSH,45,1.0,3.0,up,
27,GSH,72,,1.0,down,
28,GSH,72,,2.0,up,
34,GSH,83,2.0,3.0,up,
33,GSH,83,,1.0,down,
39,GSH,96,,2.0,down,
40,GSH,96,,1.0,up,
41,GSH,98,1.0,,down,
42,GSH,98,1.0,,up,
48,GSH,110,,1.0,down,
49,GSH,110,,1.0,up,
57,GSH,143,2.0,1.0,down,
58,GSH,143,1.0,3.0,up,
59,GSH,146,,1.0,down,
60,GSH,146,4.0,2.0,up,
74,GSH,179,1.0,1.0,down,
75,GSH,179,1.0,3.0,up,
77,GSH,183,,1.0,down,
78,GSH,183,3.0,3.0,up,
84,GSH,203,,2.0,down,
85,GSH,203,,1.0,up,
100,GSH,248,,1.0,up,
99,GSH,248,,1.0,down,
101,GSH,252,,1.0,down,
102,GSH,252,,3.0,up,
103,GSH,253,,1.0,down,
104,GSH,253,,3.0,up,
112,GSH,284,,2.0,down,
113,GSH,284,,2.0,up,
116,GSH,296,,2.0,up,
115,GSH,296,,1.0,down,
131,GSH,333,,1.0,down,
132,GSH,333,,3.0,up,
140,GSH,352,,2.0,down,
141,GSH,352,,2.0,up,
142,GSH,360,1.0,1.0,down,
143,GSH,360,,3.0,up,
154,GSH,402,,2.0,up,
153,GSH,402,,2.0,down,
157,GSH,410,,1.0,up,
156,GSH,410,,1.0,down,
173,GSH,484,1.0,2.0,down,
174,GSH,484,,2.0,up,
183,GSH,509,,1.0,down,
184,GSH,509,,1.0,up,
186,GSH,513,,1.0,down,
187,GSH,513,1.0,3.0,up,
201,GSH,556,,2.0,down,
202,GSH,556,2.0,2.0,up,
207,GSH,572,,1.0,down,
208,GSH,572,2.0,2.0,up,
222,GSH,618,,1.0,down,
223,GSH,618,,1.0,up,
228,GSH,633,,1.0,down,
229,GSH,633,,2.0,up,
231,GSH,639,,1.0,down,
232,GSH,639,2.0,2.0,up,
233,GSH,641,,1.0,down,
234,GSH,641,,2.0,up,
