Column1,spid,direction,hit,meas,keep
459,8,up,1,GSH,y
458,8,down,2,GSH,n
45,17,up,1,GSH,y
44,17,down,1,GSH,n
129,26,up,1,GSH,y
128,26,down,2,GSH,n
139,28,up,1,GSH,y
138,28,down,1,GSH,n
193,35,up,3,GSH,y
192,35,down,1,GSH,n
245,45,up,3,GSH,y
244,45,down,1,GSH,y
417,67,up,3,GSH,y
416,67,down,1,GSH,n
447,72,up,2,GSH,y
446,72,down,1,GSH,n
461,83,up,3,GSH,y
460,83,down,1,GSH,n
473,96,up,1,GSH,y
472,96,down,2,GSH,n
11,110,up,3,GSH,y
10,110,down,1,GSH,n
23,129,up,2,GSH,y
22,129,down,2,GSH,n
27,136,up,1,GSH,y
26,136,down,3,GSH,n
29,143,up,3,GSH,y
28,143,down,1,GSH,n
31,146,up,2,GSH,y
30,146,down,1,GSH,n
53,179,up,3,GSH,y
52,179,down,1,GSH,n
57,183,up,3,GSH,y
56,183,down,1,GSH,n
59,188,up,1,GSH,y
58,188,down,2,GSH,n
61,189,up,2,GSH,y
60,189,down,1,GSH,n
63,194,up,2,GSH,y
62,194,down,2,GSH,n
69,203,up,4,GSH,y
68,203,down,2,GSH,n
89,226,up,2,GSH,y
88,226,down,1,GSH,n
111,247,up,2,GSH,y
110,247,down,2,GSH,y
113,248,up,1,GSH,n
112,248,down,2,GSH,y
115,252,up,3,GSH,y
114,252,down,1,GSH,n
117,253,up,3,GSH,y
116,253,down,1,GSH,n
137,276,up,3,GSH,y
136,276,down,1,GSH,n
143,284,up,2,GSH,y
142,284,down,2,GSH,y
145,288,up,2,GSH,y
144,288,down,1,GSH,n
147,296,up,2,GSH,y
146,296,down,1,GSH,n
149,299,up,2,GSH,y
148,299,down,1,GSH,n
159,312,up,3,GSH,y
158,312,down,1,GSH,n
167,319,up,2,GSH,n
166,319,down,1,GSH,y
179,333,up,3,GSH,y
178,333,down,1,GSH,n
189,348,up,4,GSH,y
188,348,down,1,GSH,n
191,349,up,4,GSH,y
190,349,down,1,GSH,n
199,352,up,2,GSH,y
198,352,down,2,GSH,n
201,360,up,3,GSH,y
200,360,down,1,GSH,n
209,376,up,2,GSH,y
208,376,down,2,GSH,n
219,400,up,3,GSH,y
218,400,down,1,GSH,n
223,402,up,2,GSH,y
222,402,down,2,GSH,y
225,406,up,1,GSH,y
224,406,down,2,GSH,y
227,410,up,1,GSH,n
226,410,down,1,GSH,n
265,478,up,3,GSH,y
264,478,down,1,GSH,n
269,484,up,2,GSH,y
268,484,down,2,GSH,n
285,509,up,1,GSH,y
284,509,down,1,GSH,n
289,513,up,3,GSH,y
288,513,down,1,GSH,n
321,556,up,2,GSH,y
320,556,down,2,GSH,n
337,569,up,2,GSH,y
336,569,down,1,GSH,n
339,572,up,2,GSH,y
338,572,down,1,GSH,n
357,592,up,4,GSH,y
356,592,down,1,GSH,n
371,602,up,3,GSH,y
370,602,down,2,GSH,n
379,618,up,1,GSH,y
378,618,down,1,GSH,n
381,619,up,2,GSH,y
380,619,down,2,GSH,y
385,620,up,2,GSH,y
384,620,down,1,GSH,n
391,633,up,2,GSH,y
390,633,down,1,GSH,n
395,639,up,2,GSH,y
394,639,down,2,GSH,n
397,641,up,2,GSH,y
396,641,down,1,GSH,n
403,654,up,2,GSH,y
402,654,down,2,GSH,n
423,681,up,2,GSH,y
422,681,down,1,GSH,n
425,682,up,1,GSH,y
424,682,down,1,GSH,n
