,meas,spid,sc_hit,mc_hit111,direction,keep
0,GSH,8,,1.0,down,
1,GSH,8,,1.0,up,
2,GSH,9,1.0,,down,
3,GSH,9,2.0,,up,
4,GSH,13,,1.0,down,
5,GSH,17,,1.0,down,
6,GSH,17,,1.0,up,
7,GSH,20,,3.0,down,
8,GSH,26,,2.0,down,
9,GSH,26,,1.0,up,
10,GSH,28,,1.0,down,
11,GSH,35,,1.0,down,
12,GSH,35,,2.0,up,
13,GSH,37,,4.0,down,
14,GSH,40,,3.0,up,
15,GSH,42,1.0,,down,
16,GSH,42,1.0,,up,
17,GSH,45,2.0,,down,
18,GSH,45,1.0,3.0,up,
19,GSH,47,3.0,2.0,up,
20,GSH,59,,3.0,down,
21,GSH,60,,3.0,down,
22,GSH,62,,2.0,down,
23,GSH,65,,4.0,down,
24,GSH,67,4.0,3.0,up,
25,GSH,68,4.0,,up,
26,GSH,69,,3.0,down,
27,GSH,72,,1.0,down,
28,GSH,72,,2.0,up,
29,GSH,74,,4.0,down,
30,GSH,76,3.0,4.0,up,
31,GSH,78,,2.0,down,
32,GSH,79,,4.0,down,
33,GSH,83,,1.0,down,
34,GSH,83,2.0,3.0,up,
35,GSH,85,,4.0,down,
36,GSH,87,,4.0,down,
37,GSH,88,,4.0,down,
38,GSH,92,,2.0,down,
39,GSH,96,,2.0,down,
40,GSH,96,,1.0,up,
41,GSH,98,1.0,,down,
42,GSH,98,1.0,,up,
43,GSH,102,,4.0,down,
44,GSH,104,,3.0,down,
45,GSH,105,3.0,4.0,up,
46,GSH,108,,4.0,down,
47,GSH,109,,4.0,down,
48,GSH,110,,1.0,down,
49,GSH,110,,1.0,up,
50,GSH,111,,3.0,down,
51,GSH,116,3.0,3.0,up,
52,GSH,123,,4.0,down,
53,GSH,126,,1.0,up,
54,GSH,127,,2.0,down,
55,GSH,129,,2.0,down,
56,GSH,136,,3.0,down,
57,GSH,143,2.0,1.0,down,
58,GSH,143,1.0,3.0,up,
59,GSH,146,,1.0,down,
60,GSH,146,4.0,2.0,up,
61,GSH,149,,2.0,down,
62,GSH,152,3.0,4.0,up,
63,GSH,155,,1.0,down,
64,GSH,162,,3.0,down,
65,GSH,163,3.0,4.0,up,
66,GSH,165,2.0,2.0,up,
67,GSH,168,3.0,,up,
68,GSH,170,,2.0,up,
69,GSH,171,,2.0,down,
70,GSH,171,1.0,,up,
71,GSH,172,3.0,,up,
72,GSH,175,1.0,,up,
73,GSH,178,1.0,1.0,up,
74,GSH,179,1.0,1.0,down,
75,GSH,179,1.0,3.0,up,
76,GSH,180,,3.0,down,
77,GSH,183,,1.0,down,
78,GSH,183,3.0,3.0,up,
79,GSH,188,,2.0,down,
80,GSH,189,,1.0,down,
81,GSH,194,,2.0,down,
82,GSH,196,3.0,,up,
83,GSH,199,2.0,2.0,up,
84,GSH,203,,2.0,down,
85,GSH,203,,1.0,up,
86,GSH,214,,4.0,down,
87,GSH,218,,2.0,up,
88,GSH,222,,3.0,up,
89,GSH,224,1.0,,up,
90,GSH,226,,1.0,down,
91,GSH,227,3.0,4.0,up,
92,GSH,232,,2.0,up,
93,GSH,234,,3.0,up,
94,GSH,236,1.0,,up,
95,GSH,237,2.0,4.0,up,
96,GSH,239,2.0,3.0,up,
97,GSH,245,1.0,2.0,up,
98,GSH,247,,2.0,up,
99,GSH,248,,1.0,down,
100,GSH,248,,1.0,up,
101,GSH,252,,1.0,down,
102,GSH,252,,3.0,up,
103,GSH,253,,1.0,down,
104,GSH,253,,3.0,up,
105,GSH,257,,3.0,up,
106,GSH,259,2.0,4.0,up,
107,GSH,262,1.0,3.0,up,
108,GSH,265,,3.0,up,
109,GSH,270,1.0,,up,
110,GSH,276,2.0,3.0,up,
111,GSH,281,,2.0,up,
112,GSH,284,,2.0,down,
113,GSH,284,,2.0,up,
114,GSH,288,1.0,2.0,up,
115,GSH,296,,1.0,down,
116,GSH,296,,2.0,up,
117,GSH,299,3.0,2.0,up,
118,GSH,300,,1.0,up,
119,GSH,301,,4.0,up,
120,GSH,305,1.0,,up,
121,GSH,309,,3.0,up,
122,GSH,311,,2.0,up,
123,GSH,312,4.0,3.0,up,
124,GSH,316,,4.0,up,
125,GSH,318,,3.0,up,
126,GSH,319,,2.0,up,
127,GSH,325,2.0,2.0,up,
128,GSH,326,1.0,3.0,up,
129,GSH,327,2.0,2.0,up,
130,GSH,328,1.0,3.0,up,
131,GSH,333,,1.0,down,
132,GSH,333,,3.0,up,
133,GSH,335,2.0,2.0,up,
134,GSH,339,3.0,3.0,up,
135,GSH,345,1.0,,up,
136,GSH,348,2.0,4.0,up,
137,GSH,349,1.0,4.0,up,
138,GSH,350,,1.0,up,
139,GSH,351,,2.0,up,
140,GSH,352,,2.0,down,
141,GSH,352,,2.0,up,
142,GSH,360,1.0,1.0,down,
143,GSH,360,,3.0,up,
144,GSH,366,3.0,4.0,up,
145,GSH,372,2.0,4.0,up,
146,GSH,375,4.0,,up,
147,GSH,376,1.0,2.0,up,
148,GSH,382,,4.0,up,
149,GSH,383,,2.0,up,
150,GSH,397,1.0,1.0,up,
151,GSH,400,,3.0,up,
152,GSH,401,,3.0,up,
153,GSH,402,,2.0,down,
154,GSH,402,,2.0,up,
155,GSH,406,,1.0,up,
156,GSH,410,,1.0,down,
157,GSH,410,,1.0,up,
158,GSH,419,,1.0,down,
159,GSH,427,,2.0,up,
160,GSH,437,,1.0,down,
161,GSH,437,1.0,,up,
162,GSH,442,,2.0,down,
163,GSH,444,,3.0,up,
164,GSH,450,,3.0,up,
165,GSH,452,2.0,2.0,up,
166,GSH,458,,1.0,down,
167,GSH,460,,4.0,up,
168,GSH,461,,1.0,up,
169,GSH,462,2.0,1.0,up,
170,GSH,470,2.0,4.0,up,
171,GSH,473,,1.0,up,
172,GSH,478,4.0,3.0,up,
173,GSH,484,1.0,2.0,down,
174,GSH,484,,2.0,up,
175,GSH,486,2.0,2.0,up,
176,GSH,487,2.0,2.0,up,
177,GSH,488,,3.0,down,
178,GSH,488,1.0,,up,
179,GSH,494,,3.0,down,
180,GSH,496,2.0,3.0,up,
181,GSH,502,2.0,2.0,up,
182,GSH,507,2.0,3.0,down,
183,GSH,509,,1.0,down,
184,GSH,509,,1.0,up,
185,GSH,511,,2.0,up,
186,GSH,513,,1.0,down,
187,GSH,513,1.0,3.0,up,
188,GSH,517,,2.0,up,
189,GSH,518,1.0,2.0,up,
190,GSH,527,,2.0,up,
191,GSH,528,1.0,4.0,up,
192,GSH,531,,2.0,down,
193,GSH,534,,1.0,up,
194,GSH,540,3.0,2.0,up,
195,GSH,544,,3.0,up,
196,GSH,547,2.0,4.0,up,
197,GSH,552,,2.0,down,
198,GSH,553,,2.0,down,
199,GSH,553,1.0,,up,
200,GSH,554,,1.0,down,
201,GSH,556,,2.0,down,
202,GSH,556,2.0,2.0,up,
203,GSH,559,,4.0,up,
204,GSH,567,2.0,4.0,up,
205,GSH,568,,1.0,down,
206,GSH,569,,1.0,down,
207,GSH,572,,1.0,down,
208,GSH,572,2.0,2.0,up,
209,GSH,573,2.0,,down,
210,GSH,573,,1.0,up,
211,GSH,578,4.0,4.0,up,
212,GSH,580,4.0,4.0,up,
213,GSH,585,,2.0,down,
214,GSH,591,1.0,3.0,up,
215,GSH,592,3.0,4.0,up,
216,GSH,594,,2.0,up,
217,GSH,597,2.0,3.0,up,
218,GSH,602,,3.0,up,
219,GSH,612,,4.0,up,
220,GSH,615,1.0,,down,
221,GSH,616,,2.0,up,
222,GSH,618,,1.0,down,
223,GSH,618,,1.0,up,
224,GSH,619,,2.0,up,
225,GSH,620,,2.0,up,
226,GSH,624,,2.0,up,
227,GSH,627,,3.0,up,
228,GSH,633,,1.0,down,
229,GSH,633,,2.0,up,
230,GSH,634,,3.0,up,
231,GSH,639,,1.0,down,
232,GSH,639,2.0,2.0,up,
233,GSH,641,,1.0,down,
234,GSH,641,,2.0,up,
235,GSH,654,,2.0,up,
236,GSH,656,1.0,3.0,up,
237,GSH,666,3.0,2.0,up,
238,GSH,668,,2.0,down,
239,GSH,678,,2.0,up,
240,GSH,679,1.0,3.0,down,
241,GSH,681,,1.0,down,
242,GSH,682,,1.0,down,
243,GSH,686,,3.0,up,
244,GSH,688,,1.0,up,
245,GSH,696,,2.0,up,
246,GSH,709,,1.0,up,
247,GSH,712,,4.0,up,
248,GSH,721,,2.0,up,
