meas,spid,sc_hit,mc_hit111,direction,keep
GSH,8,,1,down,n
GSH,8,,1,up,n
GSH,9,1,,down,n
GSH,9,2,,up,n
GSH,13,,1,down,n
GSH,17,,1,down,n
GSH,17,,1,up,y
GSH,20,,3,down,n
GSH,26,,1,up,y
GSH,26,,2,down,n
GSH,28,,1,down,n
GSH,35,,1,down,n
GSH,35,,2,up,y
GSH,37,,4,down,n
GSH,40,,3,up,y
GSH,42,1,,down,n
GSH,42,1,,up,n
GSH,45,1,3,up,y
GSH,45,2,,down,n
GSH,47,3,2,up,y
GSH,59,,3,down,n
GSH,60,,3,down,n
GSH,62,,2,down,n
GSH,65,,4,down,n
GSH,67,4,3,up,y
GSH,68,4,,up,n
GSH,69,,3,down,n
GSH,72,,1,down,n
GSH,72,,2,up,y
GSH,74,,4,down,n
GSH,76,3,4,up,y
GSH,78,,2,down,n
GSH,79,,4,down,n
GSH,83,,1,down,n
GSH,83,2,3,up,y
GSH,85,,4,down,n
GSH,87,,4,down,n
GSH,88,,4,down,n
GSH,92,,2,down,n
GSH,96,,1,up,n
GSH,96,,2,down,n
GSH,98,1,,down,n
GSH,98,1,,up,n
GSH,102,,4,down,n
GSH,104,,3,down,n
GSH,105,3,4,up,y
GSH,108,,4,down,n
GSH,109,,4,down,n
GSH,110,,1,down,n
GSH,110,,1,up,y
GSH,111,,3,down,n
GSH,116,3,3,up,y
GSH,123,,4,down,n
GSH,126,,1,up,n
GSH,127,,2,down,n
GSH,129,,2,down,n
GSH,136,,3,down,n
GSH,143,2,1,down,n
GSH,143,1,3,up,y
GSH,146,,1,down,n
GSH,146,4,2,up,y
GSH,149,,2,down,n
GSH,152,3,4,up,y
GSH,155,,1,down,n
GSH,162,,3,down,n
GSH,163,3,4,up,y
GSH,165,2,2,up,y
GSH,168,3,,up,n
GSH,170,,2,up,n
GSH,171,,2,down,y
GSH,171,1,,up,n
GSH,172,3,,up,n
GSH,175,1,,up,n
GSH,178,1,1,up,y
GSH,179,1,1,down,n
GSH,179,1,3,up,y
GSH,180,,3,down,n
GSH,183,,1,down,n
GSH,183,3,3,up,y
GSH,188,,2,down,n
GSH,189,,1,down,n
GSH,194,,2,down,n
GSH,196,3,,up,n
GSH,199,2,2,up,y
GSH,203,,1,up,n
GSH,203,,2,down,n
GSH,214,,4,down,n
GSH,218,,2,up,y
GSH,222,,3,up,y
GSH,224,1,,up,n
GSH,226,,1,down,n
GSH,227,3,4,up,y
GSH,232,,2,up,y
GSH,234,,3,up,y
GSH,236,1,,up,y
GSH,237,2,4,up,y
GSH,239,2,3,up,y
GSH,245,1,2,up,y
GSH,247,,2,up,y
GSH,248,,1,down,y
GSH,248,,1,up,n
GSH,252,,1,down,n
GSH,252,,3,up,y
GSH,253,,1,down,n
GSH,253,,3,up,y
GSH,257,,3,up,y
GSH,259,2,4,up,y
GSH,262,1,3,up,y
GSH,265,,3,up,y
GSH,270,1,,up,n
GSH,276,2,3,up,y
