,meas,spid,sc_hit,mc_hit111,direction,keep
0,MMP,8,,2.0,up,
1,MMP,9,3.0,,up,
2,MMP,13,,1.0,down,
3,MMP,26,,1.0,up,
4,MMP,28,,2.0,up,
5,MMP,35,,2.0,up,
6,MMP,37,,2.0,up,
7,MMP,40,,3.0,up,
8,MMP,42,3.0,,up,
9,MMP,45,3.0,3.0,up,
10,MMP,47,1.0,,up,
11,MMP,55,,1.0,down,
12,MMP,59,,1.0,down,
13,MMP,60,,3.0,up,
14,MMP,65,,1.0,up,
15,MMP,67,4.0,1.0,up,
16,MMP,68,4.0,,up,
17,MMP,69,,1.0,up,
18,MMP,71,,3.0,up,
19,MMP,74,,3.0,up,
20,MMP,76,3.0,3.0,up,
21,MMP,83,3.0,1.0,up,
22,MMP,87,,2.0,up,
23,MMP,88,,1.0,up,
24,MMP,96,,1.0,down,
25,MMP,96,,1.0,up,
26,MMP,98,3.0,,up,
27,MMP,102,,1.0,up,
28,MMP,105,3.0,3.0,up,
29,MMP,108,,1.0,down,
30,MMP,110,,2.0,up,
31,MMP,111,,2.0,up,
32,MMP,116,2.0,2.0,up,
33,MMP,123,,2.0,up,
34,MMP,125,4.0,,down,
35,MMP,126,,3.0,up,
36,MMP,127,,1.0,up,
37,MMP,129,,1.0,up,
38,MMP,143,3.0,2.0,up,
39,MMP,146,3.0,,up,
40,MMP,152,4.0,3.0,up,
41,MMP,155,,2.0,up,
42,MMP,162,,1.0,down,
43,MMP,163,3.0,4.0,up,
44,MMP,165,2.0,1.0,up,
45,MMP,168,4.0,,up,
46,MMP,170,,3.0,up,
47,MMP,171,,3.0,up,
48,MMP,172,2.0,,up,
49,MMP,178,,3.0,up,
50,MMP,179,,2.0,down,
51,MMP,179,3.0,2.0,up,
52,MMP,180,2.0,,down,
53,MMP,180,,2.0,up,
54,MMP,183,4.0,3.0,up,
55,MMP,188,,1.0,up,
56,MMP,189,1.0,3.0,up,
57,MMP,196,3.0,,up,
58,MMP,199,,1.0,up,
59,MMP,203,,1.0,up,
60,MMP,214,,1.0,up,
61,MMP,215,,1.0,up,
62,MMP,216,2.0,,up,
63,MMP,217,1.0,,up,
64,MMP,218,2.0,,up,
65,MMP,219,1.0,,up,
66,MMP,220,1.0,,up,
67,MMP,222,2.0,,up,
68,MMP,223,3.0,,up,
69,MMP,224,2.0,1.0,up,
70,MMP,225,2.0,,up,
71,MMP,226,2.0,1.0,up,
72,MMP,227,1.0,4.0,up,
73,MMP,228,1.0,,up,
74,MMP,229,1.0,,up,
75,MMP,230,1.0,,up,
76,MMP,231,1.0,,up,
77,MMP,232,2.0,,up,
78,MMP,234,1.0,,up,
79,MMP,237,4.0,4.0,up,
80,MMP,239,2.0,1.0,up,
81,MMP,245,,1.0,up,
82,MMP,247,1.0,,up,
83,MMP,252,4.0,4.0,up,
84,MMP,253,3.0,4.0,up,
85,MMP,257,,2.0,up,
86,MMP,259,,1.0,up,
87,MMP,262,,1.0,up,
88,MMP,264,1.0,,up,
89,MMP,265,4.0,4.0,up,
90,MMP,270,3.0,,up,
91,MMP,276,4.0,3.0,up,
92,MMP,281,,1.0,down,
93,MMP,284,,1.0,up,
94,MMP,288,1.0,2.0,up,
95,MMP,296,2.0,2.0,up,
96,MMP,299,4.0,4.0,up,
97,MMP,301,,1.0,up,
98,MMP,309,1.0,4.0,up,
99,MMP,311,2.0,,up,
100,MMP,312,4.0,4.0,up,
101,MMP,316,2.0,2.0,up,
102,MMP,317,1.0,,up,
103,MMP,318,1.0,,up,
104,MMP,319,1.0,2.0,up,
105,MMP,320,2.0,,up,
106,MMP,325,1.0,1.0,up,
107,MMP,326,1.0,1.0,up,
108,MMP,327,1.0,,up,
109,MMP,328,2.0,1.0,up,
110,MMP,333,4.0,4.0,up,
111,MMP,335,2.0,,up,
112,MMP,336,1.0,,up,
113,MMP,339,,1.0,up,
114,MMP,348,,3.0,up,
115,MMP,349,4.0,4.0,up,
116,MMP,351,1.0,,up,
117,MMP,352,2.0,4.0,down,
118,MMP,360,4.0,4.0,up,
119,MMP,366,4.0,4.0,up,
120,MMP,375,1.0,,up,
121,MMP,376,4.0,4.0,up,
122,MMP,382,4.0,3.0,up,
123,MMP,383,1.0,1.0,up,
124,MMP,397,1.0,4.0,up,
125,MMP,400,,4.0,up,
126,MMP,401,,3.0,up,
127,MMP,402,,4.0,down,
