,meas,spid,direction,sc_hit,mc_hit111,keep,relation
0,MMP,8,up,,2,y,
1,MMP,9,up,3,,n,
2,MMP,13,down,,1,n,
3,MMP,26,up,,1,n,
4,MMP,28,up,,2,n,
5,MMP,35,up,,2,y,
6,MMP,37,up,,2,y,
7,MMP,40,up,,3,y,
8,MMP,42,up,3,,n,
9,MMP,45,up,3,3,y,
10,MMP,47,up,1,,n,
11,MMP,55,down,,1,n,
12,MMP,59,down,,1,n,
13,MMP,60,up,,3,y,
14,MMP,65,up,,1,n,
15,MMP,67,up,4,1,n,
16,MMP,68,up,4,,n,
17,MMP,69,up,,1,n,
18,MMP,71,up,,3,y,
19,MMP,74,up,,3,y,
20,MMP,76,up,3,3,y,
21,MMP,83,up,3,1,n,
22,MMP,87,up,,2,y,
23,MMP,88,up,,1,y,
24,MMP,96,down,,1,y,
25,MMP,96,up,,1,n,
26,MMP,98,up,3,,n,
27,MMP,102,up,,1,n,
28,MMP,105,up,3,3,y,
29,MMP,108,down,,1,n,
30,MMP,110,up,,2,y,
31,MMP,111,up,,2,y,
32,MMP,116,up,2,2,y,
33,MMP,123,up,,2,y,
34,MMP,125,down,4,,n,
35,MMP,126,up,,3,y,
36,MMP,127,up,,1,n,
37,MMP,129,up,,1,y,
38,MMP,143,up,3,2,y,
39,MMP,146,up,3,,n,
40,MMP,152,up,4,3,y,
41,MMP,155,up,,2,y,
42,MMP,162,down,,1,n,
43,MMP,163,up,3,4,y,
44,MMP,165,up,2,1,y,
45,MMP,168,up,4,,n,
46,MMP,170,up,,3,y,
47,MMP,171,up,,3,y,
48,MMP,172,up,2,,n,
49,MMP,178,up,,3,y,
50,MMP,179,down,,2,n,
51,MMP,179,up,3,2,y,
53,MMP,180,up,,2,n,
52,MMP,180,down,2,,n,
54,MMP,183,up,4,3,y,
55,MMP,188,up,,1,y,
56,MMP,189,up,1,3,y,
57,MMP,196,up,3,,n,
58,MMP,199,up,,1,y,
59,MMP,203,up,,1,y,
60,MMP,214,up,,1,y,
61,MMP,215,up,,1,n,
62,MMP,216,up,2,,n,
63,MMP,217,up,1,,n,
64,MMP,218,up,2,,y,
65,MMP,219,up,1,,n,
66,MMP,220,up,1,,n,
67,MMP,222,up,2,,y,
68,MMP,223,up,3,,n,
69,MMP,224,up,2,1,y,
70,MMP,225,up,2,,n,
71,MMP,226,up,2,1,y,
72,MMP,227,up,1,4,y,
73,MMP,228,up,1,,n,
74,MMP,229,up,1,,n,
75,MMP,230,up,1,,n,
76,MMP,231,up,1,,n,
77,MMP,232,up,2,,n,
78,MMP,234,up,1,,n,
79,MMP,237,up,4,4,y,
80,MMP,239,up,2,1,y,
81,MMP,245,up,,1,y,
82,MMP,247,up,1,,n,
83,MMP,252,up,4,4,y,
