,meas,spid,sc_hit,mc_hit111,direction,keep
1,MitoStruct,9,1.0,,down,
2,MitoStruct,9,2.0,,up,
20,MitoStruct,72,,1.0,down,
21,MitoStruct,72,,1.0,up,
22,MitoStruct,74,,1.0,down,
23,MitoStruct,74,,2.0,up,
26,MitoStruct,83,1.0,,down,
27,MitoStruct,83,2.0,,up,
29,MitoStruct,96,,1.0,down,
30,MitoStruct,96,,2.0,up,
31,MitoStruct,98,1.0,,down,
32,MitoStruct,98,2.0,,up,
42,MitoStruct,143,1.0,1.0,down,
43,MitoStruct,143,,1.0,up,
49,MitoStruct,163,2.0,3.0,up,
48,MitoStruct,163,1.0,,down,
73,MitoStruct,237,,1.0,down,
74,MitoStruct,237,2.0,3.0,up,
77,MitoStruct,252,,1.0,down,
78,MitoStruct,252,3.0,3.0,up,
79,MitoStruct,253,1.0,1.0,down,
80,MitoStruct,253,3.0,3.0,up,
84,MitoStruct,265,,1.0,down,
85,MitoStruct,265,,2.0,up,
86,MitoStruct,270,1.0,,down,
87,MitoStruct,270,2.0,,up,
88,MitoStruct,276,,1.0,down,
89,MitoStruct,276,4.0,2.0,up,
93,MitoStruct,299,,1.0,down,
94,MitoStruct,299,3.0,1.0,up,
99,MitoStruct,312,4.0,3.0,up,
98,MitoStruct,312,,1.0,down,
112,MitoStruct,349,,1.0,down,
113,MitoStruct,349,2.0,3.0,up,
116,MitoStruct,360,2.0,2.0,down,
117,MitoStruct,360,1.0,2.0,up,
118,MitoStruct,366,,1.0,down,
119,MitoStruct,366,3.0,3.0,up,
121,MitoStruct,376,,1.0,down,
122,MitoStruct,376,3.0,2.0,up,
125,MitoStruct,401,,3.0,down,
126,MitoStruct,401,,1.0,up,
128,MitoStruct,410,,2.0,down,
129,MitoStruct,410,,1.0,up,
139,MitoStruct,462,,1.0,down,
140,MitoStruct,462,3.0,2.0,up,
154,MitoStruct,513,2.0,2.0,up,
153,MitoStruct,513,1.0,1.0,down,
158,MitoStruct,540,,1.0,down,
159,MitoStruct,540,1.0,2.0,up,
163,MitoStruct,556,,2.0,down,
164,MitoStruct,556,2.0,2.0,up,
165,MitoStruct,559,,1.0,down,
166,MitoStruct,559,,2.0,up,
168,MitoStruct,567,,1.0,down,
169,MitoStruct,567,,1.0,up,
171,MitoStruct,573,4.0,3.0,down,
172,MitoStruct,573,,1.0,up,
191,MitoStruct,634,,3.0,down,
192,MitoStruct,634,2.0,1.0,up,
193,MitoStruct,639,,2.0,down,
194,MitoStruct,639,3.0,2.0,up,
197,MitoStruct,654,,2.0,down,
198,MitoStruct,654,,2.0,up,
