,meas,spid,sc_hit,mc_hit111,direction,keep
0,MitoStruct,8,,2.0,up,
1,MitoStruct,9,1.0,,down,
2,MitoStruct,9,2.0,,up,
3,MitoStruct,13,,1.0,down,
4,MitoStruct,26,,2.0,up,
5,MitoStruct,28,,2.0,up,
6,MitoStruct,35,,3.0,up,
7,MitoStruct,37,,1.0,up,
8,MitoStruct,40,,4.0,up,
9,MitoStruct,42,2.0,,down,
10,MitoStruct,45,2.0,,down,
11,MitoStruct,45,,1.0,up,
12,MitoStruct,55,,2.0,down,
13,MitoStruct,59,,1.0,down,
14,MitoStruct,60,,2.0,up,
15,MitoStruct,62,,1.0,down,
16,MitoStruct,67,2.0,,up,
17,MitoStruct,68,4.0,,up,
18,MitoStruct,69,,3.0,up,
19,MitoStruct,71,,2.0,up,
20,MitoStruct,72,,1.0,down,
21,MitoStruct,72,,1.0,up,
22,MitoStruct,74,,1.0,down,
23,MitoStruct,74,,2.0,up,
24,MitoStruct,76,1.0,4.0,up,
25,MitoStruct,78,,1.0,up,
26,MitoStruct,83,1.0,,down,
27,MitoStruct,83,2.0,,up,
28,MitoStruct,87,,2.0,up,
29,MitoStruct,96,,1.0,down,
30,MitoStruct,96,,2.0,up,
31,MitoStruct,98,1.0,,down,
32,MitoStruct,98,2.0,,up,
33,MitoStruct,102,,2.0,up,
34,MitoStruct,105,2.0,2.0,up,
35,MitoStruct,110,,2.0,up,
36,MitoStruct,111,,1.0,up,
37,MitoStruct,116,3.0,3.0,up,
38,MitoStruct,123,,2.0,up,
39,MitoStruct,126,,1.0,up,
40,MitoStruct,127,,1.0,up,
41,MitoStruct,129,,1.0,down,
42,MitoStruct,143,1.0,1.0,down,
43,MitoStruct,143,,1.0,up,
44,MitoStruct,146,1.0,,up,
45,MitoStruct,152,1.0,1.0,up,
46,MitoStruct,155,,2.0,up,
47,MitoStruct,162,,1.0,down,
48,MitoStruct,163,1.0,,down,
49,MitoStruct,163,2.0,3.0,up,
50,MitoStruct,165,1.0,,up,
51,MitoStruct,168,1.0,,up,
52,MitoStruct,170,,2.0,up,
53,MitoStruct,171,,2.0,up,
54,MitoStruct,172,1.0,,up,
55,MitoStruct,179,2.0,2.0,down,
56,MitoStruct,180,,2.0,up,
57,MitoStruct,183,1.0,2.0,up,
58,MitoStruct,189,,1.0,up,
59,MitoStruct,196,1.0,,up,
60,MitoStruct,199,,2.0,up,
61,MitoStruct,203,,1.0,up,
62,MitoStruct,214,,2.0,up,
63,MitoStruct,216,1.0,,up,
64,MitoStruct,218,,1.0,up,
65,MitoStruct,220,1.0,,up,
66,MitoStruct,222,1.0,1.0,up,
67,MitoStruct,223,2.0,,up,
68,MitoStruct,224,,2.0,down,
69,MitoStruct,224,1.0,,up,
70,MitoStruct,226,,1.0,up,
71,MitoStruct,231,1.0,,up,
72,MitoStruct,234,1.0,1.0,up,
73,MitoStruct,237,,1.0,down,
74,MitoStruct,237,2.0,3.0,up,
75,MitoStruct,239,1.0,2.0,up,
76,MitoStruct,245,,1.0,up,
77,MitoStruct,252,,1.0,down,
78,MitoStruct,252,3.0,3.0,up,
79,MitoStruct,253,1.0,1.0,down,
80,MitoStruct,253,3.0,3.0,up,
81,MitoStruct,257,,2.0,up,
82,MitoStruct,259,,3.0,up,
83,MitoStruct,262,,2.0,up,
84,MitoStruct,265,,1.0,down,
85,MitoStruct,265,,2.0,up,
86,MitoStruct,270,1.0,,down,
87,MitoStruct,270,2.0,,up,
88,MitoStruct,276,,1.0,down,
89,MitoStruct,276,4.0,2.0,up,
