,meas,spid,sc_hit,mc_hit111,direction,keep
21,NucArea,72,,1.0,down,
22,NucArea,72,,1.0,up,
38,NucArea,127,,1.0,down,
39,NucArea,127,,1.0,up,
84,NucArea,239,2.0,1.0,down,
85,NucArea,239,,1.0,up,
96,NucArea,262,,1.0,down,
97,NucArea,262,,2.0,up,
101,NucArea,276,4.0,2.0,down,
102,NucArea,276,,1.0,up,
105,NucArea,284,,1.0,up,
104,NucArea,284,1.0,2.0,down,
106,NucArea,288,2.0,1.0,down,
107,NucArea,288,,1.0,up,
108,NucArea,296,4.0,1.0,down,
109,NucArea,296,,1.0,up,
178,NucArea,544,4.0,1.0,down,
179,NucArea,544,,1.0,up,
206,NucArea,602,3.0,1.0,down,
207,NucArea,602,,2.0,up,
233,NucArea,696,,1.0,down,
234,NucArea,696,,1.0,up,
