Column1,meas,spid,direction,sc_hit,mc_hit,keep
1155,NucArea,47,up,0,2,n
364,NucArea,47,down,1,1,y
893,NucArea,71,up,0,1,n
396,NucArea,71,down,0,1,n
857,NucArea,72,up,0,1,n
416,NucArea,72,down,0,2,y
761,NucArea,83,up,0,1,n
559,NucArea,83,down,4,1,y
729,NucArea,87,up,0,1,n
500,NucArea,87,down,0,1,n
736,NucArea,88,up,0,2,n
497,NucArea,88,down,0,3,y
1031,NucArea,127,up,0,1,n
532,NucArea,127,down,0,1,n
956,NucArea,222,up,0,1,n
682,NucArea,222,down,2,3,y
961,NucArea,227,up,0,2,n
669,NucArea,227,down,2,1,y
967,NucArea,232,up,0,1,n
677,NucArea,232,down,2,1,y
917,NucArea,239,up,0,1,n
610,NucArea,239,down,2,1,y
928,NucArea,248,up,0,1,n
634,NucArea,248,down,1,1,n
972,NucArea,262,up,0,2,n
629,NucArea,262,down,0,2,y
1015,NucArea,276,up,0,1,n
680,NucArea,276,down,4,2,y
1024,NucArea,284,up,0,1,n
392,NucArea,284,down,1,2,y
998,NucArea,288,up,0,1,n
125,NucArea,288,down,2,3,y
980,NucArea,296,up,0,1,n
139,NucArea,296,down,4,1,y
1271,NucArea,351,up,0,1,n
34,NucArea,351,down,2,1,n
1355,NucArea,376,up,0,1,n
75,NucArea,376,down,4,3,y
1396,NucArea,444,up,,2,n
1375,NucArea,444,down,,2,y
767,NucArea,544,up,0,1,n
246,NucArea,544,down,4,1,y
727,NucArea,568,up,0,1,n
294,NucArea,568,down,1,1,n
866,NucArea,572,up,0,1,n
349,NucArea,572,down,3,1,y
781,NucArea,602,up,0,2,n
58,NucArea,602,down,3,2,y
693,NucArea,657,up,0,1,n
123,NucArea,657,down,0,2,y
837,NucArea,686,up,0,1,n
673,NucArea,686,down,1,1,y
1389,NucArea,696,up,,1,n
1383,NucArea,696,down,,2,y
