,meas,spid,sc_hit,mc_hit111,direction,keep
0,NucArea,9,4.0,,down,
1,NucArea,13,,1.0,up,
2,NucArea,15,1.0,,down,
3,NucArea,26,1.0,2.0,up,
4,NucArea,28,,1.0,up,
5,NucArea,35,,2.0,down,
6,NucArea,36,2.0,,up,
7,NucArea,37,,1.0,up,
8,NucArea,40,,2.0,down,
9,NucArea,42,4.0,,down,
10,NucArea,45,4.0,3.0,down,
11,NucArea,47,1.0,,down,
12,NucArea,47,,2.0,up,
13,NucArea,55,,1.0,up,
14,NucArea,59,,1.0,down,
15,NucArea,60,,3.0,down,
16,NucArea,62,,2.0,up,
17,NucArea,67,3.0,,down,
18,NucArea,68,1.0,,down,
19,NucArea,69,,2.0,up,
20,NucArea,71,,1.0,up,
21,NucArea,72,,1.0,down,
22,NucArea,72,,1.0,up,
23,NucArea,74,,1.0,down,
24,NucArea,76,2.0,,down,
25,NucArea,78,,1.0,up,
26,NucArea,81,2.0,,up,
27,NucArea,83,4.0,,down,
28,NucArea,83,,1.0,up,
29,NucArea,87,,1.0,up,
30,NucArea,88,,2.0,up,
31,NucArea,98,4.0,,down,
32,NucArea,102,,1.0,up,
33,NucArea,104,2.0,,up,
34,NucArea,105,2.0,2.0,down,
35,NucArea,110,,2.0,up,
36,NucArea,123,,3.0,down,
37,NucArea,126,,2.0,down,
38,NucArea,127,,1.0,down,
39,NucArea,127,,1.0,up,
40,NucArea,129,,1.0,up,
41,NucArea,143,4.0,3.0,down,
42,NucArea,146,3.0,,down,
43,NucArea,149,,1.0,up,
44,NucArea,152,2.0,4.0,down,
45,NucArea,155,,1.0,up,
46,NucArea,163,4.0,4.0,down,
47,NucArea,165,2.0,,down,
48,NucArea,168,3.0,,down,
49,NucArea,171,,1.0,down,
50,NucArea,175,2.0,,down,
51,NucArea,179,4.0,3.0,down,
52,NucArea,180,,1.0,down,
53,NucArea,183,4.0,2.0,down,
54,NucArea,188,,1.0,down,
55,NucArea,189,2.0,1.0,down,
56,NucArea,194,,1.0,down,
57,NucArea,196,1.0,,down,
58,NucArea,203,,1.0,up,
59,NucArea,216,2.0,,down,
60,NucArea,218,1.0,,down,
61,NucArea,220,1.0,,down,
62,NucArea,220,,1.0,up,
63,NucArea,222,2.0,,down,
64,NucArea,222,,1.0,up,
65,NucArea,223,2.0,,down,
66,NucArea,224,3.0,2.0,down,
67,NucArea,225,2.0,,down,
68,NucArea,225,,1.0,up,
69,NucArea,226,1.0,,down,
70,NucArea,226,,2.0,up,
71,NucArea,227,2.0,,down,
72,NucArea,227,,2.0,up,
73,NucArea,228,1.0,,down,
74,NucArea,229,1.0,,down,
75,NucArea,229,,1.0,up,
76,NucArea,230,1.0,1.0,down,
77,NucArea,231,1.0,,down,
78,NucArea,232,2.0,,down,
79,NucArea,232,,1.0,up,
80,NucArea,234,2.0,,down,
81,NucArea,234,,1.0,up,
82,NucArea,236,,1.0,up,
83,NucArea,237,4.0,4.0,down,
84,NucArea,239,2.0,1.0,down,
85,NucArea,239,,1.0,up,
86,NucArea,245,1.0,2.0,down,
87,NucArea,247,1.0,,down,
88,NucArea,248,1.0,,down,
89,NucArea,248,,1.0,up,
90,NucArea,252,4.0,4.0,down,
91,NucArea,253,4.0,4.0,down,
92,NucArea,255,,2.0,up,
93,NucArea,257,2.0,,down,
94,NucArea,258,,1.0,up,
95,NucArea,259,1.0,1.0,down,
96,NucArea,262,,1.0,down,
97,NucArea,262,,2.0,up,
98,NucArea,264,1.0,,down,
99,NucArea,265,4.0,4.0,down,
100,NucArea,270,4.0,,down,
101,NucArea,276,4.0,2.0,down,
102,NucArea,276,,1.0,up,
103,NucArea,281,,3.0,up,
104,NucArea,284,1.0,2.0,down,
105,NucArea,284,,1.0,up,
106,NucArea,288,2.0,1.0,down,
107,NucArea,288,,1.0,up,
108,NucArea,296,4.0,1.0,down,
109,NucArea,296,,1.0,up,
110,NucArea,299,4.0,3.0,down,
111,NucArea,300,,1.0,up,
112,NucArea,301,2.0,3.0,down,
113,NucArea,309,2.0,4.0,down,
114,NucArea,311,1.0,,down,
115,NucArea,311,,2.0,up,
116,NucArea,312,4.0,3.0,down,
117,NucArea,316,4.0,4.0,down,
118,NucArea,318,1.0,2.0,down,
119,NucArea,319,4.0,4.0,down,
120,NucArea,320,2.0,,down,
121,NucArea,325,1.0,1.0,down,
122,NucArea,326,1.0,,down,
123,NucArea,328,1.0,1.0,down,
124,NucArea,333,3.0,4.0,down,
125,NucArea,335,2.0,1.0,down,
126,NucArea,336,1.0,2.0,down,
127,NucArea,339,1.0,2.0,down,
128,NucArea,343,1.0,,down,
129,NucArea,349,4.0,2.0,down,
130,NucArea,351,2.0,1.0,down,
131,NucArea,352,2.0,,down,
132,NucArea,360,4.0,3.0,down,
133,NucArea,366,3.0,3.0,down,
134,NucArea,372,2.0,,down,
135,NucArea,372,,1.0,up,
136,NucArea,376,4.0,2.0,down,
137,NucArea,382,4.0,1.0,down,
138,NucArea,383,,1.0,down,
139,NucArea,392,1.0,,down,
140,NucArea,397,4.0,2.0,down,
141,NucArea,400,,1.0,down,
142,NucArea,401,,3.0,down,
143,NucArea,402,,2.0,down,
144,NucArea,406,,1.0,down,
145,NucArea,410,,3.0,down,
146,NucArea,411,,2.0,up,
147,NucArea,419,1.0,,down,
148,NucArea,419,,1.0,up,
149,NucArea,427,2.0,,down,
150,NucArea,427,,2.0,up,
151,NucArea,434,,2.0,up,
152,NucArea,435,1.0,,down,
153,NucArea,444,,2.0,down,
154,NucArea,450,,2.0,down,
155,NucArea,452,2.0,,down,
156,NucArea,458,,4.0,up,
157,NucArea,460,,3.0,down,
158,NucArea,462,4.0,,down,
159,NucArea,462,,1.0,up,
160,NucArea,470,3.0,1.0,down,
161,NucArea,473,1.0,,down,
162,NucArea,478,3.0,1.0,down,
163,NucArea,484,4.0,3.0,down,
164,NucArea,486,3.0,1.0,down,
165,NucArea,487,2.0,,down,
166,NucArea,494,1.0,,down,
167,NucArea,496,2.0,,down,
168,NucArea,502,2.0,,down,
169,NucArea,507,2.0,,down,
170,NucArea,507,,3.0,up,
171,NucArea,509,,3.0,up,
172,NucArea,513,3.0,,down,
173,NucArea,518,1.0,1.0,down,
174,NucArea,519,,2.0,up,
175,NucArea,527,1.0,,down,
176,NucArea,531,4.0,4.0,down,
177,NucArea,540,2.0,1.0,down,
178,NucArea,544,4.0,1.0,down,
179,NucArea,544,,1.0,up,
180,NucArea,547,1.0,2.0,down,
181,NucArea,553,1.0,1.0,up,
182,NucArea,556,3.0,4.0,down,
183,NucArea,558,1.0,,up,
184,NucArea,559,2.0,,down,
185,NucArea,559,,1.0,up,
186,NucArea,565,2.0,2.0,up,
187,NucArea,567,3.0,1.0,down,
188,NucArea,568,1.0,,down,
189,NucArea,568,,1.0,up,
190,NucArea,572,3.0,,down,
191,NucArea,572,,1.0,up,
192,NucArea,573,4.0,2.0,down,
193,NucArea,578,3.0,,down,
