,meas,spid,direction,sc_hit,mc_hit111,keep,relation
119,NucArea,230,down,1,1,n,
118,NucArea,259,down,1,1,y,
38,NucArea,325,down,1,1,y,
40,NucArea,328,down,1,1,y,
58,NucArea,518,down,1,1,n,
135,NucArea,553,up,1,1,y,<
144,NucArea,26,up,1,2,y,
102,NucArea,245,down,1,2,y,
79,NucArea,284,down,1,2,y,
34,NucArea,318,down,1,2,n,
30,NucArea,336,down,1,2,y,
31,NucArea,339,down,1,2,y,
59,NucArea,547,down,1,2,y,
139,NucArea,595,up,1,2,y,
99,NucArea,15,down,1,,n,
73,NucArea,47,down,1,,n,
105,NucArea,68,down,1,,n,
92,NucArea,196,down,1,,n,
86,NucArea,207,down,1,,n*,
90,NucArea,218,down,1,,n,
112,NucArea,220,down,1,,n,
125,NucArea,226,down,1,,n,
123,NucArea,228,down,1,,n,
121,NucArea,229,down,1,,n,
129,NucArea,231,down,1,,n,
115,NucArea,247,down,1,,n,
113,NucArea,248,down,1,,n,
116,NucArea,264,down,1,,n,
20,NucArea,311,down,1,,n,
39,NucArea,326,down,1,,y,
17,NucArea,343,down,1,,n,
11,NucArea,392,down,1,,n,
66,NucArea,419,down,1,,n,
64,NucArea,435,down,1,,n,
72,NucArea,473,down,1,,n,
43,NucArea,494,down,1,,n,
54,NucArea,527,down,1,,n,
136,NucArea,558,up,1,,y,
60,NucArea,568,down,1,,n,<
63,NucArea,585,down,1,,n,
65,NucArea,594,down,1,,n,
0,NucArea,619,down,1,,n,
9,NucArea,624,down,1,,n,
24,NucArea,651,down,1,,n,
132,NucArea,667,up,1,,n,
126,NucArea,686,down,1,,n,
91,NucArea,189,down,2,1,y,
108,NucArea,239,down,2,1,y,
22,NucArea,288,down,2,1,n,
29,NucArea,335,down,2,1,y,<
8,NucArea,351,down,2,1,n,
55,NucArea,540,down,2,1,y,
6,NucArea,627,down,2,1,y,
137,NucArea,660,up,2,1,y,
95,NucArea,105,down,2,2,y,
133,NucArea,565,up,2,2,y,
141,NucArea,615,up,2,2,y,
37,NucArea,639,down,2,2,y,
138,NucArea,682,up,2,2,y,<
143,NucArea,708,up,2,2,y,
142,NucArea,721,up,2,2,y,
18,NucArea,301,down,2,3,y,
100,NucArea,152,down,2,4,y,
19,NucArea,309,down,2,4,y,
1,NucArea,618,down,2,4,y,
26,NucArea,634,down,2,4,y,
140,NucArea,681,up,2,4,y,
146,NucArea,36,up,2,,n,
97,NucArea,76,down,2,,n,
134,NucArea,81,up,2,,n,
145,NucArea,104,up,2,,n,
83,NucArea,165,down,2,,n,
80,NucArea,175,down,2,,n,
89,NucArea,216,down,2,,n,
131,NucArea,222,down,2,,n,
127,NucArea,223,down,2,,n,
122,NucArea,225,down,2,,n,
124,NucArea,227,down,2,,y,
128,NucArea,232,down,2,,n,
106,NucArea,234,down,2,,n,
109,NucArea,257,down,2,,n,
36,NucArea,320,down,2,,n,
10,NucArea,352,down,2,,n,
5,NucArea,372,down,2,,n,
61,NucArea,427,down,2,,n,<
77,NucArea,452,down,2,,n,
50,NucArea,487,down,2,,n,
44,NucArea,496,down,2,,y,
45,NucArea,502,down,2,,n,
52,NucArea,507,down,2,,n,
42,NucArea,559,down,2,,n,
62,NucArea,588,down,2,,n,
67,NucArea,591,down,2,,n,
87,NucArea,693,down,2,,n,
71,NucArea,470,down,3,1,y,<
47,NucArea,478,down,3,1,y,
49,NucArea,486,down,3,1,y,<
51,NucArea,567,down,3,1,y,
75,NucArea,580,down,3,1,y,
41,NucArea,597,down,3,1,y,
12,NucArea,602,down,3,1,y,
120,NucArea,224,down,3,2,y,
14,NucArea,612,down,3,2,y,
103,NucArea,666,down,3,2,y,
2,NucArea,366,down,3,3,y,
28,NucArea,633,down,3,3,y,<
27,NucArea,333,down,3,4,y,
46,NucArea,556,down,3,4,y,
110,NucArea,67,down,3,,n,
98,NucArea,146,down,3,,n,
84,NucArea,168,down,3,,n,
57,NucArea,513,down,3,,n,
70,NucArea,572,down,3,,n,
78,NucArea,578,down,3,,n,<
23,NucArea,296,down,4,1,y,
16,NucArea,382,down,4,1,y,
53,NucArea,544,down,4,1,y,
82,NucArea,183,down,4,2,y,
130,NucArea,276,down,4,2,y,
7,NucArea,349,down,4,2,y,
15,NucArea,376,down,4,2,y,
13,NucArea,397,down,4,2,y,
69,NucArea,573,down,4,2,y,
4,NucArea,616,down,4,2,y,
76,NucArea,45,down,4,3,y,
96,NucArea,143,down,4,3,y,
81,NucArea,179,down,4,3,y,
25,NucArea,299,down,4,3,y,
21,NucArea,312,down,4,3,y,
3,NucArea,360,down,4,3,y,
