,meas,spid,sc_hit,mc_hit111,direction,keep
11,NucMask,47,,1.0,down,
12,NucMask,47,4.0,1.0,up,
15,NucMask,60,,1.0,down,
16,NucMask,60,,1.0,up,
36,NucMask,116,,1.0,down,
37,NucMask,116,4.0,1.0,up,
42,NucMask,143,,1.0,down,
43,NucMask,143,4.0,2.0,up,
46,NucMask,152,,1.0,down,
47,NucMask,152,4.0,1.0,up,
56,NucMask,178,,2.0,up,
55,NucMask,178,,1.0,down,
115,NucMask,360,1.0,,down,
116,NucMask,360,3.0,2.0,up,
121,NucMask,382,1.0,,down,
122,NucMask,382,1.0,4.0,up,
137,NucMask,458,,1.0,down,
138,NucMask,458,,2.0,up,
150,NucMask,507,1.0,,down,
151,NucMask,507,2.0,,up,
172,NucMask,578,1.0,,down,
173,NucMask,578,2.0,4.0,up,
