,meas,spid,sc_hit,mc_hit111,direction,keep
0,NucMask,8,,1.0,down,
1,NucMask,9,4.0,,up,
2,NucMask,13,,1.0,down,
3,NucMask,15,1.0,,down,
4,NucMask,17,,2.0,up,
5,NucMask,26,,2.0,up,
6,NucMask,35,,3.0,up,
7,NucMask,37,,2.0,down,
8,NucMask,40,,2.0,up,
9,NucMask,42,4.0,,up,
10,NucMask,45,4.0,3.0,up,
11,NucMask,47,,1.0,down,
12,NucMask,47,4.0,1.0,up,
13,NucMask,55,,1.0,up,
14,NucMask,59,4.0,3.0,up,
15,NucMask,60,,1.0,down,
16,NucMask,60,,1.0,up,
17,NucMask,65,,1.0,down,
18,NucMask,67,4.0,1.0,up,
19,NucMask,68,1.0,,up,
20,NucMask,69,,2.0,up,
21,NucMask,72,,3.0,up,
22,NucMask,74,,3.0,down,
23,NucMask,76,4.0,4.0,up,
24,NucMask,78,2.0,,up,
25,NucMask,79,,3.0,down,
26,NucMask,83,4.0,4.0,up,
27,NucMask,87,,2.0,down,
28,NucMask,88,,3.0,down,
29,NucMask,89,,1.0,down,
30,NucMask,92,,2.0,down,
31,NucMask,98,4.0,,up,
32,NucMask,102,1.0,,up,
33,NucMask,105,4.0,3.0,up,
34,NucMask,110,,1.0,up,
35,NucMask,111,,3.0,down,
36,NucMask,116,,1.0,down,
37,NucMask,116,4.0,1.0,up,
38,NucMask,123,,2.0,down,
39,NucMask,125,1.0,,up,
40,NucMask,126,,2.0,up,
41,NucMask,127,3.0,2.0,up,
42,NucMask,143,,1.0,down,
43,NucMask,143,4.0,2.0,up,
44,NucMask,146,4.0,3.0,up,
45,NucMask,149,,1.0,down,
46,NucMask,152,,1.0,down,
47,NucMask,152,4.0,1.0,up,
48,NucMask,159,1.0,,down,
49,NucMask,163,4.0,3.0,up,
50,NucMask,165,3.0,2.0,up,
51,NucMask,168,4.0,,up,
52,NucMask,171,2.0,4.0,up,
53,NucMask,172,4.0,,up,
54,NucMask,173,2.0,,up,
55,NucMask,178,,1.0,down,
56,NucMask,178,,2.0,up,
57,NucMask,179,,1.0,down,
58,NucMask,179,3.0,,up,
59,NucMask,180,,3.0,down,
60,NucMask,180,1.0,,up,
61,NucMask,183,4.0,4.0,up,
62,NucMask,188,,3.0,down,
63,NucMask,189,,1.0,down,
64,NucMask,189,3.0,,up,
65,NucMask,194,,1.0,down,
66,NucMask,196,3.0,,up,
67,NucMask,199,2.0,2.0,up,
68,NucMask,214,,1.0,down,
69,NucMask,222,,3.0,up,
70,NucMask,224,3.0,4.0,up,
71,NucMask,227,4.0,3.0,up,
72,NucMask,231,,2.0,up,
73,NucMask,232,1.0,4.0,up,
74,NucMask,234,4.0,4.0,up,
75,NucMask,237,3.0,4.0,up,
76,NucMask,239,2.0,4.0,up,
77,NucMask,245,1.0,1.0,up,
78,NucMask,247,,3.0,up,
79,NucMask,248,4.0,4.0,up,
80,NucMask,252,3.0,4.0,up,
81,NucMask,253,3.0,4.0,up,
82,NucMask,255,,1.0,down,
83,NucMask,257,,3.0,up,
84,NucMask,258,2.0,2.0,up,
85,NucMask,259,2.0,1.0,up,
86,NucMask,262,1.0,3.0,up,
87,NucMask,265,2.0,4.0,up,
88,NucMask,270,4.0,,up,
89,NucMask,276,4.0,4.0,up,
90,NucMask,281,3.0,3.0,up,
91,NucMask,284,4.0,4.0,up,
92,NucMask,288,4.0,4.0,up,
93,NucMask,296,4.0,4.0,up,
94,NucMask,299,4.0,4.0,up,
95,NucMask,300,,2.0,up,
96,NucMask,301,1.0,1.0,up,
97,NucMask,309,4.0,4.0,up,
98,NucMask,312,4.0,4.0,up,
99,NucMask,315,1.0,,up,
100,NucMask,316,2.0,,down,
101,NucMask,316,,4.0,up,
102,NucMask,318,,1.0,up,
103,NucMask,319,2.0,4.0,up,
104,NucMask,320,,1.0,up,
105,NucMask,326,,2.0,up,
106,NucMask,328,2.0,1.0,up,
107,NucMask,333,3.0,3.0,up,
108,NucMask,335,4.0,4.0,up,
109,NucMask,336,,3.0,up,
110,NucMask,339,2.0,1.0,up,
111,NucMask,348,3.0,4.0,up,
112,NucMask,349,4.0,4.0,up,
113,NucMask,350,,1.0,up,
114,NucMask,352,4.0,4.0,up,
115,NucMask,360,1.0,,down,
116,NucMask,360,3.0,2.0,up,
117,NucMask,366,4.0,4.0,up,
118,NucMask,372,,2.0,up,
119,NucMask,375,4.0,,up,
120,NucMask,376,3.0,4.0,up,
121,NucMask,382,1.0,,down,
