meas,spid,sc_hit,mc_hit111,direction,keep
NucMask,8,,1,down,n
NucMask,9,4,,up,n
NucMask,13,,1,down,n
NucMask,15,1,,down,n
NucMask,17,,2,up,n
NucMask,26,,2,up,y
NucMask,35,,3,up,y
NucMask,37,,2,down,n
NucMask,40,,2,up,y
NucMask,42,4,,up,n
NucMask,45,4,3,up,y
NucMask,47,,1,down,n
NucMask,47,4,1,up,y
NucMask,55,,1,up,n
NucMask,59,4,3,up,y
NucMask,60,,1,down,n
NucMask,60,,1,up,n
NucMask,65,,1,down,n
NucMask,67,4,1,up,n
NucMask,68,1,,up,n
NucMask,69,,2,up,n
NucMask,72,,3,up,y
NucMask,74,,3,down,n
NucMask,76,4,4,up,y
NucMask,78,2,,up,y
NucMask,79,,3,down,n
NucMask,83,4,4,up,y
NucMask,87,,2,down,n
NucMask,88,,3,down,n
NucMask,89,,1,down,n
NucMask,92,,2,down,n
NucMask,98,4,,up,n
NucMask,102,1,,up,y
NucMask,105,4,3,up,y
NucMask,110,,1,up,n
NucMask,111,,3,down,n
NucMask,116,,1,down,n
NucMask,116,4,1,up,y
NucMask,123,,2,down,n
NucMask,125,1,,up,n
NucMask,126,,2,up,n
NucMask,127,3,2,up,y
NucMask,143,,1,down,n
NucMask,143,4,2,up,y
NucMask,146,4,3,up,y
NucMask,149,,1,down,n
NucMask,152,,1,down,n
NucMask,152,4,1,up,y
NucMask,159,1,,down,n
NucMask,163,4,3,up,y
NucMask,165,3,2,up,y
NucMask,168,4,,up,n
NucMask,171,2,4,up,y
NucMask,172,4,,up,n
NucMask,173,2,,up,n
NucMask,178,,1,down,n
NucMask,178,,2,up,n
NucMask,179,3,,up,n
NucMask,179,,1,down,n
NucMask,180,,3,down,n
NucMask,180,1,,up,y
NucMask,183,4,4,up,y
NucMask,188,,3,down,n
NucMask,189,3,,up,n
NucMask,189,,1,down,n
NucMask,194,,1,down,n
NucMask,196,3,,up,n
NucMask,199,2,2,up,y
NucMask,214,,1,down,n
NucMask,222,,3,up,y
NucMask,224,3,4,up,y
NucMask,227,4,3,up,y
NucMask,231,,2,up,n
NucMask,232,1,4,up,y
NucMask,234,4,4,up,y
NucMask,237,3,4,up,y
NucMask,239,2,4,up,y
NucMask,245,1,1,up,y
NucMask,247,,3,up,y
NucMask,248,4,4,up,y
NucMask,252,3,4,up,y
NucMask,253,3,4,up,y
NucMask,255,,1,down,n
NucMask,257,,3,up,y
NucMask,258,2,2,up,y
NucMask,259,2,1,up,y
NucMask,262,1,3,up,y
NucMask,265,2,4,up,y
NucMask,270,4,,up,n
NucMask,276,4,4,up,y
NucMask,281,3,3,up,y
NucMask,284,4,4,up,y
NucMask,288,4,4,up,y
NucMask,296,4,4,up,y
NucMask,299,4,4,up,y
NucMask,300,,2,up,y
NucMask,301,1,1,up,y
NucMask,309,4,4,up,y
NucMask,312,4,4,up,y
NucMask,315,1,,up,n
NucMask,316,2,,down,n
NucMask,316,,4,up,y
NucMask,318,,1,up,y
NucMask,319,2,4,up,y
NucMask,320,,1,up,n
NucMask,326,,2,up,y
NucMask,328,2,1,up,y
NucMask,333,3,3,up,y
NucMask,335,4,4,up,y
NucMask,336,,3,up,y
NucMask,339,2,1,up,y
NucMask,348,3,4,up,y
NucMask,349,4,4,up,y
NucMask,350,,1,up,n
NucMask,352,4,4,up,y
NucMask,360,1,,down,n
NucMask,360,3,2,up,y
NucMask,366,4,4,up,y
NucMask,372,,2,up,y
NucMask,375,4,,up,n
NucMask,376,3,4,up,y
NucMask,382,1,,down,n
NucMask,382,1,4,up,y
NucMask,383,4,3,up,y
NucMask,397,4,4,up,y
NucMask,400,,4,up,y
NucMask,401,,4,up,y
NucMask,402,,4,up,y
NucMask,406,1,3,up,y
NucMask,410,,4,up,y
NucMask,411,,2,down,n
NucMask,427,,2,up,y
NucMask,434,,1,down,n
NucMask,437,,1,down,n
NucMask,444,,4,up,y
NucMask,450,,1,up,y
NucMask,452,,2,up,y
NucMask,458,,2,up,n
NucMask,458,,1,down,y
NucMask,460,,3,up,y
NucMask,462,3,4,up,y
NucMask,470,4,4,up,y
NucMask,473,,1,up,y
NucMask,478,3,2,up,y
NucMask,484,1,,down,n
NucMask,484,,2,up,n
NucMask,486,3,3,up,y
NucMask,487,4,4,up,y
NucMask,496,2,2,up,y
NucMask,502,3,1,up,y
NucMask,507,1,,down,n
NucMask,507,2,,up,n
NucMask,509,,1,down,n
NucMask,511,3,1,up,y
NucMask,513,2,3,up,y
NucMask,517,,2,up,y
NucMask,519,,1,down,n
NucMask,528,1,1,up,y
NucMask,531,,2,up,n
NucMask,534,,2,up,y
NucMask,540,4,3,up,y
NucMask,544,2,4,up,y
NucMask,547,1,3,up,y
NucMask,553,3,1,up,y
NucMask,556,3,4,up,y
NucMask,558,,1,down,n
NucMask,559,4,4,up,y
NucMask,565,,2,down,n
NucMask,567,2,4,up,y
NucMask,568,2,1,up,n
NucMask,572,4,,up,n
NucMask,573,3,4,up,y
NucMask,578,1,,down,n
NucMask,578,2,4,up,y
NucMask,580,4,4,up,n
NucMask,585,2,,up,n
NucMask,588,1,2,up,y
NucMask,591,3,4,up,y
NucMask,592,3,3,up,y
NucMask,594,3,2,up,n
NucMask,595,,2,down,n
NucMask,596,,1,down,n
NucMask,597,3,3,up,n
NucMask,602,4,4,up,y
NucMask,612,3,4,up,y
NucMask,615,,2,down,n
NucMask,616,4,4,up,y
NucMask,618,3,4,up,y
NucMask,619,3,4,up,y
NucMask,620,4,4,up,y
NucMask,624,,1,up,y
NucMask,627,1,1,up,y
NucMask,633,4,4,up,y
NucMask,634,4,4,up,y
NucMask,639,4,4,up,y
NucMask,641,3,3,up,y
NucMask,651,,1,up,n
NucMask,654,2,4,up,y
NucMask,656,1,4,up,y
NucMask,660,,2,down,n
NucMask,666,4,3,up,n
NucMask,678,4,4,up,y
NucMask,679,,2,down,n
NucMask,686,,3,up,y
NucMask,693,,2,up,y
NucMask,696,,4,up,y
NucMask,699,1,,up,n
NucMask,707,,1,up,y
NucMask,712,,2,up,n
NucMask,721,,2,down,n
