,meas,spid,sc_hit,mc_hit111,direction,keep
0,ROS,8,,2.0,down,
1,ROS,9,3.0,,up,
2,ROS,35,,2.0,up,
3,ROS,45,2.0,3.0,up,
4,ROS,47,2.0,,up,
5,ROS,55,,1.0,down,
6,ROS,59,4.0,3.0,up,
7,ROS,60,,2.0,up,
8,ROS,67,3.0,,up,
9,ROS,68,4.0,,up,
10,ROS,71,,1.0,up,
11,ROS,72,4.0,4.0,up,
12,ROS,74,,2.0,up,
13,ROS,76,3.0,4.0,up,
14,ROS,83,3.0,1.0,up,
15,ROS,85,,1.0,up,
16,ROS,87,,1.0,up,
17,ROS,89,,1.0,up,
18,ROS,98,3.0,,up,
19,ROS,102,,1.0,up,
20,ROS,105,4.0,1.0,up,
21,ROS,108,,1.0,down,
22,ROS,116,3.0,2.0,up,
23,ROS,123,,2.0,up,
24,ROS,125,4.0,,up,
25,ROS,126,,2.0,up,
26,ROS,127,,1.0,up,
27,ROS,143,2.0,3.0,up,
28,ROS,146,1.0,,up,
29,ROS,152,3.0,4.0,up,
30,ROS,159,1.0,,up,
31,ROS,163,3.0,4.0,up,
32,ROS,165,1.0,1.0,up,
33,ROS,168,3.0,,up,
34,ROS,170,,1.0,up,
35,ROS,171,,4.0,up,
36,ROS,172,2.0,,up,
37,ROS,178,,1.0,up,
38,ROS,179,1.0,3.0,up,
39,ROS,180,1.0,2.0,up,
40,ROS,183,2.0,3.0,up,
41,ROS,189,3.0,2.0,up,
42,ROS,196,1.0,,up,
43,ROS,199,1.0,2.0,up,
44,ROS,203,3.0,1.0,up,
45,ROS,204,2.0,,up,
46,ROS,216,1.0,,up,
47,ROS,222,1.0,4.0,up,
48,ROS,223,2.0,,up,
49,ROS,224,2.0,2.0,up,
50,ROS,227,,4.0,up,
51,ROS,231,1.0,2.0,up,
52,ROS,232,,4.0,up,
53,ROS,234,2.0,4.0,up,
54,ROS,237,,4.0,up,
55,ROS,239,2.0,3.0,up,
56,ROS,245,,1.0,up,
57,ROS,248,2.0,,up,
58,ROS,252,2.0,4.0,up,
59,ROS,253,2.0,4.0,up,
60,ROS,257,,2.0,up,
61,ROS,258,,2.0,up,
62,ROS,259,,1.0,up,
63,ROS,265,,3.0,up,
64,ROS,276,1.0,4.0,up,
65,ROS,281,,3.0,up,
66,ROS,284,,4.0,up,
67,ROS,288,4.0,4.0,up,
