,spid,direction,hit,meas
0,10,down,0,CellCount
556,361,down,0,CellCount
558,362,down,0,CellCount
1086,62,down,0,CellCount
560,363,down,0,CellCount
562,364,down,0,CellCount
1084,619,down,1,CellCount
564,365,down,0,CellCount
566,366,down,1,CellCount
1082,618,down,3,CellCount
1088,620,down,0,CellCount
568,367,down,0,CellCount
1080,617,down,0,CellCount
572,369,down,0,CellCount
574,37,down,0,CellCount
1078,616,down,2,CellCount
576,370,down,0,CellCount
578,371,down,0,CellCount
1076,615,down,0,CellCount
580,372,down,0,CellCount
582,373,down,0,CellCount
570,368,down,0,CellCount
1074,614,down,0,CellCount
554,360,down,4,CellCount
1090,621,down,0,CellCount
524,347,down,0,CellCount
526,348,down,0,CellCount
1102,627,down,0,CellCount
528,349,down,2,CellCount
530,35,down,0,CellCount
1100,626,down,0,CellCount
532,350,down,1,CellCount
534,351,down,0,CellCount
1098,625,down,0,CellCount
552,36,down,0,CellCount
536,352,down,4,CellCount
1096,624,down,0,CellCount
540,354,down,0,CellCount
542,355,down,0,CellCount
1094,623,down,0,CellCount
544,356,down,0,CellCount
546,357,down,0,CellCount
1092,622,down,0,CellCount
548,358,down,0,CellCount
550,359,down,0,CellCount
538,353,down,0,CellCount
584,374,down,0,CellCount
586,375,down,0,CellCount
1072,613,down,0,CellCount
622,391,down,0,CellCount
1054,605,down,0,CellCount
624,392,down,0,CellCount
626,393,down,0,CellCount
1052,604,down,0,CellCount
628,394,down,0,CellCount
630,395,down,0,CellCount
1050,603,down,0,CellCount
632,396,down,0,CellCount
620,390,down,0,CellCount
634,397,down,2,CellCount
636,398,down,0,CellCount
638,399,down,0,CellCount
1046,601,down,0,CellCount
640,40,down,1,CellCount
642,403,down,0,CellCount
1044,600,down,0,CellCount
644,404,down,0,CellCount
646,405,down,0,CellCount
1042,60,down,0,CellCount
1048,602,down,2,CellCount
1056,606,down,0,CellCount
618,39,down,0,CellCount
616,389,down,0,CellCount
588,376,down,2,CellCount
590,377,down,0,CellCount
1070,612,down,2,CellCount
592,378,down,0,CellCount
594,379,down,0,CellCount
1068,611,down,0,CellCount
596,38,down,0,CellCount
598,380,down,0,CellCount
1066,610,down,0,CellCount
600,381,down,0,CellCount
602,382,down,4,CellCount
1064,61,down,0,CellCount
604,383,down,0,CellCount
606,384,down,0,CellCount
1062,609,down,0,CellCount
608,385,down,0,CellCount
610,386,down,0,CellCount
1060,608,down,0,CellCount
612,387,down,0,CellCount
614,388,down,0,CellCount
1058,607,down,0,CellCount
1104,628,down,0,CellCount
522,346,down,0,CellCount
520,345,down,0,CellCount
1106,629,down,0,CellCount
1152,65,down,0,CellCount
428,303,down,0,CellCount
430,304,down,0,CellCount
1150,649,down,0,CellCount
432,305,down,0,CellCount
434,306,down,0,CellCount
1148,648,down,0,CellCount
436,307,down,0,CellCount
438,308,down,0,CellCount
426,302,down,0,CellCount
1146,647,down,0,CellCount
442,31,down,0,CellCount
1144,646,down,0,CellCount
444,310,down,0,CellCount
446,311,down,0,CellCount
1142,645,down,0,CellCount
448,312,down,1,CellCount
450,313,down,0,CellCount
1140,644,down,0,CellCount
452,314,down,0,CellCount
440,309,down,1,CellCount
424,301,down,0,CellCount
1154,650,down,0,CellCount
422,300,down,1,CellCount
394,288,down,0,CellCount
1168,657,down,1,CellCount
396,289,down,0,CellCount
398,29,down,1,CellCount
1166,656,down,1,CellCount
400,290,down,0,CellCount
402,291,down,0,CellCount
1164,655,down,0,CellCount
404,292,down,0,CellCount
406,293,down,0,CellCount
1162,654,down,1,CellCount
408,294,down,0,CellCount
410,295,down,0,CellCount
1160,653,down,1,CellCount
412,296,down,2,CellCount
414,297,down,0,CellCount
1158,652,down,1,CellCount
416,298,down,0,CellCount
418,299,down,2,CellCount
1156,651,down,1,CellCount
420,30,down,0,CellCount
454,315,down,0,CellCount
648,406,down,0,CellCount
912,539,down,0,CellCount
458,317,down,0,CellCount
492,332,down,0,CellCount
494,333,down,4,CellCount
1118,634,down,2,CellCount
496,334,down,0,CellCount
498,335,down,0,CellCount
1116,633,down,2,CellCount
500,336,down,0,CellCount
502,337,down,0,CellCount
1114,632,down,0,CellCount
1120,635,down,0,CellCount
504,338,down,0,CellCount
1112,631,down,0,CellCount
508,34,down,0,CellCount
510,340,down,0,CellCount
1110,630,down,0,CellCount
512,341,down,0,CellCount
514,342,down,0,CellCount
1108,63,down,0,CellCount
516,343,down,0,CellCount
518,344,down,0,CellCount
506,339,down,0,CellCount
490,331,down,0,CellCount
488,330,down,0,CellCount
1122,636,down,0,CellCount
1136,642,down,0,CellCount
460,318,down,0,CellCount
462,319,down,4,CellCount
1134,641,down,3,CellCount
464,32,down,0,CellCount
466,320,down,0,CellCount
1132,640,down,0,CellCount
468,321,down,0,CellCount
470,322,down,0,CellCount
1130,64,down,0,CellCount
472,323,down,0,CellCount
474,324,down,0,CellCount
1128,639,down,3,CellCount
476,325,down,0,CellCount
478,326,down,0,CellCount
1126,638,down,0,CellCount
480,327,down,0,CellCount
482,328,down,0,CellCount
1124,637,down,0,CellCount
484,329,down,0,CellCount
486,33,down,0,CellCount
456,316,down,4,CellCount
650,407,down,0,CellCount
1040,598,down,0,CellCount
652,408,down,0,CellCount
958,56,down,0,CellCount
818,494,down,0,CellCount
820,495,down,0,CellCount
956,559,down,3,CellCount
822,496,down,1,CellCount
824,497,down,0,CellCount
954,558,down,1,CellCount
826,498,down,0,CellCount
828,499,down,0,CellCount
816,493,down,0,CellCount
952,557,down,1,CellCount
832,500,down,0,CellCount
950,556,down,4,CellCount
