,spid,direction,hit,meas
0,10,down,0,GSH
556,361,down,0,GSH
558,362,down,0,GSH
1086,62,down,0,GSH
560,363,down,0,GSH
562,364,down,0,GSH
1084,619,down,0,GSH
564,365,down,0,GSH
566,366,down,0,GSH
1082,618,down,0,GSH
1088,620,down,0,GSH
568,367,down,0,GSH
1080,617,down,0,GSH
572,369,down,0,GSH
574,37,down,0,GSH
1078,616,down,0,GSH
576,370,down,0,GSH
578,371,down,0,GSH
1076,615,down,1,GSH
580,372,down,0,GSH
582,373,down,0,GSH
570,368,down,0,GSH
1074,614,down,0,GSH
554,360,down,1,GSH
1090,621,down,0,GSH
524,347,down,0,GSH
526,348,down,0,GSH
1102,627,down,0,GSH
528,349,down,0,GSH
530,35,down,0,GSH
1100,626,down,0,GSH
532,350,down,0,GSH
534,351,down,0,GSH
1098,625,down,0,GSH
552,36,down,0,GSH
536,352,down,0,GSH
1096,624,down,0,GSH
540,354,down,0,GSH
542,355,down,0,GSH
1094,623,down,0,GSH
544,356,down,0,GSH
546,357,down,0,GSH
1092,622,down,0,GSH
548,358,down,0,GSH
550,359,down,0,GSH
538,353,down,0,GSH
584,374,down,0,GSH
586,375,down,0,GSH
1072,613,down,0,GSH
622,391,down,0,GSH
1054,605,down,0,GSH
624,392,down,0,GSH
626,393,down,0,GSH
1052,604,down,0,GSH
628,394,down,0,GSH
630,395,down,0,GSH
1050,603,down,0,GSH
632,396,down,0,GSH
620,390,down,0,GSH
634,397,down,0,GSH
636,398,down,0,GSH
638,399,down,0,GSH
1046,601,down,0,GSH
640,40,down,0,GSH
642,403,down,0,GSH
1044,600,down,0,GSH
644,404,down,0,GSH
646,405,down,0,GSH
1042,60,down,0,GSH
1048,602,down,0,GSH
1056,606,down,0,GSH
618,39,down,0,GSH
616,389,down,0,GSH
588,376,down,0,GSH
590,377,down,0,GSH
1070,612,down,0,GSH
592,378,down,0,GSH
594,379,down,0,GSH
1068,611,down,0,GSH
596,38,down,0,GSH
598,380,down,0,GSH
1066,610,down,0,GSH
600,381,down,0,GSH
602,382,down,0,GSH
1064,61,down,0,GSH
604,383,down,0,GSH
606,384,down,0,GSH
1062,609,down,0,GSH
608,385,down,0,GSH
610,386,down,0,GSH
1060,608,down,0,GSH
612,387,down,0,GSH
614,388,down,0,GSH
1058,607,down,0,GSH
1104,628,down,0,GSH
522,346,down,0,GSH
520,345,down,0,GSH
1106,629,down,0,GSH
1152,65,down,0,GSH
428,303,down,0,GSH
430,304,down,0,GSH
1150,649,down,0,GSH
432,305,down,0,GSH
434,306,down,0,GSH
1148,648,down,0,GSH
436,307,down,0,GSH
438,308,down,0,GSH
426,302,down,0,GSH
1146,647,down,0,GSH
442,31,down,0,GSH
1144,646,down,0,GSH
444,310,down,0,GSH
446,311,down,0,GSH
1142,645,down,0,GSH
448,312,down,0,GSH
450,313,down,0,GSH
1140,644,down,0,GSH
452,314,down,0,GSH
440,309,down,0,GSH
424,301,down,0,GSH
1154,650,down,0,GSH
422,300,down,0,GSH
394,288,down,0,GSH
1168,657,down,0,GSH
396,289,down,0,GSH
398,29,down,0,GSH
1166,656,down,0,GSH
400,290,down,0,GSH
402,291,down,0,GSH
1164,655,down,0,GSH
404,292,down,0,GSH
406,293,down,0,GSH
1162,654,down,0,GSH
408,294,down,0,GSH
410,295,down,0,GSH
1160,653,down,0,GSH
412,296,down,0,GSH
414,297,down,0,GSH
1158,652,down,0,GSH
416,298,down,0,GSH
418,299,down,0,GSH
1156,651,down,0,GSH
420,30,down,0,GSH
454,315,down,0,GSH
648,406,down,0,GSH
912,539,down,0,GSH
458,317,down,0,GSH
492,332,down,0,GSH
494,333,down,0,GSH
1118,634,down,0,GSH
496,334,down,0,GSH
498,335,down,0,GSH
1116,633,down,0,GSH
500,336,down,0,GSH
502,337,down,0,GSH
1114,632,down,0,GSH
1120,635,down,0,GSH
504,338,down,0,GSH
1112,631,down,0,GSH
508,34,down,0,GSH
510,340,down,0,GSH
1110,630,down,0,GSH
512,341,down,0,GSH
514,342,down,0,GSH
1108,63,down,0,GSH
516,343,down,0,GSH
518,344,down,0,GSH
506,339,down,0,GSH
490,331,down,0,GSH
488,330,down,0,GSH
1122,636,down,0,GSH
1136,642,down,0,GSH
460,318,down,0,GSH
462,319,down,0,GSH
1134,641,down,0,GSH
464,32,down,0,GSH
466,320,down,0,GSH
1132,640,down,0,GSH
468,321,down,0,GSH
470,322,down,0,GSH
1130,64,down,0,GSH
472,323,down,0,GSH
474,324,down,0,GSH
1128,639,down,0,GSH
476,325,down,0,GSH
478,326,down,0,GSH
1126,638,down,0,GSH
480,327,down,0,GSH
482,328,down,0,GSH
1124,637,down,0,GSH
484,329,down,0,GSH
486,33,down,0,GSH
456,316,down,0,GSH
650,407,down,0,GSH
1040,598,down,0,GSH
652,408,down,0,GSH
958,56,down,0,GSH
818,494,down,0,GSH
820,495,down,0,GSH
956,559,down,0,GSH
822,496,down,0,GSH
824,497,down,0,GSH
954,558,down,0,GSH
826,498,down,0,GSH
828,499,down,0,GSH
816,493,down,0,GSH
952,557,down,0,GSH
832,500,down,0,GSH
950,556,down,0,GSH
834,501,down,0,GSH
836,502,down,0,GSH
948,555,down,0,GSH
838,503,down,0,GSH
840,504,down,0,GSH
946,554,down,0,GSH
842,505,down,0,GSH
830,50,down,0,GSH
814,492,down,0,GSH
960,560,down,0,GSH
812,491,down,0,GSH
784,479,down,0,GSH
974,567,down,0,GSH
786,48,down,0,GSH
788,480,down,0,GSH
972,566,down,0,GSH
790,481,down,0,GSH
792,482,down,0,GSH
970,565,down,0,GSH
794,483,down,0,GSH
796,484,down,1,GSH
968,564,down,0,GSH
798,485,down,0,GSH
800,486,down,0,GSH
966,563,down,0,GSH
802,487,down,0,GSH
804,488,down,0,GSH
964,562,down,0,GSH
806,489,down,0,GSH
808,49,down,0,GSH
962,561,down,0,GSH
810,490,down,0,GSH
844,506,down,0,GSH
782,478,down,0,GSH
944,553,down,0,GSH
848,508,down,0,GSH
882,524,down,0,GSH
884,525,down,0,GSH
924,544,down,0,GSH
886,526,down,0,GSH
888,527,down,0,GSH
922,543,down,0,GSH
890,528,down,0,GSH
892,529,down,0,GSH
920,542,down,0,GSH
926,545,down,0,GSH
894,53,down,0,GSH
