,spid,direction,hit,meas
0,10,down,0,MMP
556,361,down,0,MMP
558,362,down,0,MMP
1086,62,down,0,MMP
560,363,down,0,MMP
562,364,down,0,MMP
1084,619,down,0,MMP
564,365,down,0,MMP
566,366,down,0,MMP
1082,618,down,0,MMP
1088,620,down,0,MMP
568,367,down,0,MMP
1080,617,down,0,MMP
572,369,down,0,MMP
574,37,down,0,MMP
1078,616,down,0,MMP
576,370,down,0,MMP
578,371,down,0,MMP
1076,615,down,0,MMP
580,372,down,0,MMP
582,373,down,0,MMP
570,368,down,0,MMP
1074,614,down,0,MMP
554,360,down,0,MMP
1090,621,down,0,MMP
524,347,down,0,MMP
526,348,down,0,MMP
1102,627,down,0,MMP
528,349,down,0,MMP
530,35,down,0,MMP
1100,626,down,0,MMP
532,350,down,0,MMP
534,351,down,0,MMP
1098,625,down,0,MMP
552,36,down,0,MMP
536,352,down,2,MMP
1096,624,down,0,MMP
540,354,down,0,MMP
542,355,down,0,MMP
1094,623,down,0,MMP
544,356,down,0,MMP
546,357,down,0,MMP
1092,622,down,0,MMP
548,358,down,0,MMP
550,359,down,0,MMP
538,353,down,0,MMP
584,374,down,0,MMP
586,375,down,0,MMP
1072,613,down,0,MMP
622,391,down,0,MMP
1054,605,down,0,MMP
624,392,down,0,MMP
626,393,down,0,MMP
1052,604,down,0,MMP
628,394,down,0,MMP
630,395,down,0,MMP
1050,603,down,0,MMP
632,396,down,0,MMP
620,390,down,0,MMP
634,397,down,0,MMP
636,398,down,0,MMP
638,399,down,0,MMP
1046,601,down,0,MMP
640,40,down,0,MMP
642,403,down,0,MMP
1044,600,down,0,MMP
644,404,down,0,MMP
646,405,down,0,MMP
1042,60,down,0,MMP
1048,602,down,0,MMP
1056,606,down,0,MMP
618,39,down,0,MMP
616,389,down,0,MMP
588,376,down,0,MMP
590,377,down,0,MMP
1070,612,down,0,MMP
592,378,down,0,MMP
594,379,down,0,MMP
1068,611,down,0,MMP
596,38,down,0,MMP
598,380,down,0,MMP
1066,610,down,0,MMP
600,381,down,0,MMP
602,382,down,0,MMP
1064,61,down,0,MMP
604,383,down,0,MMP
606,384,down,0,MMP
1062,609,down,0,MMP
608,385,down,0,MMP
610,386,down,0,MMP
1060,608,down,0,MMP
612,387,down,0,MMP
614,388,down,0,MMP
1058,607,down,0,MMP
1104,628,down,0,MMP
522,346,down,0,MMP
520,345,down,0,MMP
1106,629,down,0,MMP
1152,65,down,0,MMP
428,303,down,0,MMP
430,304,down,0,MMP
1150,649,down,0,MMP
432,305,down,0,MMP
434,306,down,0,MMP
1148,648,down,0,MMP
436,307,down,0,MMP
438,308,down,0,MMP
426,302,down,0,MMP
1146,647,down,0,MMP
442,31,down,0,MMP
1144,646,down,0,MMP
444,310,down,0,MMP
446,311,down,0,MMP
1142,645,down,0,MMP
448,312,down,0,MMP
450,313,down,0,MMP
1140,644,down,0,MMP
452,314,down,0,MMP
440,309,down,0,MMP
424,301,down,0,MMP
1154,650,down,0,MMP
422,300,down,0,MMP
394,288,down,0,MMP
1168,657,down,0,MMP
396,289,down,0,MMP
398,29,down,0,MMP
1166,656,down,0,MMP
400,290,down,0,MMP
402,291,down,0,MMP
1164,655,down,0,MMP
404,292,down,0,MMP
406,293,down,0,MMP
1162,654,down,0,MMP
408,294,down,0,MMP
410,295,down,0,MMP
1160,653,down,0,MMP
412,296,down,0,MMP
414,297,down,0,MMP
1158,652,down,0,MMP
416,298,down,0,MMP
418,299,down,0,MMP
1156,651,down,0,MMP
420,30,down,0,MMP
454,315,down,0,MMP
648,406,down,0,MMP
912,539,down,0,MMP
458,317,down,0,MMP
492,332,down,0,MMP
494,333,down,0,MMP
1118,634,down,0,MMP
496,334,down,0,MMP
498,335,down,0,MMP
1116,633,down,0,MMP
500,336,down,0,MMP
502,337,down,0,MMP
1114,632,down,0,MMP
1120,635,down,0,MMP
504,338,down,0,MMP
1112,631,down,0,MMP
508,34,down,0,MMP
510,340,down,0,MMP
1110,630,down,0,MMP
512,341,down,0,MMP
514,342,down,0,MMP
1108,63,down,0,MMP
516,343,down,0,MMP
518,344,down,0,MMP
506,339,down,0,MMP
490,331,down,0,MMP
488,330,down,0,MMP
1122,636,down,0,MMP
1136,642,down,0,MMP
460,318,down,0,MMP
462,319,down,0,MMP
1134,641,down,0,MMP
464,32,down,0,MMP
466,320,down,0,MMP
1132,640,down,0,MMP
468,321,down,0,MMP
470,322,down,0,MMP
1130,64,down,0,MMP
472,323,down,0,MMP
474,324,down,0,MMP
1128,639,down,0,MMP
476,325,down,0,MMP
478,326,down,0,MMP
1126,638,down,0,MMP
480,327,down,0,MMP
482,328,down,0,MMP
1124,637,down,0,MMP
484,329,down,0,MMP
486,33,down,0,MMP
456,316,down,0,MMP
650,407,down,0,MMP
1040,598,down,0,MMP
652,408,down,0,MMP
958,56,down,0,MMP
818,494,down,0,MMP
820,495,down,0,MMP
956,559,down,0,MMP
822,496,down,0,MMP
824,497,down,0,MMP
954,558,down,0,MMP
826,498,down,0,MMP
828,499,down,0,MMP
816,493,down,0,MMP
952,557,down,0,MMP
832,500,down,0,MMP
950,556,down,0,MMP
834,501,down,0,MMP
836,502,down,0,MMP
948,555,down,0,MMP
838,503,down,0,MMP
840,504,down,0,MMP
946,554,down,0,MMP
842,505,down,0,MMP
830,50,down,0,MMP
814,492,down,0,MMP
960,560,down,0,MMP
812,491,down,0,MMP
784,479,down,0,MMP
974,567,down,0,MMP
786,48,down,0,MMP
788,480,down,0,MMP
972,566,down,0,MMP
790,481,down,0,MMP
792,482,down,0,MMP
970,565,down,0,MMP
794,483,down,0,MMP
796,484,down,0,MMP
968,564,down,0,MMP
798,485,down,0,MMP
800,486,down,0,MMP
966,563,down,0,MMP
802,487,down,0,MMP
804,488,down,0,MMP
964,562,down,0,MMP
806,489,down,0,MMP
808,49,down,0,MMP
962,561,down,0,MMP
810,490,down,0,MMP
844,506,down,0,MMP
782,478,down,0,MMP
944,553,down,0,MMP
848,508,down,0,MMP
882,524,down,0,MMP
884,525,down,0,MMP
924,544,down,0,MMP
886,526,down,0,MMP
888,527,down,0,MMP
922,543,down,0,MMP
890,528,down,0,MMP
892,529,down,0,MMP
920,542,down,0,MMP
926,545,down,0,MMP
894,53,down,0,MMP
918,541,down,0,MMP
898,531,down,0,MMP
900,532,down,0,MMP
916,540,down,0,MMP
902,533,down,0,MMP
904,535,down,0,MMP
914,54,down,0,MMP
906,536,down,0,MMP
908,537,down,0,MMP
896,530,down,0,MMP
880,523,down,0,MMP
878,522,down,0,MMP
928,546,down,0,MMP
942,552,down,0,MMP
850,509,down,0,MMP
852,51,down,0,MMP
940,551,down,0,MMP
854,510,down,0,MMP
856,511,down,0,MMP
938,550,down,0,MMP
858,512,down,0,MMP
860,513,down,0,MMP
936,55,down,0,MMP
862,514,down,0,MMP
864,515,down,0,MMP
934,549,down,0,MMP
866,516,down,0,MMP
868,518,down,0,MMP
932,548,down,0,MMP
870,519,down,0,MMP
872,52,down,0,MMP
930,547,down,0,MMP
874,520,down,0,MMP
876,521,down,0,MMP
846,507,down,0,MMP
392,287,down,0,MMP
976,568,down,0,MMP
778,476,down,0,MMP
686,424,down,0,MMP
688,425,down,0,MMP
1022,59,down,0,MMP
690,426,down,0,MMP
692,427,down,0,MMP
1020,589,down,0,MMP
694,428,down,0,MMP
696,429,down,0,MMP
1018,588,down,0,MMP
1024,590,down,0,MMP
698,43,down,0,MMP
1016,587,down,0,MMP
702,431,down,0,MMP
704,432,down,0,MMP
1014,585,down,0,MMP
