,spid,direction,hit,meas
0,10,down,0,MitoStruct
556,361,down,0,MitoStruct
558,362,down,0,MitoStruct
1086,62,down,0,MitoStruct
560,363,down,0,MitoStruct
562,364,down,0,MitoStruct
1084,619,down,0,MitoStruct
564,365,down,0,MitoStruct
566,366,down,0,MitoStruct
1082,618,down,0,MitoStruct
1088,620,down,0,MitoStruct
568,367,down,0,MitoStruct
1080,617,down,0,MitoStruct
572,369,down,0,MitoStruct
574,37,down,0,MitoStruct
1078,616,down,0,MitoStruct
576,370,down,0,MitoStruct
578,371,down,0,MitoStruct
1076,615,down,0,MitoStruct
580,372,down,0,MitoStruct
582,373,down,0,MitoStruct
570,368,down,0,MitoStruct
1074,614,down,0,MitoStruct
554,360,down,2,MitoStruct
1090,621,down,0,MitoStruct
524,347,down,0,MitoStruct
526,348,down,0,MitoStruct
1102,627,down,0,MitoStruct
528,349,down,0,MitoStruct
530,35,down,0,MitoStruct
1100,626,down,0,MitoStruct
532,350,down,0,MitoStruct
534,351,down,0,MitoStruct
1098,625,down,0,MitoStruct
552,36,down,0,MitoStruct
536,352,down,2,MitoStruct
1096,624,down,0,MitoStruct
540,354,down,0,MitoStruct
542,355,down,0,MitoStruct
1094,623,down,0,MitoStruct
544,356,down,0,MitoStruct
546,357,down,0,MitoStruct
1092,622,down,0,MitoStruct
548,358,down,0,MitoStruct
550,359,down,0,MitoStruct
538,353,down,0,MitoStruct
584,374,down,0,MitoStruct
586,375,down,0,MitoStruct
1072,613,down,0,MitoStruct
622,391,down,0,MitoStruct
1054,605,down,0,MitoStruct
624,392,down,0,MitoStruct
626,393,down,0,MitoStruct
1052,604,down,0,MitoStruct
628,394,down,0,MitoStruct
630,395,down,0,MitoStruct
1050,603,down,0,MitoStruct
632,396,down,0,MitoStruct
620,390,down,0,MitoStruct
634,397,down,0,MitoStruct
636,398,down,0,MitoStruct
638,399,down,0,MitoStruct
1046,601,down,0,MitoStruct
640,40,down,0,MitoStruct
642,403,down,0,MitoStruct
1044,600,down,0,MitoStruct
644,404,down,0,MitoStruct
