,spid,direction,hit,meas
0,10,down,0,NucArea
556,361,down,0,NucArea
558,362,down,0,NucArea
1086,62,down,0,NucArea
560,363,down,0,NucArea
562,364,down,0,NucArea
1084,619,down,1,NucArea
564,365,down,0,NucArea
566,366,down,3,NucArea
1082,618,down,2,NucArea
1088,620,down,0,NucArea
568,367,down,0,NucArea
1080,617,down,0,NucArea
572,369,down,0,NucArea
574,37,down,0,NucArea
1078,616,down,4,NucArea
576,370,down,0,NucArea
578,371,down,0,NucArea
1076,615,down,0,NucArea
580,372,down,2,NucArea
582,373,down,0,NucArea
570,368,down,0,NucArea
1074,614,down,0,NucArea
554,360,down,4,NucArea
1090,621,down,0,NucArea
524,347,down,0,NucArea
526,348,down,0,NucArea
1102,627,down,2,NucArea
528,349,down,4,NucArea
530,35,down,0,NucArea
1100,626,down,0,NucArea
532,350,down,0,NucArea
534,351,down,2,NucArea
1098,625,down,0,NucArea
552,36,down,0,NucArea
536,352,down,2,NucArea
1096,624,down,1,NucArea
540,354,down,0,NucArea
542,355,down,0,NucArea
1094,623,down,0,NucArea
544,356,down,0,NucArea
546,357,down,0,NucArea
1092,622,down,0,NucArea
548,358,down,0,NucArea
550,359,down,0,NucArea
538,353,down,0,NucArea
584,374,down,0,NucArea
586,375,down,0,NucArea
1072,613,down,0,NucArea
622,391,down,0,NucArea
1054,605,down,0,NucArea
624,392,down,1,NucArea
626,393,down,0,NucArea
1052,604,down,0,NucArea
628,394,down,0,NucArea
630,395,down,0,NucArea
1050,603,down,0,NucArea
632,396,down,0,NucArea
620,390,down,0,NucArea
634,397,down,4,NucArea
636,398,down,0,NucArea
638,399,down,0,NucArea
1046,601,down,0,NucArea
640,40,down,0,NucArea
642,403,down,0,NucArea
1044,600,down,0,NucArea
644,404,down,0,NucArea
646,405,down,0,NucArea
1042,60,down,0,NucArea
1048,602,down,3,NucArea
1056,606,down,0,NucArea
618,39,down,0,NucArea
616,389,down,0,NucArea
588,376,down,4,NucArea
590,377,down,0,NucArea
1070,612,down,3,NucArea
592,378,down,0,NucArea
594,379,down,0,NucArea
1068,611,down,0,NucArea
596,38,down,0,NucArea
598,380,down,0,NucArea
1066,610,down,0,NucArea
600,381,down,0,NucArea
602,382,down,4,NucArea
1064,61,down,0,NucArea
604,383,down,0,NucArea
606,384,down,0,NucArea
1062,609,down,0,NucArea
608,385,down,0,NucArea
610,386,down,0,NucArea
1060,608,down,0,NucArea
612,387,down,0,NucArea
614,388,down,0,NucArea
1058,607,down,0,NucArea
1104,628,down,0,NucArea
522,346,down,0,NucArea
520,345,down,0,NucArea
1106,629,down,0,NucArea
1152,65,down,0,NucArea
428,303,down,0,NucArea
430,304,down,0,NucArea
1150,649,down,0,NucArea
432,305,down,0,NucArea
434,306,down,0,NucArea
1148,648,down,0,NucArea
436,307,down,0,NucArea
438,308,down,0,NucArea
426,302,down,0,NucArea
1146,647,down,0,NucArea
442,31,down,0,NucArea
1144,646,down,0,NucArea
444,310,down,0,NucArea
446,311,down,1,NucArea
1142,645,down,0,NucArea
448,312,down,4,NucArea
450,313,down,0,NucArea
1140,644,down,0,NucArea
452,314,down,0,NucArea
440,309,down,2,NucArea
424,301,down,2,NucArea
1154,650,down,0,NucArea
422,300,down,0,NucArea
394,288,down,2,NucArea
1168,657,down,0,NucArea
396,289,down,0,NucArea
398,29,down,0,NucArea
1166,656,down,0,NucArea
400,290,down,0,NucArea
402,291,down,0,NucArea
1164,655,down,0,NucArea
404,292,down,0,NucArea
406,293,down,0,NucArea
1162,654,down,0,NucArea
408,294,down,0,NucArea
410,295,down,0,NucArea
1160,653,down,0,NucArea
412,296,down,4,NucArea
414,297,down,0,NucArea
1158,652,down,0,NucArea
416,298,down,0,NucArea
418,299,down,4,NucArea
1156,651,down,1,NucArea
420,30,down,0,NucArea
454,315,down,0,NucArea
648,406,down,0,NucArea
912,539,down,0,NucArea
458,317,down,0,NucArea
492,332,down,0,NucArea
494,333,down,3,NucArea
1118,634,down,2,NucArea
496,334,down,0,NucArea
498,335,down,2,NucArea
1116,633,down,3,NucArea
500,336,down,1,NucArea
502,337,down,0,NucArea
1114,632,down,0,NucArea
1120,635,down,0,NucArea
504,338,down,0,NucArea
1112,631,down,0,NucArea
508,34,down,0,NucArea
510,340,down,0,NucArea
1110,630,down,0,NucArea
512,341,down,0,NucArea
514,342,down,0,NucArea
1108,63,down,0,NucArea
516,343,down,1,NucArea
518,344,down,0,NucArea
506,339,down,1,NucArea
490,331,down,0,NucArea
488,330,down,0,NucArea
1122,636,down,0,NucArea
1136,642,down,0,NucArea
460,318,down,1,NucArea
462,319,down,4,NucArea
1134,641,down,4,NucArea
464,32,down,0,NucArea
466,320,down,2,NucArea
1132,640,down,0,NucArea
468,321,down,0,NucArea
470,322,down,0,NucArea
1130,64,down,0,NucArea
472,323,down,0,NucArea
474,324,down,0,NucArea
1128,639,down,2,NucArea
476,325,down,1,NucArea
478,326,down,1,NucArea
1126,638,down,0,NucArea
480,327,down,0,NucArea
482,328,down,1,NucArea
1124,637,down,0,NucArea
484,329,down,0,NucArea
486,33,down,0,NucArea
456,316,down,4,NucArea
650,407,down,0,NucArea
1040,598,down,0,NucArea
652,408,down,0,NucArea
958,56,down,0,NucArea
818,494,down,1,NucArea
820,495,down,0,NucArea
956,559,down,2,NucArea
822,496,down,2,NucArea
824,497,down,0,NucArea
954,558,down,0,NucArea
826,498,down,0,NucArea
828,499,down,0,NucArea
816,493,down,0,NucArea
952,557,down,0,NucArea
832,500,down,0,NucArea
950,556,down,3,NucArea
834,501,down,0,NucArea
836,502,down,2,NucArea
948,555,down,0,NucArea
838,503,down,0,NucArea
840,504,down,0,NucArea
946,554,down,0,NucArea
842,505,down,0,NucArea
830,50,down,0,NucArea
814,492,down,0,NucArea
960,560,down,0,NucArea
812,491,down,0,NucArea
784,479,down,0,NucArea
