,spid,direction,hit,meas
0,10,down,0,NucMask
556,361,down,0,NucMask
558,362,down,0,NucMask
1086,62,down,0,NucMask
560,363,down,0,NucMask
562,364,down,0,NucMask
1084,619,down,0,NucMask
564,365,down,0,NucMask
566,366,down,0,NucMask
1082,618,down,0,NucMask
1088,620,down,0,NucMask
568,367,down,0,NucMask
1080,617,down,0,NucMask
572,369,down,0,NucMask
574,37,down,0,NucMask
1078,616,down,0,NucMask
576,370,down,0,NucMask
578,371,down,0,NucMask
1076,615,down,0,NucMask
580,372,down,0,NucMask
582,373,down,0,NucMask
570,368,down,0,NucMask
1074,614,down,0,NucMask
554,360,down,1,NucMask
1090,621,down,0,NucMask
524,347,down,0,NucMask
526,348,down,0,NucMask
1102,627,down,0,NucMask
528,349,down,0,NucMask
530,35,down,0,NucMask
1100,626,down,0,NucMask
532,350,down,0,NucMask
534,351,down,0,NucMask
1098,625,down,0,NucMask
552,36,down,0,NucMask
536,352,down,0,NucMask
1096,624,down,0,NucMask
540,354,down,0,NucMask
542,355,down,0,NucMask
1094,623,down,0,NucMask
544,356,down,0,NucMask
546,357,down,0,NucMask
1092,622,down,0,NucMask
548,358,down,0,NucMask
550,359,down,0,NucMask
538,353,down,0,NucMask
584,374,down,0,NucMask
586,375,down,0,NucMask
1072,613,down,0,NucMask
622,391,down,0,NucMask
1054,605,down,0,NucMask
624,392,down,0,NucMask
626,393,down,0,NucMask
1052,604,down,0,NucMask
628,394,down,0,NucMask
630,395,down,0,NucMask
1050,603,down,0,NucMask
632,396,down,0,NucMask
620,390,down,0,NucMask
634,397,down,0,NucMask
636,398,down,0,NucMask
638,399,down,0,NucMask
1046,601,down,0,NucMask
640,40,down,0,NucMask
642,403,down,0,NucMask
1044,600,down,0,NucMask
644,404,down,0,NucMask
646,405,down,0,NucMask
1042,60,down,0,NucMask
1048,602,down,0,NucMask
1056,606,down,0,NucMask
618,39,down,0,NucMask
616,389,down,0,NucMask
588,376,down,0,NucMask
590,377,down,0,NucMask
1070,612,down,0,NucMask
592,378,down,0,NucMask
594,379,down,0,NucMask
1068,611,down,0,NucMask
596,38,down,0,NucMask
598,380,down,0,NucMask
1066,610,down,0,NucMask
600,381,down,0,NucMask
602,382,down,1,NucMask
1064,61,down,0,NucMask
604,383,down,0,NucMask
606,384,down,0,NucMask
1062,609,down,0,NucMask
608,385,down,0,NucMask
610,386,down,0,NucMask
