,spid,direction,hit,meas
0,10,down,0,ROS
556,361,down,0,ROS
558,362,down,0,ROS
1086,62,down,0,ROS
560,363,down,0,ROS
562,364,down,0,ROS
1084,619,down,0,ROS
564,365,down,0,ROS
566,366,down,0,ROS
1082,618,down,0,ROS
1088,620,down,0,ROS
568,367,down,0,ROS
1080,617,down,0,ROS
572,369,down,0,ROS
574,37,down,0,ROS
1078,616,down,0,ROS
576,370,down,0,ROS
578,371,down,0,ROS
1076,615,down,0,ROS
580,372,down,0,ROS
582,373,down,0,ROS
570,368,down,0,ROS
1074,614,down,0,ROS
554,360,down,0,ROS
1090,621,down,0,ROS
524,347,down,0,ROS
526,348,down,0,ROS
1102,627,down,0,ROS
528,349,down,0,ROS
530,35,down,0,ROS
1100,626,down,0,ROS
532,350,down,0,ROS
534,351,down,0,ROS
1098,625,down,0,ROS
552,36,down,0,ROS
536,352,down,3,ROS
1096,624,down,0,ROS
540,354,down,0,ROS
542,355,down,0,ROS
1094,623,down,0,ROS
544,356,down,0,ROS
546,357,down,0,ROS
1092,622,down,0,ROS
548,358,down,0,ROS
550,359,down,0,ROS
538,353,down,0,ROS
584,374,down,0,ROS
586,375,down,0,ROS
1072,613,down,0,ROS
622,391,down,0,ROS
1054,605,down,0,ROS
624,392,down,0,ROS
626,393,down,0,ROS
1052,604,down,0,ROS
628,394,down,0,ROS
630,395,down,0,ROS
1050,603,down,0,ROS
632,396,down,0,ROS
620,390,down,0,ROS
634,397,down,0,ROS
636,398,down,0,ROS
638,399,down,0,ROS
1046,601,down,0,ROS
640,40,down,0,ROS
642,403,down,0,ROS
1044,600,down,0,ROS
644,404,down,0,ROS
646,405,down,0,ROS
1042,60,down,0,ROS
1048,602,down,0,ROS
1056,606,down,0,ROS
618,39,down,0,ROS
616,389,down,0,ROS
588,376,down,0,ROS
590,377,down,0,ROS
1070,612,down,0,ROS
592,378,down,0,ROS
594,379,down,0,ROS
1068,611,down,0,ROS
596,38,down,0,ROS
598,380,down,0,ROS
1066,610,down,0,ROS
600,381,down,0,ROS
602,382,down,0,ROS
1064,61,down,0,ROS
604,383,down,0,ROS
606,384,down,0,ROS
1062,609,down,0,ROS
608,385,down,0,ROS
610,386,down,0,ROS
1060,608,down,0,ROS
612,387,down,0,ROS
614,388,down,0,ROS
1058,607,down,0,ROS
1104,628,down,0,ROS
522,346,down,0,ROS
520,345,down,0,ROS
1106,629,down,0,ROS
1152,65,down,0,ROS
428,303,down,0,ROS
430,304,down,0,ROS
1150,649,down,0,ROS
432,305,down,0,ROS
434,306,down,0,ROS
1148,648,down,0,ROS
436,307,down,0,ROS
438,308,down,0,ROS
426,302,down,0,ROS
1146,647,down,0,ROS
442,31,down,0,ROS
1144,646,down,0,ROS
444,310,down,0,ROS
446,311,down,0,ROS
1142,645,down,0,ROS
448,312,down,0,ROS
450,313,down,0,ROS
1140,644,down,0,ROS
452,314,down,0,ROS
440,309,down,0,ROS
424,301,down,0,ROS
1154,650,down,0,ROS
422,300,down,0,ROS
394,288,down,0,ROS
1168,657,down,0,ROS
396,289,down,0,ROS
398,29,down,0,ROS
1166,656,down,0,ROS
400,290,down,0,ROS
402,291,down,0,ROS
1164,655,down,0,ROS
404,292,down,0,ROS
406,293,down,0,ROS
1162,654,down,0,ROS
408,294,down,0,ROS
410,295,down,0,ROS
1160,653,down,0,ROS
412,296,down,0,ROS
414,297,down,0,ROS
1158,652,down,0,ROS
416,298,down,0,ROS
418,299,down,0,ROS
1156,651,down,0,ROS
420,30,down,0,ROS
454,315,down,0,ROS
648,406,down,0,ROS
912,539,down,0,ROS
458,317,down,0,ROS
492,332,down,0,ROS
494,333,down,0,ROS
1118,634,down,0,ROS
496,334,down,0,ROS
498,335,down,0,ROS
1116,633,down,0,ROS
500,336,down,0,ROS
502,337,down,0,ROS
1114,632,down,0,ROS
1120,635,down,0,ROS
504,338,down,0,ROS
1112,631,down,0,ROS
508,34,down,0,ROS
510,340,down,0,ROS
1110,630,down,0,ROS
512,341,down,0,ROS
514,342,down,0,ROS
1108,63,down,0,ROS
516,343,down,0,ROS
518,344,down,0,ROS
506,339,down,0,ROS
490,331,down,0,ROS
488,330,down,0,ROS
1122,636,down,0,ROS
1136,642,down,0,ROS
460,318,down,0,ROS
462,319,down,2,ROS
1134,641,down,0,ROS
464,32,down,0,ROS
466,320,down,0,ROS
1132,640,down,0,ROS
468,321,down,0,ROS
470,322,down,0,ROS
1130,64,down,0,ROS
472,323,down,0,ROS
474,324,down,0,ROS
1128,639,down,0,ROS
476,325,down,0,ROS
478,326,down,0,ROS
1126,638,down,0,ROS
480,327,down,0,ROS
482,328,down,0,ROS
1124,637,down,0,ROS
484,329,down,0,ROS
486,33,down,0,ROS
456,316,down,0,ROS
650,407,down,0,ROS
1040,598,down,0,ROS
652,408,down,0,ROS
958,56,down,0,ROS
818,494,down,0,ROS
820,495,down,0,ROS
956,559,down,0,ROS
822,496,down,0,ROS
824,497,down,0,ROS
954,558,down,0,ROS
826,498,down,0,ROS
828,499,down,0,ROS
816,493,down,0,ROS
952,557,down,0,ROS
832,500,down,0,ROS
950,556,down,0,ROS
834,501,down,0,ROS
836,502,down,0,ROS
948,555,down,0,ROS
838,503,down,0,ROS
840,504,down,0,ROS
946,554,down,0,ROS
842,505,down,0,ROS
830,50,down,0,ROS
814,492,down,0,ROS
960,560,down,0,ROS
812,491,down,0,ROS
784,479,down,0,ROS
974,567,down,0,ROS
786,48,down,0,ROS
788,480,down,0,ROS
972,566,down,0,ROS
790,481,down,0,ROS
792,482,down,0,ROS
970,565,down,0,ROS
794,483,down,0,ROS
796,484,down,1,ROS
968,564,down,0,ROS
798,485,down,0,ROS
800,486,down,0,ROS
966,563,down,0,ROS
802,487,down,0,ROS
804,488,down,0,ROS
964,562,down,0,ROS
806,489,down,0,ROS
808,49,down,0,ROS
962,561,down,0,ROS
810,490,down,0,ROS
844,506,down,0,ROS
782,478,down,0,ROS
944,553,down,0,ROS
848,508,down,0,ROS
882,524,down,0,ROS
884,525,down,0,ROS
924,544,down,0,ROS
886,526,down,0,ROS
888,527,down,0,ROS
922,543,down,0,ROS
890,528,down,0,ROS
