compound_id,base_rdkit_smiles,active,source
SPID19,COc1ccc(-n2nnnc2C(F)(F)F)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,0,SA200
SPID164,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,0,SA200
SPID176,OCC(CO)n1cnc(-c2ccc(F)cc2)c1-c1ccnc(Oc2ccccc2)n1,0,SA200
SPID7,COc1ccc(S(=O)(=O)N2CCCN(S(=O)(=O)c3ccc(OC)c(OC)c3)CC2)cc1OC,0,SA200
SPID8,,0,SA200
SPID9,Cc1cc(F)ccc1[C@H]1CNCCN1C(=O)N(C)[C@H](C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,0,SA200
SPID10,CC(C)NCC(O)c1ccc(O)c(O)c1,0,SA200
SPID11,,0,SA200
SPID31,,0,SA200
SPID12,CCCCN1C(=O)[C@@H]([C@H](O)C2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccc(C(=O)O)cc3)cc1)CC2,0,SA200
SPID13,Cc1cccc(CC(=O)N2CCc3c2ccc(-c2cn(C)c4ncnc(N)c24)c3F)n1,0,SA200
SPID14,Cc1nc(C(=O)N2CCCC[C@H]2CNC(=O)c2cccc3occc23)c(-c2ccc(F)cc2)s1,0,SA200
SPID15,COc1ccc(OC(=O)N(CC(=O)O)Cc2ccc(OCCc3nc(-c4ccccc4)oc3C)cc2)cc1,0,SA200
SPID16,,0,SA200
SPID17,O=C(NNc1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@@H](c1cccnc1)N1CCN2CCC[C@@H]2C1,0,SA200
SPID18,,0,SA200
SPID20,,0,SA200
SPID21,COc1cc(Br)c(S(=O)(=O)Nc2ccc(C(F)(F)F)c(O[C@@H]3CCN(C)C3)c2)cc1OC,0,SA200
SPID22,,0,SA200
SPID23,CC[C@H](NC(=O)c1c(O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,0,SA200
SPID24,,0,SA200
SPID25,COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CNC(=O)C(C)(C)O)c1,0,SA200
SPID26,O=C1NC(=Nc2c(Cl)cccc2Cl)S/C1=C\c1ccc2nccnc2c1,0,SA200
SPID27,,0,SA200
SPID28,,0,SA200
SPID29,O=C1NC(=O)/C(=C/c2ccc3nccc(-c4ccncc4)c3c2)S1,0,SA200
SPID30,,0,SA200
SPID32,,0,SA200
SPID33,C=C[C@]1(C)C[C@@H](OC(=O)NC(=O)OC2CCC(N)CC2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,0,SA200
SPID34,,0,SA200
SPID35,,0,SA200
SPID36,,0,SA200
SPID37,O=C(NCC1CCOCC1)c1cnc(Nc2ccc(Cl)cc2Cl)nc1C(F)(F)F,0,SA200
SPID38,CC(N)=NCCSCC[C@H](N)C(=O)O,0,SA200
SPID39,,0,SA200
SPID40,,0,SA200
SPID41,Cc1nc(COc2ccc(C[C@H](NC(=O)O[C@H]3CO[C@H]4OCC[C@@H]34)[C@H](O)CN(CC(C)C)S(=O)(=O)c3ccc4c(c3)OCO4)cc2)cs1,0,SA200
SPID42,CN(C(=O)CN1C(=O)COc2cc(Cl)c(Cl)cc21)[C@@H](CN1CCCC1)c1ccc(-c2cccc(C(N)=O)c2)cc1,0,SA200
SPID43,O=C(Nc1cccc2c(=O)cc(-c3nn[nH]n3)oc12)c1ccc(OCCCCc2ccccc2)cc1,0,SA200
SPID44,,0,SA200
SPID45,COc1cc2c(cc1N1C[C@H](C)N[C@H](C)C1)N(C(=O)c1ccc(-c3ccc(-c4noc(C)n4)cc3C)cc1)CC2,0,SA200
SPID46,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,0,SA200
SPID47,,0,SA200
SPID48,CN(C)CCOc1cc(NS(=O)(=O)c2c(Cl)cc(C(F)(F)F)cc2Cl)ccc1Cl,0,SA200
SPID49,O=C(Cn1cc(C(F)(F)F)ccc1=O)NCc1cc2cc(C(=O)N3CCC(N4C(=O)OCc5ccccc54)CC3)ccc2o1,0,SA200
SPID50,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,0,SA200
SPID51,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0,SA200
SPID52,CC(C)(C)c1nnc([C@H]2O[C@@H](n3cnc4c(Nc5ccc(Cl)cc5F)ncnc43)[C@H](O)[C@@H]2O)o1,0,SA200
SPID53,O=C(O)c1cccc(C2=C(c3cc(Cl)ccc3OCc3ccc(F)cc3F)CCC2)n1,0,SA200
SPID54,CC(C)C[C@H](NC(=O)c1cc2ccccc2o1)C(=O)N[C@H]1CC[C@@H](C)N(S(=O)(=O)c2ccccn2)CC1=O,0,SA200
SPID55,,0,SA200
SPID56,,0,SA200
SPID57,NS(=O)(=O)c1c(Cl)ccc(NC(=O)Nc2cccc(Cl)c2Cl)c1O,0,SA200
SPID58,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,0,SA200
SPID59,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)CC2,0,SA200
SPID60,,0,SA200
SPID61,,0,SA200
SPID62,O=C([O-])c1cccc(Cc2cc(Cl)ccc2OCc2ccc(Cl)cc2F)n1,0,SA200
SPID63,O=c1ccc2ccc(F)c3c2n1C[C@H]3CN1CCC(NCc2cc3c(nn2)OCCO3)CC1,0,SA200
SPID64,,0,SA200
SPID65,,0,SA200
SPID66,COC[C@]12CNCC[C@@]1(c1ccc(Cl)c(Cl)c1)C2,0,SA200
SPID67,,0,SA200
SPID68,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,0,SA200
SPID69,,0,SA200
SPID70,,0,SA200
SPID71,COc1cc(Br)c(S(=O)(=O)Nc2ccc(Cl)c(O[C@@H]3CCN(C)C3)c2)cc1OC,0,SA200
SPID72,,0,SA200
SPID73,CC(C)N(C(=O)CN1C(=O)[C@H](NC(=O)Nc2cccc(C(=O)O)c2)C(=O)N(c2ccccc2)c2ccccc21)c1ccccc1,0,SA200
SPID74,Cn1c(=O)c(C(=O)NCCO)c(O)c2ncc(Cc3ccc(F)cc3)cc21,0,SA200
SPID75,COc1ccc(S(=O)(=O)Nc2cc(Cl)cc(Cl)c2OC)cc1N1CCNCC1,0,SA200
SPID76,,0,SA200
SPID77,,0,SA200
SPID78,,0,SA200
SPID79,,0,SA200
SPID80,Cn1nc(CO)nc1NCCCOc1cccc(CN2CCCCC2)c1,0,SA200
SPID81,,0,SA200
SPID82,,0,SA200
SPID83,,0,SA200
SPID84,COc1ccc(-c2nc3ccc(C4=NNC(=O)CC4C)cc3[nH]2)cc1,0,SA200
SPID85,Cn1cc(-c2ccc3c(c2)CCN3C(=O)Cc2cccc(C(F)(F)F)c2)c2c(N)ncnc21,0,SA200
SPID86,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,0,SA200
SPID87,,0,SA200
SPID88,,0,SA200
