"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL408701";"TAUROLITHOCHOLIC ACID";"3";"483.72";"0";"4.43";"Taurolithocholate";"C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C";"IC50";"'='";"20000.0";"nM";"4.70";"";"inhibitor [IC50=20uM]";"UO_0000065";"";"";"";"";"False";"CHEMBL2078156";"TP_TRANSPORTER: inhibition of E217betaG uptake in membrane vesicles from MRP4-expressing HEK-293 cells";"F";"BAO_0000249";"cell membrane format";"None";"None";"None";"HEK293";"Membrane vesicle";"";"";"";"CHEMBL1743128";"Multidrug resistance-associated protein 4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2073753";"18";"TP-search Transporter Database";"Biochem. J.";"2003";"CHEMBL3307715";""
"CHEMBL224867";"TAUROCHOLIC ACID";"0";"515.71";"1";"2.37";"Taurocholate";"C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O";"IC50";"'='";"250000.0";"nM";"";"Outside typical range";"inhibitor [IC50=250uM]";"UO_0000065";"";"";"";"";"False";"CHEMBL2078641";"TP_TRANSPORTER: inhibition of E217betaG uptake in membrane vesicles from MRP4-expressing HEK-293 cells";"F";"BAO_0000249";"cell membrane format";"None";"None";"None";"HEK293";"Membrane vesicle";"";"";"";"CHEMBL1743128";"Multidrug resistance-associated protein 4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2073968";"18";"TP-search Transporter Database";"Int. J. Biochem. Cell Biol.";"2004";"CHEMBL3307715";""
"CHEMBL1162492";"ESTRADIOL DISULFATE";"0";"432.52";"0";"2.91";"Estradiol 3,17-disulfate";"C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OS(=O)(=O)O";"IC50";"'='";"200.0";"nM";"6.70";"";"inhibitor [IC50=0.2uM]";"UO_0000065";"";"";"";"";"False";"CHEMBL2077067";"TP_TRANSPORTER: inhibition of DHEAS in membrane vesicles from MRP4-expressing Sf9 cells";"F";"BAO_0000249";"cell membrane format";"None";"None";"None";"Sf9";"Membrane vesicle";"";"";"";"CHEMBL1743128";"Multidrug resistance-associated protein 4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2073753";"18";"TP-search Transporter Database";"Biochem. J.";"2003";"CHEMBL3308860";""
"CHEMBL285913";"TREQUINSIN";"0";"405.50";"0";"3.58";"Trequinsin";"COc1cc2c(cc1OC)-c1c/c(=N\c3c(C)cc(C)cc3C)n(C)c(=O)n1CC2";"IC50";"'='";"10000.0";"nM";"5.00";"";"inhibitor [IC50=10uM]";"UO_0000065";"";"";"";"";"False";"CHEMBL2077068";"TP_TRANSPORTER: inhibition of 9-(2-phosphonomethoxyethyl)adenine(PMEA) efflux (PMEA: 1 uM) in MRP4-expressing HEK293 cells";"F";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1743128";"Multidrug resistance-associated protein 4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2074007";"18";"TP-search Transporter Database";"Mol. Pharmacol.";"2003";"CHEMBL3307715";""
"CHEMBL259898";"PRASTERONE SULFURIC ACID";"0";"368.50";"0";"3.71";"Dehydroepiandrosterone-3-sulfate";"C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](OS(=O)(=O)O)CC[C@@]43C)[C@@H]1CCC2=O";"IC50";"'='";"3000.0";"nM";"5.52";"";"inhibitor [IC50=3uM]";"UO_0000065";"";"";"";"";"False";"CHEMBL2078640";"TP_TRANSPORTER: inhibition of E217betaG uptake in membrane vesicles from MRP4-expressing Sf9 cells";"F";"BAO_0000249";"cell membrane format";"None";"None";"None";"Sf9";"Membrane vesicle";"";"";"";"CHEMBL1743128";"Multidrug resistance-associated protein 4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2073968";"18";"TP-search Transporter Database";"Int. J. Biochem. Cell Biol.";"2004";"CHEMBL3308860";""
"CHEMBL412272";"TAURODEOXYCHOLIC ACID";"2";"499.71";"0";"3.40";"Taurodeoxycholate";"C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C";"IC50";"'='";"60000.0";"nM";"4.22";"";"inhibitor [IC50=60uM]";"UO_0000065";"";"";"";"";"False";"CHEMBL2078156";"TP_TRANSPORTER: inhibition of E217betaG uptake in membrane vesicles from MRP4-expressing HEK-293 cells";"F";"BAO_0000249";"cell membrane format";"None";"None";"None";"HEK293";"Membrane vesicle";"";"";"";"CHEMBL1743128";"Multidrug resistance-associated protein 4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2073753";"18";"TP-search Transporter Database";"Biochem. J.";"2003";"CHEMBL3307715";""
"CHEMBL713";"ENTECAVIR";"4";"277.28";"0";"-0.83";"Entecavir";"C=C1[C@@H](n2cnc3c(=O)[nH]c(N)nc32)C[C@H](O)[C@H]1CO";"IC50";"'>'";"133000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4028924";"Inhibition of human MRP4 overexpressed in Sf9 cell membrane vesicles assessed as uptake of [3H]-estradiol-17beta-D-glucuronide in presence of ATP and GSH measured after 20 mins by membrane vesicle transport assay";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1743128";"Multidrug resistance-associated protein 4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4028801";"1";"Scientific Literature";"Toxicol Sci";"2013";"None";""
"CHEMBL464";"ETRETINATE";"4";"354.49";"1";"5.65";"Etretinate";"CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C";"IC50";"'>'";"133000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4028924";"Inhibition of human MRP4 overexpressed in Sf9 cell membrane vesicles assessed as uptake of [3H]-estradiol-17beta-D-glucuronide in presence of ATP and GSH measured after 20 mins by membrane vesicle transport assay";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1743128";"Multidrug resistance-associated protein 4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4028801";"1";"Scientific Literature";"Toxicol Sci";"2013";"None";""
"CHEMBL249856";"ENOXIMONE";"4";"248.31";"0";"1.96";"Eenoximone";"CSc1ccc(C(=O)c2[nH]c(=O)[nH]c2C)cc1";"IC50";"'>'";"133000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4028924";"Inhibition of human MRP4 overexpressed in Sf9 cell membrane vesicles assessed as uptake of [3H]-estradiol-17beta-D-glucuronide in presence of ATP and GSH measured after 20 mins by membrane vesicle transport assay";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1743128";"Multidrug resistance-associated protein 4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4028801";"1";"Scientific Literature";"Toxicol Sci";"2013";"None";""
"CHEMBL1463";"FLUCYTOSINE";"4";"129.09";"0";"-0.51";"Flucytosine";"Nc1[nH]c(=O)ncc1F";"IC50";"'>'";"133000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4028924";"Inhibition of human MRP4 overexpressed in Sf9 cell membrane vesicles assessed as uptake of [3H]-estradiol-17beta-D-glucuronide in presence of ATP and GSH measured after 20 mins by membrane vesicle transport assay";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1743128";"Multidrug resistance-associated protein 4";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4028801";"1";"Scientific Literature";"Toxicol Sci";"2013";"None";""
